Date,Open,High,Low,Close,Volume
2021-04-28 01:30:38,2.42,2.42,2.41,2.4111,29709
2021-04-28 01:30:39,2.42,2.42,2.4,2.4086,41563
2021-04-28 01:30:40,2.4,2.42,2.4,2.4077,60399
2021-04-28 01:30:41,2.405,2.42,2.4,2.4,41775
2021-04-28 01:30:42,2.41,2.42,2.4,2.41,31504
2021-04-28 01:30:43,2.4161,2.42,2.4,2.4082,68529
2021-04-28 01:30:44,2.4043,2.41,2.39,2.4,69189
2021-04-28 01:30:45,2.39,2.4,2.38,2.3899,94307
2021-04-28 01:30:46,2.38,2.39,2.37,2.3782,76993
2021-04-28 01:30:47,2.38,2.39,2.37,2.38,53986
2021-04-28 01:30:48,2.385,2.39,2.37,2.38,33634
2021-04-28 01:30:49,2.38,2.4,2.38,2.39,68938
2021-04-28 01:30:50,2.395,2.4,2.38,2.4,49633
2021-04-28 01:30:51,2.4,2.4,2.39,2.398,23660
2021-04-28 01:30:52,2.395,2.4,2.39,2.39,24235
2021-04-28 01:30:53,2.39,2.4,2.3845,2.391,16637
2021-04-28 01:30:54,2.395,2.4,2.385,2.385,16803
2021-04-28 01:30:55,2.3857,2.39,2.38,2.3811,23388
2021-04-28 01:30:56,2.39,2.39,2.38,2.38,22086
2021-04-28 01:30:57,2.38,2.39,2.38,2.387,23967
2021-04-28 01:30:58,2.3842,2.39,2.38,2.385,27115
2021-04-28 01:30:59,2.38,2.38,2.37,2.37,18948
2021-04-28 01:31:00,2.38,2.38,2.37,2.37,64091
2021-04-28 01:31:01,2.3701,2.38,2.36,2.37,127046
2021-04-28 01:31:02,2.37,2.37,2.37,2.37,16929
2021-04-28 01:31:03,2.37,2.38,2.37,2.37,16997
2021-04-28 01:31:04,2.37,2.37,2.37,2.37,36560
2021-04-28 01:31:05,2.37,2.3778,2.37,2.3744,33451
2021-04-28 01:31:06,2.375,2.38,2.37,2.3745,67834
2021-04-28 01:31:07,2.3798,2.38,2.37,2.3781,148203
2021-04-28 01:31:08,2.38,2.385,2.37,2.38,77385
2021-04-28 01:31:09,2.3701,2.385,2.37,2.38,23269
2021-04-28 01:31:10,2.385,2.3874,2.37,2.375,51724
2021-04-28 01:31:11,2.375,2.39,2.3744,2.38,27399
2021-04-28 01:31:12,2.38,2.39,2.37,2.39,48635
2021-04-28 01:31:13,2.38,2.39,2.38,2.3898,20677
2021-04-28 01:31:14,2.39,2.39,2.38,2.385,42665
2021-04-28 01:31:15,2.388,2.39,2.38,2.3899,32462
2021-04-28 01:31:16,2.39,2.4,2.385,2.39,23439
2021-04-28 01:31:17,2.395,2.4,2.39,2.4,78278
2021-04-28 01:31:18,2.4,2.41,2.39,2.3984,129699
2021-04-28 01:31:19,2.4,2.41,2.39,2.41,117554
2021-04-28 01:31:20,2.401,2.41,2.4,2.41,83849
2021-04-28 01:31:21,2.4,2.42,2.4,2.4135,63799
