Date,Open,High,Low,Close,Volume
2021-04-28 01:30:38,2.59,2.63,2.59,2.6,6988
2021-04-28 01:30:39,2.624,2.67,2.62,2.64,2938
2021-04-28 01:30:40,2.64,2.6697,2.64,2.64,2320
2021-04-28 01:30:41,2.6629,2.6629,2.64,2.64,1189
2021-04-28 01:30:42,2.6453,2.6453,2.6,2.6,7124
2021-04-28 01:30:43,2.605,2.61,2.6,2.6099,2654
2021-04-28 01:30:44,2.605,2.605,2.6,2.6049,1424
2021-04-28 01:30:45,2.61,2.6135,2.6,2.6019,16810
2021-04-28 01:30:46,2.6,2.61,2.6,2.6,2745
2021-04-28 01:30:47,2.605,2.605,2.605,2.605,366
2021-04-28 01:30:49,2.6092,2.61,2.6,2.6,2477
2021-04-28 01:30:50,2.61,2.62,2.6097,2.62,3492
2021-04-28 01:30:51,2.605,2.6052,2.605,2.6052,1260
2021-04-28 01:30:52,2.605,2.605,2.605,2.605,5000
2021-04-28 01:30:53,2.61,2.61,2.6,2.6,1457
2021-04-28 01:30:55,2.6,2.61,2.59,2.5934,2154
2021-04-28 01:30:56,2.605,2.61,2.6,2.6051,3343
2021-04-28 01:30:57,2.6082,2.6099,2.6082,2.6099,1125
2021-04-28 01:30:58,2.6099,2.6099,2.59,2.6057,6875
2021-04-28 01:30:59,2.6,2.6,2.59,2.59,3231
2021-04-28 01:31:00,2.595,2.6,2.59,2.59,4619
2021-04-28 01:31:01,2.595,2.5968,2.58,2.58,2894
2021-04-28 01:31:02,2.585,2.585,2.585,2.585,492
2021-04-28 01:31:03,2.585,2.585,2.583,2.583,1522
2021-04-28 01:31:05,2.59,2.59,2.585,2.585,255
2021-04-28 01:31:06,2.585,2.59,2.58,2.59,3950
2021-04-28 01:31:07,2.5899,2.59,2.58,2.585,9547
2021-04-28 01:31:08,2.59,2.59,2.59,2.59,3839
2021-04-28 01:31:09,2.585,2.59,2.58,2.58,6332
2021-04-28 01:31:10,2.59,2.59,2.5834,2.5834,1272
