Date,Open,High,Low,Close,Volume
2021-04-28 01:30:38,1.355,1.36,1.35,1.3599,11600
2021-04-28 01:30:39,1.3599,1.36,1.355,1.3576,18193
2021-04-28 01:30:40,1.3595,1.37,1.355,1.3656,13797
2021-04-28 01:30:41,1.37,1.37,1.3603,1.3668,17710
2021-04-28 01:30:42,1.3653,1.3689,1.36,1.3656,4450
2021-04-28 01:30:43,1.3695,1.3695,1.3653,1.3682,2910
2021-04-28 01:30:44,1.3687,1.37,1.36,1.37,20530
2021-04-28 01:30:45,1.37,1.37,1.363,1.3699,5240
2021-04-28 01:30:46,1.37,1.37,1.365,1.37,26949
2021-04-28 01:30:47,1.37,1.37,1.363,1.365,6186
2021-04-28 01:30:48,1.36,1.38,1.36,1.38,14108
2021-04-28 01:30:49,1.38,1.38,1.37,1.38,22615
2021-04-28 01:30:50,1.38,1.385,1.37,1.3709,66240
2021-04-28 01:30:51,1.375,1.39,1.375,1.39,33222
2021-04-28 01:30:52,1.3894,1.39,1.385,1.39,9610
2021-04-28 01:30:53,1.385,1.39,1.3803,1.39,20153
2021-04-28 01:30:54,1.385,1.4,1.385,1.4,135943
2021-04-28 01:30:55,1.39,1.4,1.39,1.3996,15825
2021-04-28 01:30:56,1.3999,1.4,1.39,1.395,13728
2021-04-28 01:30:57,1.4,1.4,1.39,1.3961,26223
2021-04-28 01:30:58,1.397,1.4,1.39,1.393,47859
2021-04-28 01:30:59,1.4,1.41,1.4,1.405,18556
2021-04-28 01:31:00,1.405,1.41,1.4,1.402,7455
2021-04-28 01:31:01,1.4039,1.41,1.4,1.409,23117
2021-04-28 01:31:02,1.4011,1.4099,1.4,1.4,9588
2021-04-28 01:31:03,1.4001,1.41,1.4,1.4,22155
2021-04-28 01:31:04,1.4,1.41,1.39,1.3901,82315
2021-04-28 01:31:05,1.39,1.41,1.38,1.41,58780
2021-04-28 01:31:06,1.4006,1.4013,1.4,1.4,9186
2021-04-28 01:31:07,1.4,1.41,1.3809,1.39,16107
2021-04-28 01:31:08,1.3858,1.3965,1.38,1.38,26677
2021-04-28 01:31:09,1.39,1.39,1.38,1.38,12261
2021-04-28 01:31:10,1.39,1.4,1.38,1.39,17461
2021-04-28 01:31:11,1.4,1.4,1.34,1.37,87235
2021-04-28 01:31:12,1.3476,1.36,1.34,1.355,19213
2021-04-28 01:31:13,1.37,1.44,1.365,1.385,134849
2021-04-28 01:31:14,1.4342,1.44,1.39,1.39,194508
2021-04-28 01:31:15,1.4,1.435,1.39,1.4099,16342
2021-04-28 01:31:16,1.4033,1.4198,1.4,1.415,13350
2021-04-28 01:31:17,1.415,1.4215,1.41,1.4102,30577
2021-04-28 01:31:18,1.41,1.42,1.39,1.4164,12041
2021-04-28 01:31:19,1.42,1.42,1.4103,1.419,12232
2021-04-28 01:31:20,1.42,1.43,1.41,1.43,24420
2021-04-28 01:31:21,1.42,1.43,1.41,1.42,45286
2021-04-28 01:31:22,1.42,1.43,1.41,1.42,13756
2021-04-28 01:31:23,1.4182,1.43,1.41,1.4294,11678
2021-04-28 01:31:24,1.43,1.43,1.42,1.42,17722
2021-04-28 01:31:25,1.421,1.43,1.42,1.423,7839
2021-04-28 01:31:26,1.43,1.4329,1.42,1.4329,44791
2021-04-28 01:31:27,1.44,1.44,1.41,1.41,39064
2021-04-28 01:31:28,1.4198,1.43,1.4197,1.43,13052
2021-04-28 01:31:29,1.43,1.43,1.42,1.43,11290
2021-04-28 01:31:30,1.4201,1.43,1.4201,1.43,9218
2021-04-28 01:31:31,1.4212,1.44,1.42,1.43,23652
2021-04-28 01:31:32,1.43,1.45,1.42,1.4399,57029
2021-04-28 01:31:33,1.44,1.44,1.43,1.44,9207
2021-04-28 01:31:34,1.437,1.45,1.431,1.4496,42608
2021-04-28 01:31:35,1.44,1.45,1.44,1.44,2953
2021-04-28 01:31:36,1.4413,1.45,1.44,1.45,62845
2021-04-28 01:31:37,1.45,1.46,1.44,1.46,50977
2021-04-28 01:31:38,1.455,1.46,1.45,1.45,44843
2021-04-28 01:31:39,1.4599,1.47,1.45,1.46,44723
2021-04-28 01:31:40,1.47,1.47,1.45,1.46,50674
2021-04-28 01:31:41,1.46,1.47,1.45,1.46,51964
2021-04-28 01:31:42,1.45,1.47,1.45,1.47,19989
2021-04-28 01:31:43,1.46,1.47,1.45,1.4693,61882
2021-04-28 01:31:44,1.47,1.47,1.46,1.469,56619
2021-04-28 01:31:45,1.47,1.48,1.46,1.48,11709
2021-04-28 01:31:46,1.475,1.48,1.46,1.48,51030
2021-04-28 01:31:47,1.4799,1.48,1.47,1.47,45533
2021-04-28 01:31:48,1.48,1.48,1.47,1.4792,27349
2021-04-28 01:31:49,1.475,1.48,1.47,1.4704,26805
2021-04-28 01:31:50,1.47,1.48,1.47,1.47,30290
2021-04-28 01:31:51,1.4701,1.48,1.46,1.46,43614
2021-04-28 01:31:52,1.47,1.47,1.4548,1.46,28068
2021-04-28 01:31:53,1.46,1.46,1.45,1.45,51228
2021-04-28 01:31:54,1.45,1.47,1.45,1.46,56425
2021-04-28 01:31:55,1.46,1.47,1.46,1.4699,39584
2021-04-28 01:31:56,1.4605,1.47,1.45,1.4501,82685
2021-04-28 01:31:57,1.4582,1.48,1.4582,1.475,87329
2021-04-28 01:31:58,1.4799,1.49,1.47,1.48,42467
2021-04-28 01:31:59,1.48,1.48,1.47,1.475,15128
2021-04-28 01:32:00,1.48,1.48,1.47,1.475,84413
2021-04-28 01:32:01,1.47,1.48,1.46,1.48,53407
2021-04-28 01:32:02,1.48,1.49,1.47,1.4785,41933
2021-04-28 01:32:03,1.48,1.49,1.4713,1.49,30217
2021-04-28 01:32:04,1.49,1.49,1.4701,1.49,30839
2021-04-28 01:32:05,1.4801,1.49,1.47,1.48,15183
2021-04-28 01:32:06,1.48,1.4852,1.46,1.475,51915
2021-04-28 01:32:07,1.48,1.48,1.47,1.479,11516
2021-04-28 01:32:08,1.4787,1.48,1.47,1.4795,33205
2021-04-28 01:32:09,1.47,1.48,1.44,1.44,222469
2021-04-28 01:32:10,1.44,1.457,1.44,1.44,55872
2021-04-28 01:32:11,1.45,1.45,1.44,1.4404,27588
2021-04-28 01:32:12,1.4442,1.45,1.41,1.4101,75783
2021-04-28 01:32:13,1.4113,1.44,1.4103,1.43,41182
2021-04-28 01:32:14,1.4301,1.439,1.42,1.425,23136
2021-04-28 01:32:15,1.4217,1.43,1.42,1.42,14048
2021-04-28 01:32:16,1.42,1.43,1.41,1.4197,59602
2021-04-28 01:32:17,1.416,1.43,1.41,1.4295,32909
2021-04-28 01:32:18,1.429,1.43,1.41,1.41,45684
2021-04-28 01:32:19,1.42,1.4282,1.4177,1.42,2215
2021-04-28 01:32:20,1.43,1.43,1.41,1.419,39467
2021-04-28 01:32:21,1.41,1.42,1.41,1.4103,24573
