Date,Open,High,Low,Close,Volume
2021-04-29 01:30:20,4.84,4.87,4.84,4.8497,5271930
2021-04-29 01:30:21,4.84,4.85,4.84,4.8463,39600
2021-04-29 01:30:22,4.8417,4.85,4.84,4.8401,190116
2021-04-29 01:30:23,4.8401,4.85,4.8401,4.845,15976
2021-04-29 01:30:24,4.845,4.845,4.84,4.84,38760
2021-04-29 01:30:25,4.84,4.845,4.84,4.84,36209
2021-04-29 01:30:26,4.84,4.8468,4.84,4.84,89894
2021-04-29 01:30:27,4.845,4.85,4.84,4.84,52222
2021-04-29 01:30:28,4.84,4.85,4.84,4.843,35356
2021-04-29 01:30:29,4.8499,4.8499,4.8201,4.8299,311274
2021-04-29 01:30:30,4.83,4.83,4.82,4.825,111441
2021-04-29 01:30:31,4.82,4.8299,4.82,4.8211,19612
2021-04-29 01:30:32,4.82,4.83,4.82,4.82,105561
2021-04-29 01:30:33,4.82,4.83,4.82,4.8281,43503
2021-04-29 01:30:34,4.82,4.83,4.82,4.825,32231
2021-04-29 01:30:35,4.8211,4.84,4.82,4.83,63819
2021-04-29 01:30:36,4.84,4.84,4.83,4.83,5743
2021-04-29 01:30:37,4.835,4.835,4.82,4.825,30152
2021-04-29 01:30:38,4.83,4.84,4.83,4.8302,12229
2021-04-29 01:30:39,4.8315,4.8399,4.83,4.83,13763
2021-04-29 01:30:40,4.83,4.84,4.82,4.82,54903
2021-04-29 01:30:41,4.825,4.83,4.82,4.83,11564
2021-04-29 01:30:42,4.8299,4.83,4.8201,4.825,7286
2021-04-29 01:30:43,4.8275,4.83,4.82,4.8201,4595
2021-04-29 01:30:44,4.8223,4.83,4.8201,4.822,20218
2021-04-29 01:30:45,4.8214,4.825,4.82,4.82,11107
2021-04-29 01:30:46,4.82,4.83,4.82,4.825,19214
2021-04-29 01:30:47,4.8229,4.8275,4.82,4.8204,2375
2021-04-29 01:30:48,4.8274,4.83,4.81,4.82,101764
2021-04-29 01:30:49,4.82,4.825,4.8101,4.82,51210
2021-04-29 01:30:50,4.8282,4.83,4.82,4.83,30919
2021-04-29 01:30:51,4.825,4.83,4.82,4.83,20482
2021-04-29 01:30:52,4.8287,4.8299,4.82,4.825,58674
2021-04-29 01:30:53,4.8236,4.83,4.82,4.8236,6766
2021-04-29 01:30:54,4.83,4.83,4.82,4.825,8550
2021-04-29 01:30:55,4.82,4.83,4.82,4.8201,11901
2021-04-29 01:30:56,4.8249,4.83,4.8201,4.8233,12929
2021-04-29 01:30:57,4.8233,4.83,4.82,4.82,9999
2021-04-29 01:30:58,4.825,4.825,4.8201,4.8201,5401
2021-04-29 01:30:59,4.8236,4.83,4.82,4.82,5909
2021-04-29 01:31:00,4.82,4.8278,4.82,4.8278,3759
2021-04-29 01:31:01,4.82,4.84,4.82,4.832,174025
2021-04-29 01:31:02,4.83,4.84,4.83,4.8326,35634
2021-04-29 01:31:03,4.84,4.84,4.83,4.8399,67307
2021-04-29 01:31:04,4.84,4.84,4.8301,4.8301,25357
2021-04-29 01:31:05,4.84,4.85,4.83,4.8427,25704
2021-04-29 01:31:06,4.8401,4.86,4.8401,4.8501,204234
2021-04-29 01:31:07,4.855,4.86,4.85,4.8577,22985
2021-04-29 01:31:08,4.855,4.86,4.85,4.86,18710
2021-04-29 01:31:09,4.852,4.86,4.85,4.85,30568
2021-04-29 01:31:10,4.8571,4.87,4.85,4.8699,143937
2021-04-29 01:31:11,4.865,4.87,4.8585,4.86,32528
2021-04-29 01:31:12,4.8599,4.86,4.85,4.8531,11669
2021-04-29 01:31:13,4.8599,4.86,4.8539,4.8597,8275
2021-04-29 01:31:14,4.86,4.86,4.8501,4.86,12403
2021-04-29 01:31:15,4.86,4.88,4.86,4.87,270346
2021-04-29 01:31:16,4.8686,4.87,4.86,4.865,8713
2021-04-29 01:31:17,4.8692,4.87,4.8678,4.87,24001
2021-04-29 01:31:18,4.8628,4.87,4.86,4.86,18581
2021-04-29 01:31:19,4.8601,4.88,4.8601,4.88,132279
2021-04-29 01:31:20,4.8701,4.88,4.87,4.8719,8919
2021-04-29 01:31:21,4.8781,4.88,4.87,4.872,12228
2021-04-29 01:31:22,4.87,4.88,4.87,4.8775,28610
2021-04-29 01:31:23,4.8799,4.8799,4.86,4.8679,216416
2021-04-29 01:31:24,4.8601,4.87,4.8601,4.87,15043
2021-04-29 01:31:25,4.8617,4.87,4.86,4.8641,4993
2021-04-29 01:31:26,4.8617,4.87,4.86,4.865,11425
2021-04-29 01:31:27,4.8601,4.8699,4.86,4.86,44856
2021-04-29 01:31:28,4.86,4.8699,4.86,4.8699,25141
2021-04-29 01:31:29,4.86,4.87,4.86,4.8612,36834
2021-04-29 01:31:30,4.86,4.87,4.86,4.86,27917
2021-04-29 01:31:31,4.86,4.87,4.86,4.865,39063
2021-04-29 01:31:32,4.865,4.877,4.865,4.875,286935
2021-04-29 01:31:33,4.8741,4.8767,4.86,4.87,22155
2021-04-29 01:31:34,4.8638,4.87,4.8638,4.865,24102
2021-04-29 01:31:35,4.87,4.87,4.86,4.865,29646
2021-04-29 01:31:36,4.865,4.8699,4.86,4.8601,13296
2021-04-29 01:31:37,4.863,4.87,4.863,4.865,5301
2021-04-29 01:31:38,4.87,4.87,4.865,4.865,6744
2021-04-29 01:31:39,4.865,4.87,4.86,4.865,11941
2021-04-29 01:31:40,4.8626,4.87,4.86,4.8699,13478
2021-04-29 01:31:41,4.8624,4.868,4.86,4.8615,112858
2021-04-29 01:31:42,4.8601,4.865,4.86,4.8601,9706
2021-04-29 01:31:43,4.8699,4.87,4.86,4.865,5486
2021-04-29 01:31:44,4.8699,4.87,4.86,4.865,14173
2021-04-29 01:31:45,4.8608,4.8675,4.86,4.865,26439
2021-04-29 01:31:46,4.865,4.8665,4.85,4.8517,19361
2021-04-29 01:31:47,4.855,4.855,4.85,4.8518,4356
2021-04-29 01:31:48,4.85,4.86,4.85,4.8501,7526
2021-04-29 01:31:49,4.8514,4.8599,4.8504,4.8599,4595
2021-04-29 01:31:50,4.8571,4.87,4.8501,4.86,233801
2021-04-29 01:31:51,4.86,4.87,4.86,4.86,19326
2021-04-29 01:31:52,4.86,4.87,4.86,4.86,23816
2021-04-29 01:31:53,4.86,4.87,4.85,4.86,38908
2021-04-29 01:31:54,4.86,4.86,4.8501,4.8583,9394
2021-04-29 01:31:55,4.8588,4.8588,4.8519,4.8573,13557
2021-04-29 01:31:56,4.86,4.86,4.855,4.86,11329
2021-04-29 01:31:57,4.855,4.86,4.851,4.86,44817
2021-04-29 01:31:58,4.86,4.86,4.86,4.86,6706
2021-04-29 01:31:59,4.86,4.8621,4.855,4.8601,33743
2021-04-29 01:32:00,4.855,4.855,4.85,4.852,16511
2021-04-29 01:32:01,4.8518,4.855,4.85,4.85,10053
2021-04-29 01:32:02,4.855,4.857,4.85,4.85,10222
2021-04-29 01:32:03,4.8513,4.855,4.85,4.855,22001
2021-04-29 01:32:04,4.85,4.86,4.85,4.86,8594
2021-04-29 01:32:05,4.85,4.8596,4.84,4.845,41764
2021-04-29 01:32:06,4.845,4.8498,4.845,4.8484,6786
2021-04-29 01:32:07,4.84,4.845,4.84,4.845,4305
2021-04-29 01:32:08,4.84,4.85,4.84,4.84,9836
2021-04-29 01:32:09,4.845,4.8499,4.84,4.845,5528
2021-04-29 01:32:10,4.84,4.8499,4.84,4.8499,1650
2021-04-29 01:32:11,4.8478,4.85,4.84,4.85,4744
2021-04-29 01:32:12,4.8477,4.85,4.8401,4.845,7706
2021-04-29 01:32:13,4.84,4.8499,4.84,4.84,17383
2021-04-29 01:32:14,4.8418,4.845,4.84,4.84,10295
2021-04-29 01:32:15,4.8471,4.85,4.84,4.8424,2496
2021-04-29 01:32:16,4.845,4.85,4.84,4.8428,35975
2021-04-29 01:32:17,4.8482,4.85,4.8419,4.8423,9181
2021-04-29 01:32:18,4.8482,4.85,4.84,4.847,52113
2021-04-29 01:32:19,4.8497,4.85,4.8401,4.845,7415
2021-04-29 01:32:20,4.845,4.85,4.841,4.841,15360
2021-04-29 01:32:21,4.8499,4.85,4.84,4.85,17635
2021-04-29 01:32:22,4.8438,4.8462,4.84,4.845,5439
2021-04-29 01:32:23,4.84,4.85,4.84,4.8486,20993
2021-04-29 01:32:24,4.85,4.85,4.8401,4.8487,8713
2021-04-29 01:32:25,4.8478,4.85,4.84,4.8439,6362
2021-04-29 01:32:26,4.845,4.85,4.8429,4.8429,34509
2021-04-29 01:32:27,4.85,4.85,4.8401,4.845,14914
2021-04-29 01:32:28,4.85,4.85,4.84,4.84,23074
2021-04-29 01:32:29,4.845,4.85,4.84,4.8447,11995
2021-04-29 01:32:30,4.8455,4.85,4.845,4.85,1198
2021-04-29 01:32:31,4.845,4.85,4.84,4.85,20082
2021-04-29 01:32:32,4.845,4.85,4.845,4.845,6910
2021-04-29 01:32:33,4.845,4.85,4.84,4.8476,2003
2021-04-29 01:32:34,4.85,4.85,4.84,4.85,28652
2021-04-29 01:32:35,4.841,4.85,4.84,4.84,18454
2021-04-29 01:32:36,4.85,4.85,4.84,4.84,5209
2021-04-29 01:32:37,4.845,4.85,4.84,4.845,24253
2021-04-29 01:32:38,4.84,4.85,4.84,4.845,13557
2021-04-29 01:32:39,4.845,4.85,4.8401,4.85,11732
2021-04-29 01:32:40,4.85,4.85,4.84,4.845,4262
2021-04-29 01:32:41,4.85,4.85,4.84,4.845,13893
2021-04-29 01:32:42,4.85,4.85,4.84,4.8499,27365
2021-04-29 01:32:43,4.845,4.85,4.84,4.8401,6284
2021-04-29 01:32:44,4.85,4.85,4.84,4.84,71644
2021-04-29 01:32:45,4.845,4.85,4.84,4.85,9734
2021-04-29 01:32:46,4.8439,4.85,4.84,4.85,15696
2021-04-29 01:32:47,4.85,4.85,4.84,4.845,6196
2021-04-29 01:32:48,4.8479,4.85,4.845,4.845,3026
2021-04-29 01:32:49,4.848,4.848,4.8401,4.845,10918
2021-04-29 01:32:50,4.845,4.85,4.84,4.845,5259
2021-04-29 01:32:51,4.845,4.8475,4.84,4.8475,3974
2021-04-29 01:32:52,4.8455,4.85,4.84,4.8434,4711
2021-04-29 01:32:53,4.841,4.85,4.82,4.82,370572
2021-04-29 01:32:54,4.825,4.83,4.82,4.8201,40417
2021-04-29 01:32:55,4.83,4.83,4.8237,4.8237,12721
2021-04-29 01:32:56,4.824,4.83,4.82,4.83,5023
2021-04-29 01:32:57,4.8201,4.83,4.82,4.825,15640
2021-04-29 01:32:58,4.825,4.83,4.8234,4.825,11508
2021-04-29 01:32:59,4.82,4.83,4.82,4.82,127341
2021-04-29 01:33:00,4.82,4.83,4.82,4.8202,45150
2021-04-29 01:33:01,4.8202,4.83,4.82,4.82,3121
2021-04-29 01:33:02,4.825,4.83,4.81,4.81,76573
2021-04-29 01:33:03,4.8137,4.8199,4.81,4.81,5778
2021-04-29 01:33:04,4.815,4.82,4.81,4.81,9806
2021-04-29 01:33:05,4.8199,4.82,4.81,4.811,7391
2021-04-29 01:33:06,4.81,4.8178,4.81,4.81,5063
2021-04-29 01:33:07,4.815,4.815,4.81,4.81,6025
2021-04-29 01:33:08,4.8101,4.82,4.81,4.81,6509
