Date,Open,High,Low,Close,Volume
2021-04-30 01:30:56,1.54,1.54,1.53,1.54,58190
2021-04-30 01:30:57,1.54,1.54,1.53,1.539,45586
2021-04-30 01:30:58,1.5371,1.54,1.53,1.5399,23549
2021-04-30 01:30:59,1.54,1.54,1.53,1.53,40654
2021-04-30 01:31:00,1.54,1.54,1.53,1.5325,37449
2021-04-30 01:31:01,1.5324,1.54,1.53,1.5399,61858
2021-04-30 01:31:02,1.5306,1.54,1.52,1.52,71832
2021-04-30 01:31:03,1.5208,1.54,1.5201,1.53,80175
2021-04-30 01:31:04,1.53,1.5399,1.53,1.535,18826
2021-04-30 01:31:05,1.538,1.538,1.52,1.5212,13683
2021-04-30 01:31:06,1.5299,1.53,1.52,1.5279,19772
2021-04-30 01:31:07,1.525,1.53,1.52,1.529,37551
2021-04-30 01:31:08,1.525,1.53,1.52,1.53,40504
2021-04-30 01:31:09,1.53,1.53,1.51,1.51,47607
2021-04-30 01:31:10,1.51,1.52,1.51,1.51,29310
2021-04-30 01:31:11,1.51,1.52,1.5,1.5048,49620
2021-04-30 01:31:12,1.5084,1.51,1.5,1.5095,64540
2021-04-30 01:31:13,1.503,1.51,1.5,1.51,23302
2021-04-30 01:31:14,1.5028,1.51,1.48,1.485,78434
2021-04-30 01:31:15,1.49,1.505,1.48,1.4803,48277
2021-04-30 01:31:16,1.4802,1.488,1.47,1.47,32588
2021-04-30 01:31:17,1.47,1.48,1.46,1.465,42958
2021-04-30 01:31:18,1.46,1.47,1.46,1.4699,51325
2021-04-30 01:31:19,1.46,1.47,1.46,1.46,32530
2021-04-30 01:31:20,1.4675,1.47,1.46,1.4681,28131
2021-04-30 01:31:21,1.46,1.48,1.46,1.4659,144735
2021-04-30 01:31:22,1.47,1.48,1.4601,1.4793,24893
2021-04-30 01:31:23,1.4769,1.48,1.47,1.48,15795
2021-04-30 01:31:24,1.475,1.48,1.4719,1.4738,4714
2021-04-30 01:31:25,1.48,1.48,1.475,1.48,25115
2021-04-30 01:31:26,1.48,1.48,1.47,1.48,39346
2021-04-30 01:31:27,1.48,1.48,1.47,1.47,31475
2021-04-30 01:31:28,1.48,1.48,1.475,1.4763,10685
2021-04-30 01:31:29,1.48,1.49,1.4745,1.48,50361
2021-04-30 01:31:30,1.4817,1.49,1.48,1.49,12705
2021-04-30 01:31:31,1.49,1.49,1.47,1.48,41628
2021-04-30 01:31:32,1.4799,1.48,1.47,1.4718,10013
2021-04-30 01:31:33,1.475,1.48,1.47,1.475,13804
2021-04-30 01:31:34,1.475,1.48,1.47,1.4798,38294
2021-04-30 01:31:35,1.48,1.48,1.475,1.48,4507
2021-04-30 01:31:36,1.4708,1.48,1.47,1.4785,32671
2021-04-30 01:31:37,1.48,1.48,1.47,1.475,11531
2021-04-30 01:31:38,1.48,1.48,1.47,1.4782,13936
2021-04-30 01:31:39,1.48,1.49,1.473,1.4897,40545
2021-04-30 01:31:40,1.48,1.49,1.48,1.485,15085
2021-04-30 01:31:41,1.4836,1.49,1.47,1.4822,18648
2021-04-30 01:31:42,1.48,1.49,1.47,1.49,12625
2021-04-30 01:31:43,1.49,1.49,1.48,1.485,13853
2021-04-30 01:31:44,1.485,1.49,1.48,1.49,9108
2021-04-30 01:31:45,1.48,1.49,1.48,1.486,20741
2021-04-30 01:31:46,1.48,1.4899,1.48,1.485,8942
2021-04-30 01:31:47,1.49,1.49,1.48,1.48,5826
2021-04-30 01:31:48,1.49,1.49,1.4858,1.49,14248
2021-04-30 01:31:49,1.48,1.5,1.48,1.5,32448
2021-04-30 01:31:50,1.5,1.5,1.49,1.5,15230
2021-04-30 01:31:51,1.5,1.5,1.49,1.4966,17131
2021-04-30 01:31:52,1.5,1.52,1.4953,1.52,31083
2021-04-30 01:31:53,1.51,1.52,1.49,1.4992,11748
2021-04-30 01:31:54,1.4918,1.5,1.49,1.4999,5893
2021-04-30 01:31:55,1.5,1.5,1.495,1.495,6246
2021-04-30 01:31:56,1.5,1.5,1.49,1.49,17173
2021-04-30 01:31:57,1.5,1.51,1.495,1.5,43319
2021-04-30 01:31:58,1.495,1.5,1.49,1.5,18550
2021-04-30 01:31:59,1.49,1.5,1.49,1.495,16551
2021-04-30 01:32:00,1.495,1.5,1.49,1.5,12304
2021-04-30 01:32:01,1.49,1.5,1.49,1.49,8105
2021-04-30 01:32:02,1.49,1.5,1.48,1.49,19213
2021-04-30 01:32:03,1.49,1.49,1.48,1.48,9256
2021-04-30 01:32:04,1.49,1.49,1.48,1.4899,17179
2021-04-30 01:32:05,1.48,1.49,1.48,1.48,24344
2021-04-30 01:32:06,1.4774,1.48,1.4774,1.4798,6104
2021-04-30 01:32:07,1.47,1.48,1.47,1.48,19551
2021-04-30 01:32:08,1.4816,1.485,1.48,1.4801,16605
2021-04-30 01:32:09,1.4866,1.49,1.48,1.49,4215
2021-04-30 01:32:10,1.49,1.49,1.481,1.4892,9000
2021-04-30 01:32:11,1.4801,1.49,1.48,1.49,13261
2021-04-30 01:32:12,1.49,1.5,1.4882,1.5,11600
2021-04-30 01:32:13,1.495,1.5,1.49,1.4935,21690
2021-04-30 01:32:14,1.495,1.5,1.49,1.498,24766
2021-04-30 01:32:15,1.4987,1.52,1.4987,1.52,19820
2021-04-30 01:32:16,1.52,1.525,1.5199,1.523,23257
2021-04-30 01:32:17,1.5284,1.53,1.5201,1.529,16105
2021-04-30 01:32:18,1.53,1.53,1.52,1.52,41914
2021-04-30 01:32:19,1.5212,1.53,1.51,1.515,17931
2021-04-30 01:32:20,1.515,1.52,1.51,1.51,25707
2021-04-30 01:32:21,1.5102,1.52,1.51,1.5183,11784
2021-04-30 01:32:22,1.5182,1.5199,1.51,1.5146,7428
2021-04-30 01:32:23,1.51,1.52,1.51,1.52,8126
2021-04-30 01:32:24,1.51,1.52,1.51,1.51,56108
2021-04-30 01:32:25,1.5122,1.5156,1.51,1.515,16403
2021-04-30 01:32:26,1.51,1.52,1.51,1.515,8726
2021-04-30 01:32:27,1.5118,1.515,1.5,1.505,17432
2021-04-30 01:32:28,1.505,1.51,1.505,1.505,8598
2021-04-30 01:32:29,1.51,1.51,1.5,1.5099,3431
2021-04-30 01:32:30,1.505,1.51,1.5,1.505,8345
2021-04-30 01:32:31,1.5099,1.51,1.5015,1.5098,14373
2021-04-30 01:32:32,1.509,1.51,1.509,1.51,1785
2021-04-30 01:32:33,1.51,1.51,1.5056,1.5098,8968
2021-04-30 01:32:34,1.51,1.51,1.5055,1.5075,3033
2021-04-30 01:32:35,1.51,1.51,1.5082,1.5082,9395
2021-04-30 01:32:36,1.51,1.52,1.51,1.515,12284
2021-04-30 01:32:37,1.52,1.52,1.51,1.5197,20763
2021-04-30 01:32:38,1.515,1.52,1.5109,1.52,15261
2021-04-30 01:32:39,1.51,1.57,1.51,1.57,476846
2021-04-30 01:32:40,1.569,1.57,1.56,1.56,46806
2021-04-30 01:32:41,1.561,1.57,1.56,1.5607,69839
2021-04-30 01:32:42,1.5682,1.57,1.56,1.5699,55039
2021-04-30 01:32:43,1.5699,1.57,1.56,1.565,134510
2021-04-30 01:32:44,1.5645,1.57,1.56,1.568,36141
2021-04-30 01:32:45,1.57,1.57,1.56,1.56,23537
2021-04-30 01:32:46,1.5685,1.57,1.56,1.5697,40548
2021-04-30 01:32:47,1.57,1.57,1.56,1.5699,15906
2021-04-30 01:32:48,1.56,1.57,1.56,1.57,50731
2021-04-30 01:32:49,1.56,1.57,1.56,1.57,75033
2021-04-30 01:32:50,1.57,1.58,1.565,1.58,55322
2021-04-30 01:32:51,1.58,1.58,1.57,1.5714,50548
2021-04-30 01:32:52,1.58,1.58,1.57,1.5778,52799
2021-04-30 01:32:53,1.58,1.58,1.57,1.57,40674
2021-04-30 01:32:54,1.58,1.58,1.57,1.5701,105789
2021-04-30 01:32:55,1.58,1.58,1.57,1.57,41102
2021-04-30 01:32:56,1.575,1.58,1.57,1.5785,44663
2021-04-30 01:32:57,1.57,1.58,1.57,1.5794,36849
2021-04-30 01:32:58,1.58,1.58,1.57,1.575,33116
2021-04-30 01:32:59,1.575,1.58,1.56,1.56,78567
2021-04-30 01:33:00,1.56,1.57,1.56,1.5601,65068
2021-04-30 01:33:01,1.565,1.57,1.56,1.56,105220
2021-04-30 01:33:02,1.56,1.57,1.56,1.5602,71315
2021-04-30 01:33:03,1.57,1.57,1.56,1.57,58422
2021-04-30 01:33:04,1.565,1.58,1.56,1.575,57048
2021-04-30 01:33:05,1.58,1.58,1.57,1.5786,18516
2021-04-30 01:33:06,1.575,1.58,1.57,1.5783,51563
2021-04-30 01:33:07,1.575,1.58,1.57,1.5799,100060
2021-04-30 01:33:08,1.57,1.58,1.57,1.57,40461
2021-04-30 01:33:09,1.57,1.58,1.57,1.5758,24158
2021-04-30 01:33:10,1.58,1.58,1.56,1.57,58627
2021-04-30 01:33:11,1.57,1.57,1.56,1.5699,24715
2021-04-30 01:33:12,1.56,1.57,1.56,1.5613,27362
2021-04-30 01:33:13,1.57,1.57,1.56,1.56,22998
2021-04-30 01:33:14,1.5616,1.57,1.56,1.57,54061
2021-04-30 01:33:15,1.5682,1.57,1.56,1.56,31457
2021-04-30 01:33:16,1.565,1.57,1.56,1.56,35944
2021-04-30 01:33:17,1.56,1.57,1.56,1.565,36404
2021-04-30 01:33:18,1.56,1.57,1.56,1.5601,34432
2021-04-30 01:33:19,1.56,1.57,1.56,1.56,22943
2021-04-30 01:33:20,1.57,1.57,1.56,1.5689,64475
2021-04-30 01:33:21,1.56,1.57,1.56,1.56,91429
2021-04-30 01:33:22,1.5699,1.57,1.56,1.5653,76388
2021-04-30 01:33:23,1.57,1.57,1.56,1.56,59231
2021-04-30 01:33:24,1.5613,1.57,1.55,1.56,67744
2021-04-30 01:33:25,1.56,1.56,1.54,1.5498,64403
2021-04-30 01:33:26,1.55,1.55,1.53,1.54,71746
2021-04-30 01:33:27,1.535,1.54,1.53,1.535,30889
2021-04-30 01:33:28,1.53,1.54,1.53,1.535,45216
2021-04-30 01:33:29,1.539,1.55,1.53,1.54,28232
2021-04-30 01:33:30,1.54,1.55,1.53,1.54,26320
2021-04-30 01:33:31,1.545,1.55,1.54,1.5499,4965
2021-04-30 01:33:32,1.54,1.55,1.54,1.5426,7540
2021-04-30 01:33:33,1.5445,1.55,1.54,1.55,20850
2021-04-30 01:33:34,1.5408,1.55,1.54,1.55,18586
2021-04-30 01:33:35,1.5446,1.55,1.54,1.5498,5007
2021-04-30 01:33:36,1.549,1.57,1.54,1.5598,163383
2021-04-30 01:33:37,1.55,1.56,1.55,1.5519,11455
2021-04-30 01:33:38,1.55,1.56,1.55,1.5557,6564
2021-04-30 01:33:39,1.55,1.56,1.55,1.5598,19781
2021-04-30 01:33:40,1.56,1.56,1.55,1.5577,11796
2021-04-30 01:33:41,1.55,1.56,1.55,1.55,2232
2021-04-30 01:33:42,1.56,1.56,1.55,1.55,10973
2021-04-30 01:33:43,1.55,1.56,1.55,1.56,10729
2021-04-30 01:33:44,1.55,1.56,1.55,1.55,22152
2021-04-30 01:33:45,1.555,1.555,1.55,1.55,6894
2021-04-30 01:33:46,1.56,1.56,1.55,1.5586,11783
2021-04-30 01:33:47,1.552,1.56,1.55,1.56,9456
2021-04-30 01:33:48,1.5584,1.56,1.55,1.56,19609
2021-04-30 01:33:49,1.55,1.555,1.55,1.5511,4465
2021-04-30 01:33:50,1.55,1.56,1.55,1.55,14414
2021-04-30 01:33:51,1.555,1.5592,1.555,1.5592,5583
2021-04-30 01:33:52,1.555,1.56,1.55,1.55,27752
2021-04-30 01:33:53,1.55,1.5599,1.55,1.55,5974
2021-04-30 01:33:54,1.56,1.56,1.55,1.5574,5986
2021-04-30 01:33:55,1.55,1.56,1.5422,1.545,34093
2021-04-30 01:33:56,1.55,1.55,1.54,1.5411,6754
2021-04-30 01:33:57,1.5496,1.55,1.54,1.54,14085
2021-04-30 01:33:58,1.55,1.55,1.54,1.5414,16122
2021-04-30 01:33:59,1.5481,1.55,1.54,1.5416,13048
2021-04-30 01:34:00,1.549,1.549,1.54,1.545,4477
2021-04-30 01:34:01,1.54,1.5498,1.54,1.545,31262
2021-04-30 01:34:02,1.54,1.5481,1.54,1.541,13760
2021-04-30 01:34:03,1.54,1.55,1.54,1.545,52411
2021-04-30 01:34:04,1.54,1.54,1.53,1.54,24756
2021-04-30 01:34:05,1.54,1.54,1.53,1.5382,26922
2021-04-30 01:34:06,1.535,1.54,1.53,1.53,79451
2021-04-30 01:34:07,1.53,1.532,1.52,1.525,18301
2021-04-30 01:34:08,1.525,1.53,1.52,1.5202,15410
2021-04-30 01:34:09,1.53,1.53,1.52,1.53,10870
2021-04-30 01:34:10,1.53,1.53,1.52,1.53,13246
2021-04-30 01:34:11,1.53,1.53,1.52,1.53,16315
2021-04-30 01:34:12,1.53,1.53,1.52,1.525,22539
2021-04-30 01:34:13,1.525,1.53,1.525,1.53,13551
2021-04-30 01:34:14,1.53,1.53,1.5299,1.53,9395
2021-04-30 01:34:15,1.53,1.53,1.52,1.52,7459
2021-04-30 01:34:16,1.5277,1.53,1.5277,1.5282,15983
2021-04-30 01:34:17,1.53,1.53,1.52,1.5299,9736
2021-04-30 01:34:18,1.53,1.53,1.52,1.5288,35630
2021-04-30 01:34:19,1.53,1.53,1.52,1.53,6389
2021-04-30 01:34:20,1.5201,1.53,1.5201,1.53,6162
2021-04-30 01:34:21,1.5286,1.53,1.52,1.53,33534
2021-04-30 01:34:22,1.53,1.53,1.52,1.5201,27900
2021-04-30 01:34:23,1.52,1.53,1.52,1.5201,73805
2021-04-30 01:34:24,1.53,1.53,1.52,1.52,32930
2021-04-30 01:34:25,1.5299,1.53,1.52,1.53,28386
2021-04-30 01:34:26,1.52,1.53,1.52,1.52,21481
2021-04-30 01:34:27,1.53,1.53,1.52,1.5299,20972
2021-04-30 01:34:28,1.53,1.53,1.52,1.5281,9069
2021-04-30 01:34:29,1.53,1.53,1.52,1.5202,3379
2021-04-30 01:34:30,1.53,1.53,1.52,1.53,13627
2021-04-30 01:34:31,1.525,1.53,1.52,1.53,8260
2021-04-30 01:34:32,1.5274,1.5274,1.5269,1.5269,728
2021-04-30 01:34:33,1.53,1.53,1.52,1.52,5481
2021-04-30 01:34:34,1.52,1.52,1.5,1.5,88390
2021-04-30 01:34:35,1.5,1.52,1.5,1.505,85287
2021-04-30 01:34:36,1.5081,1.51,1.5,1.5,18381
2021-04-30 01:34:37,1.5,1.51,1.5,1.5096,9706
2021-04-30 01:34:38,1.509,1.51,1.5,1.5,22145
2021-04-30 01:34:39,1.5006,1.5089,1.5,1.5001,21582
2021-04-30 01:34:40,1.5,1.5074,1.49,1.492,63940
2021-04-30 01:34:41,1.49,1.5,1.48,1.485,52342
2021-04-30 01:34:42,1.48,1.49,1.48,1.49,34786
2021-04-30 01:34:43,1.4874,1.49,1.48,1.48,13430
2021-04-30 01:34:44,1.49,1.49,1.48,1.48,24452
2021-04-30 01:34:45,1.4884,1.49,1.48,1.4805,28257
2021-04-30 01:34:46,1.4856,1.49,1.48,1.485,24844
2021-04-30 01:34:47,1.4889,1.49,1.4801,1.4801,9071
