Date,Open,High,Low,Close,Volume
2021-04-30 01:30:56,3.771,3.78,3.77,3.7702,28355
2021-04-30 01:30:57,3.779,3.78,3.77,3.77,17412
2021-04-30 01:30:58,3.77,3.77,3.77,3.77,300
2021-04-30 01:30:59,3.77,3.7702,3.77,3.77,4810
2021-04-30 01:31:00,3.77,3.78,3.77,3.78,3925
2021-04-30 01:31:01,3.78,3.78,3.7762,3.7797,5649
2021-04-30 01:31:02,3.78,3.78,3.78,3.78,305
2021-04-30 01:31:03,3.77,3.775,3.77,3.77,2000
2021-04-30 01:31:04,3.7709,3.775,3.77,3.775,2220
2021-04-30 01:31:05,3.77,3.78,3.77,3.78,2832
2021-04-30 01:31:06,3.775,3.775,3.77,3.7722,614
2021-04-30 01:31:07,3.77,3.78,3.77,3.775,890
2021-04-30 01:31:08,3.77,3.775,3.77,3.775,1200
2021-04-30 01:31:09,3.775,3.78,3.77,3.7794,6397
2021-04-30 01:31:10,3.775,3.78,3.775,3.78,11947
2021-04-30 01:31:11,3.79,3.79,3.79,3.79,100
2021-04-30 01:31:12,3.7981,3.7981,3.7981,3.7981,100
2021-04-30 01:31:13,3.795,3.795,3.795,3.795,118
2021-04-30 01:31:14,3.795,3.7981,3.7909,3.795,970
2021-04-30 01:31:15,3.793,3.793,3.7922,3.7922,3310
2021-04-30 01:31:16,3.8,3.8,3.78,3.78,2300
2021-04-30 01:31:18,3.775,3.7782,3.775,3.7782,1301
2021-04-30 01:31:20,3.77,3.775,3.77,3.77,16488
2021-04-30 01:31:21,3.78,3.78,3.77,3.77,2900
2021-04-30 01:31:22,3.775,3.78,3.7623,3.77,13586
2021-04-30 01:31:24,3.77,3.78,3.77,3.77,1003
2021-04-30 01:31:26,3.77,3.7702,3.77,3.77,15700
2021-04-30 01:31:29,3.77,3.77,3.77,3.77,150
2021-04-30 01:31:31,3.77,3.7713,3.77,3.7713,625
2021-04-30 01:31:37,3.7799,3.78,3.77,3.77,1393
2021-04-30 01:31:38,3.78,3.78,3.78,3.78,682
2021-04-30 01:31:43,3.77,3.77,3.77,3.77,101
2021-04-30 01:31:44,3.775,3.78,3.775,3.7782,3000
2021-04-30 01:31:46,3.775,3.78,3.775,3.78,1060
2021-04-30 01:31:47,3.78,3.78,3.775,3.775,1306
2021-04-30 01:31:48,3.78,3.78,3.7718,3.7718,2350
2021-04-30 01:31:49,3.78,3.78,3.775,3.775,1100
2021-04-30 01:31:50,3.77,3.77,3.77,3.77,363
2021-04-30 01:31:51,3.7704,3.7799,3.7704,3.7799,5120
2021-04-30 01:31:52,3.78,3.78,3.77,3.77,12486
2021-04-30 01:31:53,3.78,3.78,3.7705,3.7705,3511
2021-04-30 01:31:54,3.7737,3.78,3.7737,3.78,3212
2021-04-30 01:31:56,3.779,3.779,3.7783,3.7783,273
2021-04-30 01:31:57,3.775,3.775,3.77,3.77,9400
2021-04-30 01:31:58,3.773,3.773,3.773,3.773,1000
2021-04-30 01:31:59,3.775,3.775,3.775,3.775,264
2021-04-30 01:32:00,3.775,3.78,3.775,3.78,240
2021-04-30 01:32:03,3.78,3.78,3.78,3.78,663
2021-04-30 01:32:06,3.78,3.78,3.78,3.78,135
2021-04-30 01:32:07,3.7753,3.7753,3.7753,3.7753,200
2021-04-30 01:32:08,3.7718,3.7718,3.7718,3.7718,1000
2021-04-30 01:32:09,3.771,3.771,3.77,3.77,7862
2021-04-30 01:32:10,3.77,3.77,3.77,3.77,1200
2021-04-30 01:32:11,3.77,3.7705,3.77,3.77,4382
2021-04-30 01:32:12,3.77,3.7701,3.77,3.77,2591
2021-04-30 01:32:14,3.77,3.77,3.77,3.77,200
2021-04-30 01:32:15,3.77,3.77,3.77,3.77,2266
2021-04-30 01:32:17,3.7793,3.7793,3.76,3.76,3041
