Date,Open,High,Low,Close,Volume
2021-05-03 01:30:56,3.1201,3.1201,3.1201,3.1201,313
2021-05-03 01:30:57,3.1235,3.125,3.12,3.12,13350
2021-05-03 01:30:58,3.121,3.1292,3.12,3.12,2578
2021-05-03 01:30:59,3.125,3.1285,3.125,3.1285,780
2021-05-03 01:31:00,3.1281,3.1294,3.1201,3.1201,6546
2021-05-03 01:31:01,3.12,3.1289,3.1178,3.1178,4644
2021-05-03 01:31:02,3.115,3.12,3.115,3.12,9992
2021-05-03 01:31:03,3.1168,3.1179,3.11,3.11,2407
2021-05-03 01:31:04,3.1123,3.12,3.11,3.12,2394
2021-05-03 01:31:05,3.1122,3.1176,3.1,3.1,64139
2021-05-03 01:31:06,3.105,3.105,3.1,3.1,83355
2021-05-03 01:31:07,3.1,3.1077,3.09,3.09,23373
2021-05-03 01:31:08,3.095,3.1,3.09,3.09,17381
2021-05-03 01:31:09,3.09,3.1,3.09,3.1,10321
2021-05-03 01:31:10,3.0913,3.095,3.085,3.085,14401
2021-05-03 01:31:11,3.0821,3.085,3.08,3.0825,7443
2021-05-03 01:31:12,3.08,3.0887,3.08,3.08,28969
2021-05-03 01:31:13,3.0899,3.0899,3.08,3.0815,4770
2021-05-03 01:31:14,3.0806,3.0866,3.08,3.0818,5084
2021-05-03 01:31:15,3.088,3.088,3.0736,3.0736,10459
2021-05-03 01:31:16,3.08,3.09,3.075,3.085,7168
2021-05-03 01:31:17,3.085,3.09,3.0801,3.09,10367
2021-05-03 01:31:18,3.085,3.09,3.08,3.085,3148
2021-05-03 01:31:19,3.09,3.0958,3.08,3.095,3951
2021-05-03 01:31:20,3.092,3.095,3.08,3.08,11156
2021-05-03 01:31:21,3.0818,3.0818,3.075,3.075,13361
2021-05-03 01:31:22,3.08,3.08,3.0784,3.08,3050
2021-05-03 01:31:23,3.075,3.08,3.07,3.077,3391
2021-05-03 01:31:24,3.08,3.08,3.07,3.07,5000
2021-05-03 01:31:25,3.08,3.0878,3.08,3.0878,823
2021-05-03 01:31:26,3.085,3.0885,3.08,3.08,1170
2021-05-03 01:31:27,3.0827,3.085,3.0827,3.085,1034
2021-05-03 01:31:28,3.0809,3.0809,3.08,3.08,3899
2021-05-03 01:31:29,3.079,3.08,3.079,3.08,510
2021-05-03 01:31:30,3.08,3.08,3.08,3.08,1050
2021-05-03 01:31:31,3.085,3.085,3.0801,3.085,7691
2021-05-03 01:31:32,3.0832,3.09,3.08,3.085,5397
2021-05-03 01:31:33,3.09,3.09,3.09,3.09,140
2021-05-03 01:31:34,3.0812,3.09,3.08,3.09,5057
2021-05-03 01:31:35,3.0801,3.085,3.08,3.0831,6959
2021-05-03 01:31:36,3.085,3.0884,3.0811,3.0884,2290
2021-05-03 01:31:37,3.0886,3.0886,3.085,3.085,568
2021-05-03 01:31:38,3.0839,3.0887,3.08,3.0885,2541
2021-05-03 01:31:39,3.0877,3.0887,3.0877,3.0887,805
2021-05-03 01:31:40,3.085,3.0878,3.08,3.0815,1850
2021-05-03 01:31:41,3.085,3.085,3.08,3.08,14386
2021-05-03 01:31:42,3.08,3.08,3.05,3.06,81671
2021-05-03 01:31:43,3.06,3.07,3.05,3.06,7595
2021-05-03 01:31:44,3.0615,3.065,3.06,3.06,6976
2021-05-03 01:31:45,3.0608,3.0608,3.06,3.06,3848
2021-05-03 01:31:46,3.06,3.06,3.05,3.05,7920
2021-05-03 01:31:47,3.06,3.06,3.05,3.05,1625
2021-05-03 01:31:48,3.0585,3.06,3.0501,3.0501,5548
2021-05-03 01:31:49,3.055,3.0597,3.05,3.0597,4990
2021-05-03 01:31:50,3.055,3.0562,3.0512,3.0562,2917
2021-05-03 01:31:51,3.05,3.05,3.04,3.04,30880
2021-05-03 01:31:52,3.04,3.0499,3.04,3.04,9054
2021-05-03 01:31:53,3.0491,3.0491,3.04,3.04,5260
2021-05-03 01:31:54,3.045,3.05,3.04,3.04,30103
2021-05-03 01:31:55,3.05,3.05,3.04,3.04,4719
2021-05-03 01:31:56,3.04,3.05,3.04,3.04,7549
2021-05-03 01:31:57,3.05,3.05,3.04,3.0499,22031
2021-05-03 01:31:58,3.04,3.04,3.02,3.02,45201
2021-05-03 01:31:59,3.03,3.04,3.0221,3.03,3023
2021-05-03 01:32:00,3.03,3.04,3.03,3.039,11309
2021-05-03 01:32:01,3.035,3.05,3.03,3.0419,44007
2021-05-03 01:32:02,3.0499,3.0499,3.0301,3.042,17749
2021-05-03 01:32:03,3.045,3.05,3.04,3.0402,13500
2021-05-03 01:32:04,3.04,3.04,3.03,3.04,5417
2021-05-03 01:32:05,3.049,3.049,3.04,3.0423,7466
2021-05-03 01:32:06,3.045,3.0488,3.04,3.0478,1112
2021-05-03 01:32:07,3.04,3.05,3.04,3.0499,11407
2021-05-03 01:32:08,3.05,3.06,3.05,3.05,30897
2021-05-03 01:32:09,3.0522,3.0599,3.04,3.0599,15113
2021-05-03 01:32:10,3.0517,3.0599,3.045,3.0499,3940
2021-05-03 01:32:11,3.05,3.0517,3.0499,3.05,1936
2021-05-03 01:32:12,3.0582,3.0582,3.04,3.04,18035
2021-05-03 01:32:13,3.0412,3.0412,3.0319,3.04,4048
2021-05-03 01:32:14,3.035,3.04,3.0301,3.035,7106
2021-05-03 01:32:15,3.03,3.055,3.03,3.045,26316
2021-05-03 01:32:16,3.045,3.05,3.04,3.0411,5789
2021-05-03 01:32:17,3.04,3.0479,3.04,3.0479,4370
2021-05-03 01:32:18,3.04,3.045,3.04,3.045,1758
2021-05-03 01:32:19,3.0401,3.05,3.04,3.05,11705
2021-05-03 01:32:20,3.0401,3.0611,3.0401,3.0611,23926
2021-05-03 01:32:21,3.0656,3.07,3.0601,3.07,6939
2021-05-03 01:32:22,3.0695,3.07,3.065,3.07,4443
2021-05-03 01:32:23,3.07,3.07,3.06,3.07,3198
2021-05-03 01:32:24,3.065,3.08,3.065,3.08,15215
2021-05-03 01:32:25,3.07,3.08,3.07,3.075,15896
