Date,Open,High,Low,Close,Volume
2021-05-03 01:30:56,8.1571,8.1571,8.15,8.15,2274
2021-05-03 01:30:57,8.16,8.16,8.11,8.11,3831
2021-05-03 01:30:58,8.12,8.12,8.12,8.12,300
2021-05-03 01:30:59,8.13,8.13,8.12,8.13,1148
2021-05-03 01:31:00,8.11,8.15,8.11,8.15,2509
2021-05-03 01:31:01,8.12,8.15,8.12,8.15,774
2021-05-03 01:31:02,8.12,8.1299,8.11,8.1299,1847
2021-05-03 01:31:03,8.115,8.115,8.09,8.11,3033
2021-05-03 01:31:04,8.0635,8.07,8.05,8.05,1715
2021-05-03 01:31:05,8.11,8.11,8.05,8.05,2280
2021-05-03 01:31:06,8.1034,8.1034,8.1034,8.1034,350
2021-05-03 01:31:07,8.08,8.11,8.05,8.11,1988
2021-05-03 01:31:09,8.08,8.08,8.07,8.07,268
2021-05-03 01:31:10,8.05,8.0699,8.05,8.0699,3465
2021-05-03 01:31:11,8.07,8.07,8.05,8.05,851
2021-05-03 01:31:12,8.05,8.0589,8.05,8.05,3886
2021-05-03 01:31:13,8.05,8.05,8.03,8.03,3165
2021-05-03 01:31:14,8.035,8.04,8,8,4537
2021-05-03 01:31:15,8.024,8.05,8.0001,8.0048,4654
2021-05-03 01:31:16,8,8.025,8,8.025,2765
2021-05-03 01:31:17,8.02,8.02,8.02,8.02,157
2021-05-03 01:31:18,8.01,8.0492,8,8.0057,1560
2021-05-03 01:31:20,8.019,8.02,8.019,8.02,335
2021-05-03 01:31:22,8,8.04,8,8.01,2564
2021-05-03 01:31:23,8.04,8.04,8.04,8.04,630
2021-05-03 01:31:24,8.05,8.07,8.05,8.06,1890
2021-05-03 01:31:25,8.0699,8.08,8.0699,8.0699,3774
2021-05-03 01:31:26,8.08,8.17,8.06,8.11,4196
2021-05-03 01:31:27,8.14,8.15,8.09,8.09,2300
2021-05-03 01:31:28,8.1,8.1,8.1,8.1,418
2021-05-03 01:31:29,8.1,8.1175,8.1,8.1175,7402
2021-05-03 01:31:30,8.11,8.12,8.11,8.11,1206
2021-05-03 01:31:31,8.1045,8.1045,8.1045,8.1045,2758
2021-05-03 01:31:32,8.1,8.1083,8.05,8.09,8424
2021-05-03 01:31:33,8.05,8.1,8.05,8.1,828
2021-05-03 01:31:34,8.075,8.09,8.075,8.09,2912
2021-05-03 01:31:35,8.1,8.1,8.0995,8.1,2750
2021-05-03 01:31:36,8.0757,8.0757,8.0757,8.0757,200
2021-05-03 01:31:37,8.1,8.1,8.1,8.1,221
2021-05-03 01:31:38,8.06,8.06,8.05,8.05,1000
2021-05-03 01:31:39,8.0535,8.075,8.05,8.075,1110
2021-05-03 01:31:40,8.075,8.075,8.075,8.075,116
2021-05-03 01:31:42,8.06,8.06,8.06,8.06,285
2021-05-03 01:31:43,8.07,8.07,8.07,8.07,1080
2021-05-03 01:31:44,8.075,8.075,8.075,8.075,250
2021-05-03 01:31:45,8.08,8.08,8.07,8.07,1132
2021-05-03 01:31:46,8.06,8.07,8.055,8.07,1804
2021-05-03 01:31:47,8.06,8.07,8.0514,8.0665,1292
2021-05-03 01:31:48,8.06,8.07,8.0558,8.07,1420
