Date,Open,High,Low,Close,Volume
2021-05-04 01:30:34,4.945,4.9471,4.93,4.9396,29555
2021-05-04 01:30:35,4.93,4.95,4.93,4.94,3335
2021-05-04 01:30:36,4.93,4.94,4.92,4.9297,5249
2021-05-04 01:30:37,4.9286,4.9335,4.9,4.91,14010
2021-05-04 01:30:38,4.9,4.9089,4.87,4.87,39061
2021-05-04 01:30:39,4.86,4.89,4.85,4.85,51130
2021-05-04 01:30:40,4.858,4.858,4.8202,4.84,54753
2021-05-04 01:30:41,4.83,4.85,4.82,4.83,28853
2021-05-04 01:30:42,4.83,4.85,4.82,4.8204,15100
2021-05-04 01:30:43,4.84,4.86,4.82,4.86,13696
2021-05-04 01:30:44,4.8555,4.8555,4.81,4.82,47766
2021-05-04 01:30:45,4.81,4.84,4.8,4.8,28391
2021-05-04 01:30:46,4.8099,4.82,4.8,4.8,26567
2021-05-04 01:30:47,4.8,4.81,4.8,4.81,17675
2021-05-04 01:30:48,4.81,4.83,4.8,4.815,21233
2021-05-04 01:30:49,4.8111,4.83,4.81,4.8197,24092
2021-05-04 01:30:50,4.81,4.83,4.81,4.82,8486
2021-05-04 01:30:51,4.83,4.835,4.8,4.82,26469
2021-05-04 01:30:52,4.81,4.83,4.81,4.8216,10661
2021-05-04 01:30:53,4.83,4.85,4.825,4.85,11387
2021-05-04 01:30:54,4.85,4.88,4.84,4.87,30831
2021-05-04 01:30:55,4.88,4.88,4.83,4.8599,10120
2021-05-04 01:30:56,4.85,4.88,4.85,4.88,7766
2021-05-04 01:30:57,4.87,4.88,4.831,4.85,10590
2021-05-04 01:30:58,4.85,4.8699,4.81,4.8595,44290
2021-05-04 01:30:59,4.8554,4.88,4.84,4.87,17329
2021-05-04 01:31:00,4.87,4.88,4.87,4.8775,6795
2021-05-04 01:31:01,4.87,4.8788,4.8523,4.8598,11871
2021-05-04 01:31:02,4.85,4.88,4.84,4.865,14703
2021-05-04 01:31:03,4.87,4.87,4.84,4.8429,6755
2021-05-04 01:31:04,4.84,4.85,4.83,4.845,16101
2021-05-04 01:31:05,4.845,4.845,4.82,4.82,10558
2021-05-04 01:31:06,4.825,4.84,4.82,4.8201,26804
2021-05-04 01:31:07,4.82,4.82,4.81,4.82,10523
2021-05-04 01:31:08,4.81,4.82,4.81,4.815,6310
2021-05-04 01:31:09,4.81,4.82,4.8,4.81,21150
2021-05-04 01:31:10,4.81,4.82,4.8,4.81,18104
2021-05-04 01:31:11,4.8,4.81,4.75,4.75,79139
2021-05-04 01:31:12,4.7504,4.78,4.75,4.78,24528
2021-05-04 01:31:13,4.78,4.79,4.77,4.79,36763
2021-05-04 01:31:14,4.79,4.7901,4.77,4.78,22065
2021-05-04 01:31:15,4.789,4.8,4.78,4.78,22924
2021-05-04 01:31:16,4.771,4.8,4.771,4.8,7397
2021-05-04 01:31:17,4.793,4.8,4.79,4.8,15165
2021-05-04 01:31:18,4.795,4.8,4.79,4.7998,18190
2021-05-04 01:31:19,4.79,4.8,4.79,4.7924,8774
2021-05-04 01:31:20,4.79,4.8,4.79,4.7916,8797
2021-05-04 01:31:21,4.7985,4.83,4.78,4.8,51085
2021-05-04 01:31:22,4.8299,4.84,4.8128,4.8128,11690
2021-05-04 01:31:23,4.82,4.8499,4.82,4.83,29092
2021-05-04 01:31:24,4.83,4.84,4.811,4.811,8966
2021-05-04 01:31:25,4.83,4.83,4.81,4.8295,7130
2021-05-04 01:31:26,4.82,4.84,4.82,4.82,13950
2021-05-04 01:31:27,4.82,4.83,4.82,4.8299,6250
2021-05-04 01:31:28,4.82,4.8394,4.81,4.81,8199
2021-05-04 01:31:29,4.82,4.83,4.8198,4.8286,6681
2021-05-04 01:31:30,4.83,4.83,4.82,4.83,6490
2021-05-04 01:31:31,4.83,4.8497,4.83,4.8377,7447
2021-05-04 01:31:32,4.8315,4.845,4.83,4.845,3476
2021-05-04 01:31:33,4.85,4.86,4.84,4.86,17258
