Date,Open,High,Low,Close,Volume
2021-05-04 01:30:34,1.68,1.68,1.67,1.68,9699
2021-05-04 01:30:35,1.673,1.71,1.673,1.7,42642
2021-05-04 01:30:36,1.7056,1.71,1.7,1.7099,6399
2021-05-04 01:30:37,1.7001,1.7001,1.7,1.7,6784
2021-05-04 01:30:38,1.7,1.71,1.7,1.71,13477
2021-05-04 01:30:39,1.71,1.72,1.7098,1.7191,52668
2021-05-04 01:30:40,1.7199,1.72,1.71,1.715,14088
2021-05-04 01:30:41,1.72,1.72,1.7,1.705,19072
2021-05-04 01:30:42,1.71,1.71,1.7,1.71,21044
2021-05-04 01:30:43,1.7099,1.71,1.7,1.7042,15920
2021-05-04 01:30:44,1.7,1.71,1.7,1.7037,8525
2021-05-04 01:30:45,1.705,1.71,1.7,1.7,8565
2021-05-04 01:30:46,1.7,1.7017,1.68,1.68,20070
2021-05-04 01:30:47,1.69,1.71,1.69,1.7087,70192
2021-05-04 01:30:48,1.7,1.71,1.7,1.7,34652
2021-05-04 01:30:49,1.7,1.7099,1.7,1.7088,5341
2021-05-04 01:30:50,1.7,1.71,1.7,1.71,5863
2021-05-04 01:30:51,1.7099,1.71,1.7,1.7024,14040
2021-05-04 01:30:52,1.705,1.72,1.705,1.7186,94276
2021-05-04 01:30:53,1.7199,1.72,1.71,1.72,24962
2021-05-04 01:30:54,1.72,1.73,1.72,1.7288,20374
2021-05-04 01:30:55,1.7253,1.73,1.72,1.725,10426
2021-05-04 01:30:56,1.7299,1.73,1.72,1.7284,22113
2021-05-04 01:30:57,1.726,1.73,1.72,1.72,6121
2021-05-04 01:30:58,1.73,1.73,1.72,1.72,24205
2021-05-04 01:30:59,1.725,1.73,1.7201,1.7299,11678
2021-05-04 01:31:00,1.7283,1.73,1.72,1.73,2744
2021-05-04 01:31:01,1.72,1.73,1.71,1.715,38411
2021-05-04 01:31:02,1.715,1.72,1.7,1.705,67324
2021-05-04 01:31:03,1.7,1.71,1.7,1.71,24602
2021-05-04 01:31:04,1.7044,1.71,1.7,1.7089,13430
