Date,Open,High,Low,Close,Volume
2021-05-04 01:30:37,4.92,4.92,4.92,4.92,100
2021-05-04 01:30:38,4.96,4.96,4.96,4.96,100
2021-05-04 01:30:39,4.9463,4.9463,4.9463,4.9463,5038
2021-05-04 01:30:40,4.94,4.94,4.94,4.94,140
2021-05-04 01:30:43,4.9201,4.9201,4.9201,4.9201,502
2021-05-04 01:30:50,4.96,4.96,4.96,4.96,100
2021-05-04 01:30:56,4.96,4.96,4.96,4.96,500
2021-05-04 01:30:58,4.9243,4.9243,4.9243,4.9243,500
2021-05-04 01:31:01,4.94,4.96,4.94,4.96,2100
2021-05-04 01:31:03,4.959,4.959,4.9405,4.9405,812
2021-05-04 01:31:04,4.9437,4.9437,4.9437,4.9437,100
2021-05-04 01:31:09,4.9573,4.96,4.9573,4.96,783
2021-05-04 01:31:11,5,5.07,4.99,5.06,2884
2021-05-04 01:31:13,5.07,5.07,5.03,5.03,1400
2021-05-04 01:31:14,5.0455,5.07,5.0272,5.0272,1450
2021-05-04 01:31:15,5.045,5.045,5.045,5.045,100
2021-05-04 01:31:16,5.05,5.069,5.05,5.069,1200
2021-05-04 01:31:20,5.05,5.069,5.02,5.02,2200
2021-05-04 01:31:23,5.039,5.039,5.039,5.039,332
2021-05-04 01:31:24,5.03,5.03,5.03,5.03,165
2021-05-04 01:31:25,5.06,5.06,5.06,5.06,150
2021-05-04 01:31:27,5.06,5.06,5.06,5.06,362
2021-05-04 01:31:28,5.05,5.06,5.05,5.06,801
2021-05-04 01:31:29,5.07,5.07,5.07,5.07,1000
2021-05-04 01:31:30,5.06,5.06,5.0501,5.0501,300
2021-05-04 01:31:31,5.06,5.06,5.06,5.06,200
2021-05-04 01:31:32,5.06,5.07,5.06,5.07,843
2021-05-04 01:31:33,5.09,5.1,5.09,5.1,4571
2021-05-04 01:31:34,5.1,5.1,5.0852,5.0975,6806
2021-05-04 01:31:35,5.1,5.1,5.1,5.1,231
2021-05-04 01:31:36,5.1,5.1,5.09,5.09,2000
2021-05-04 01:31:37,5.1,5.1,5.09,5.1,1396
2021-05-04 01:31:38,5.1,5.1,5.09,5.095,751
2021-05-04 01:31:39,5.09,5.1,5.06,5.075,2641
2021-05-04 01:31:41,5.1,5.1,5.0801,5.09,530
2021-05-04 01:31:42,5.09,5.1,5.08,5.1,1610
2021-05-04 01:31:43,5.0801,5.105,5.0801,5.105,875
2021-05-04 01:31:44,5.105,5.105,5.07,5.09,1110
2021-05-04 01:31:45,5.09,5.09,5.0788,5.0788,364
2021-05-04 01:31:46,5.088,5.09,5.0865,5.0865,1000
2021-05-04 01:31:48,5.1299,5.1299,5.1299,5.1299,1010
2021-05-04 01:31:49,5.08,5.08,5.07,5.08,1680
2021-05-04 01:31:50,5.105,5.105,5.075,5.075,3637
2021-05-04 01:31:51,5.09,5.1,5.09,5.1,1125
2021-05-04 01:31:52,5.1,5.1,5.0901,5.0901,1665
2021-05-04 01:31:53,5.09,5.09,5.0789,5.0789,713
2021-05-04 01:31:54,5.1,5.1,5.0685,5.0685,420
2021-05-04 01:31:55,5.1,5.1,5.09,5.09,5570
2021-05-04 01:31:56,5.0601,5.0601,5.0601,5.0601,153
2021-05-04 01:31:58,5.076,5.076,5.076,5.076,100
2021-05-04 01:31:59,5.09,5.09,5.09,5.09,100
2021-05-04 01:32:00,5.1,5.1,5.0998,5.0998,2840
2021-05-04 01:32:01,5.099,5.099,5.099,5.099,100
2021-05-04 01:32:02,5.07,5.07,5.07,5.07,200
2021-05-04 01:32:03,5.09,5.0941,5.05,5.05,1974
2021-05-04 01:32:04,5.0627,5.09,5.03,5.0372,6368
2021-05-04 01:32:05,5.03,5.03,5.03,5.03,200
2021-05-04 01:32:06,5.03,5.05,5.03,5.05,1385
2021-05-04 01:32:08,5.05,5.0517,5.02,5.02,1364
2021-05-04 01:32:10,5.04,5.04,4.92,4.92,6267
2021-05-04 01:32:11,5.06,5.06,4.92,4.92,401
2021-05-04 01:32:14,5.0522,5.0522,4.99,4.99,3257
2021-05-04 01:32:15,5.0599,5.0599,5.0001,5.0001,4050
2021-05-04 01:32:17,5,5,5,5,300
2021-05-04 01:32:18,5.0606,5.0606,5.0606,5.0606,550
2021-05-04 01:32:19,5.0141,5.0141,5.0141,5.0141,100
2021-05-04 01:32:20,5.0206,5.0206,5.0206,5.0206,170
2021-05-04 01:32:21,5,5,5,5,500
2021-05-04 01:32:24,5.025,5.025,5.025,5.025,135
2021-05-04 01:32:26,5.0125,5.025,4.96,4.96,3455
2021-05-04 01:32:27,4.921,4.931,4.92,4.9203,1017
2021-05-04 01:32:28,4.93,4.93,4.9206,4.9206,260
2021-05-04 01:32:30,4.9389,4.9389,4.9389,4.9389,546
2021-05-04 01:32:31,4.98,4.98,4.92,4.92,1000
2021-05-04 01:32:34,5,5,5,5,302
2021-05-04 01:32:36,4.9361,4.9361,4.9361,4.9361,1000
2021-05-04 01:32:40,4.99,4.99,4.99,4.99,160
2021-05-04 01:32:42,4.9377,4.9392,4.9377,4.9392,662
2021-05-04 01:32:43,4.98,4.98,4.98,4.98,105
2021-05-04 01:32:46,4.98,4.99,4.97,4.98,1157
2021-05-04 01:32:47,4.987,5.03,4.9692,5.03,2588
2021-05-04 01:32:50,5.04,5.04,5.0306,5.0306,400
2021-05-04 01:32:51,5.03,5.03,5.03,5.03,250
2021-05-04 01:33:00,5.0007,5.0007,5.0007,5.0007,200
2021-05-04 01:33:02,5,5,5,5,600
2021-05-04 01:33:04,5.005,5.0097,5.005,5.0097,1242
2021-05-04 01:33:05,5.01,5.04,5.01,5.04,1234
2021-05-04 01:33:06,5.0405,5.0405,5.0405,5.0405,100
2021-05-04 01:33:09,5.0001,5.0001,5.0001,5.0001,500
2021-05-04 01:33:13,5.01,5.01,5.01,5.01,250
2021-05-04 01:33:20,5,5,5,5,1400
2021-05-04 01:33:21,5.0069,5.0069,5.0069,5.0069,500
2021-05-04 01:33:22,5.0114,5.0114,5.0114,5.0114,595
2021-05-04 01:33:23,5.02,5.02,5.0105,5.0105,400
2021-05-04 01:33:24,5.01,5.011,5.01,5.011,500
2021-05-04 01:33:29,5.0163,5.0163,5.0163,5.0163,221
2021-05-04 01:33:38,5.05,5.05,5.05,5.05,100
2021-05-04 01:33:43,5.0484,5.0484,5.03,5.04,2038
2021-05-04 01:33:50,5.0431,5.0431,5.0431,5.0431,900
2021-05-04 01:33:53,5.03,5.03,5.03,5.03,500
2021-05-04 01:33:54,5.04,5.04,5.04,5.04,200
2021-05-04 01:33:56,5.04,5.04,5.0305,5.0305,200
2021-05-04 01:33:57,5.03,5.04,5.01,5.04,716
2021-05-04 01:33:58,5,5,5,5,400
2021-05-04 01:34:05,5.02,5.02,5.02,5.02,379
2021-05-04 01:34:10,4.97,4.97,4.95,4.95,400
