Date,Open,High,Low,Close,Volume
2021-05-04 01:30:34,6.308,6.35,6.29,6.34,16543
2021-05-04 01:30:35,6.3,6.34,6.26,6.3,38803
2021-05-04 01:30:36,6.31,6.32,6.2835,6.3199,11378
2021-05-04 01:30:37,6.3182,6.32,6.29,6.32,20672
2021-05-04 01:30:38,6.3,6.32,6.29,6.3,33367
2021-05-04 01:30:39,6.31,6.32,6.29,6.32,15278
2021-05-04 01:30:40,6.3,6.32,6.28,6.3177,22907
2021-05-04 01:30:41,6.32,6.39,6.32,6.38,43294
2021-05-04 01:30:42,6.39,6.39,6.34,6.36,37110
2021-05-04 01:30:43,6.36,6.39,6.34,6.37,23081
2021-05-04 01:30:44,6.39,6.4,6.38,6.38,31902
2021-05-04 01:30:45,6.385,6.42,6.37,6.4,60340
2021-05-04 01:30:46,6.39,6.46,6.39,6.4397,44851
2021-05-04 01:30:47,6.44,6.462,6.39,6.45,59335
2021-05-04 01:30:48,6.435,6.45,6.39,6.41,39710
2021-05-04 01:30:49,6.391,6.41,6.35,6.3699,34700
2021-05-04 01:30:50,6.35,6.4007,6.35,6.369,29660
2021-05-04 01:30:51,6.38,6.4,6.36,6.3814,15012
2021-05-04 01:30:52,6.37,6.42,6.37,6.38,23780
2021-05-04 01:30:53,6.38,6.39,6.36,6.3797,20604
2021-05-04 01:30:54,6.38,6.41,6.37,6.402,20429
2021-05-04 01:30:55,6.391,6.41,6.3727,6.3794,25319
2021-05-04 01:30:56,6.38,6.4,6.37,6.4,19420
2021-05-04 01:30:57,6.39,6.43,6.39,6.41,36349
2021-05-04 01:30:58,6.415,6.43,6.38,6.3823,25270
2021-05-04 01:30:59,6.39,6.4,6.37,6.39,23970
2021-05-04 01:31:00,6.385,6.3979,6.37,6.3979,8888
2021-05-04 01:31:01,6.39,6.39,6.3605,6.39,10074
2021-05-04 01:31:02,6.38,6.4,6.37,6.392,33328
2021-05-04 01:31:03,6.4,6.44,6.39,6.4101,41025
2021-05-04 01:31:04,6.425,6.47,6.4,6.47,60368
2021-05-04 01:31:05,6.47,6.49,6.42,6.48,102437
2021-05-04 01:31:06,6.48,6.4894,6.41,6.41,77424
2021-05-04 01:31:07,6.4268,6.46,6.41,6.42,46878
2021-05-04 01:31:08,6.43,6.43,6.4,6.43,45761
2021-05-04 01:31:09,6.43,6.43,6.4,6.4282,28723
2021-05-04 01:31:10,6.42,6.45,6.42,6.45,35500
2021-05-04 01:31:11,6.445,6.45,6.43,6.43,17639
2021-05-04 01:31:12,6.43,6.46,6.41,6.4499,41234
2021-05-04 01:31:13,6.4499,6.46,6.4,6.4,57977
2021-05-04 01:31:14,6.4167,6.45,6.4,6.44,34919
2021-05-04 01:31:15,6.43,6.44,6.4,6.42,20673
2021-05-04 01:31:16,6.421,6.43,6.42,6.42,26163
2021-05-04 01:31:17,6.42,6.43,6.4,6.41,18924
2021-05-04 01:31:18,6.411,6.43,6.4,6.4201,11368
2021-05-04 01:31:19,6.4248,6.45,6.421,6.45,18503
2021-05-04 01:31:20,6.441,6.49,6.441,6.49,26391
2021-05-04 01:31:21,6.47,6.49,6.46,6.47,41926
2021-05-04 01:31:22,6.475,6.49,6.45,6.465,36189
2021-05-04 01:31:23,6.45,6.47,6.44,6.46,30982
2021-05-04 01:31:24,6.46,6.48,6.43,6.45,32251
2021-05-04 01:31:25,6.45,6.46,6.43,6.4324,28685
2021-05-04 01:31:26,6.44,6.46,6.42,6.45,25685
2021-05-04 01:31:27,6.46,6.465,6.44,6.4425,24996
2021-05-04 01:31:28,6.44,6.4637,6.43,6.4616,23342
2021-05-04 01:31:29,6.46,6.5,6.45,6.49,41757
2021-05-04 01:31:30,6.49,6.5,6.47,6.49,37418
2021-05-04 01:31:31,6.495,6.57,6.49,6.5688,69468
2021-05-04 01:31:32,6.54,6.6,6.53,6.5499,65073
2021-05-04 01:31:33,6.555,6.58,6.53,6.54,53674
2021-05-04 01:31:34,6.55,6.58,6.54,6.566,44304
2021-05-04 01:31:35,6.566,6.6,6.55,6.58,40380
2021-05-04 01:31:36,6.5874,6.64,6.58,6.63,53928
2021-05-04 01:31:37,6.6382,6.7,6.62,6.6799,73413
2021-05-04 01:31:38,6.66,6.73,6.66,6.7256,153169
2021-05-04 01:31:39,6.72,6.74,6.6679,6.7,63364
2021-05-04 01:31:40,6.7,6.73,6.65,6.66,125991
2021-05-04 01:31:41,6.6595,6.67,6.62,6.65,54897
2021-05-04 01:31:42,6.65,6.67,6.6201,6.6598,59172
2021-05-04 01:31:43,6.6599,6.68,6.6306,6.66,124078
2021-05-04 01:31:44,6.66,6.68,6.65,6.6601,52801
2021-05-04 01:31:45,6.68,6.68,6.66,6.67,36193
2021-05-04 01:31:46,6.6759,6.69,6.66,6.6787,32529
2021-05-04 01:31:47,6.675,6.69,6.66,6.69,37221
