Date,Open,High,Low,Close,Volume
2021-05-05 01:30:36,4.91,4.92,4.865,4.865,27369
2021-05-05 01:30:37,4.87,4.88,4.86,4.88,28266
2021-05-05 01:30:38,4.89,4.9,4.87,4.9,39842
2021-05-05 01:30:39,4.8999,4.93,4.8999,4.9101,18955
2021-05-05 01:30:40,4.9187,4.94,4.91,4.935,32201
2021-05-05 01:30:41,4.93,4.95,4.92,4.92,27583
2021-05-05 01:30:42,4.93,4.94,4.925,4.9391,30315
2021-05-05 01:30:43,4.94,4.941,4.93,4.936,23330
2021-05-05 01:30:44,4.94,4.95,4.935,4.94,7504
2021-05-05 01:30:45,4.94,4.95,4.93,4.93,11657
2021-05-05 01:30:46,4.935,4.95,4.93,4.945,10155
2021-05-05 01:30:47,4.9473,4.95,4.94,4.95,3834
2021-05-05 01:30:48,4.95,4.95,4.93,4.94,24233
2021-05-05 01:30:49,4.95,4.95,4.94,4.9486,6423
2021-05-05 01:30:50,4.94,4.95,4.94,4.94,11898
2021-05-05 01:30:51,4.94,4.95,4.94,4.94,24555
2021-05-05 01:30:52,4.94,4.95,4.93,4.93,25181
2021-05-05 01:30:53,4.93,4.94,4.93,4.9315,10014
2021-05-05 01:30:54,4.94,4.95,4.93,4.94,24932
2021-05-05 01:30:55,4.93,4.94,4.92,4.9399,15730
2021-05-05 01:30:56,4.9375,4.94,4.91,4.915,25237
2021-05-05 01:30:57,4.9113,4.92,4.9,4.915,17507
2021-05-05 01:30:58,4.9123,4.92,4.88,4.88,32433
2021-05-05 01:30:59,4.8818,4.91,4.88,4.91,8809
2021-05-05 01:31:00,4.91,4.92,4.9,4.92,20442
2021-05-05 01:31:01,4.915,4.92,4.88,4.9099,28052
2021-05-05 01:31:02,4.9,4.91,4.89,4.89,5458
2021-05-05 01:31:03,4.899,4.9,4.88,4.885,8522
2021-05-05 01:31:04,4.8899,4.89,4.87,4.87,16840
2021-05-05 01:31:05,4.88,4.88,4.86,4.8676,29372
2021-05-05 01:31:06,4.8618,4.87,4.86,4.8617,11524
2021-05-05 01:31:07,4.86,4.89,4.86,4.8685,32199
2021-05-05 01:31:08,4.86,4.87,4.86,4.86,8905
2021-05-05 01:31:09,4.86,4.88,4.86,4.8606,18209
2021-05-05 01:31:10,4.87,4.89,4.86,4.89,45619
2021-05-05 01:31:11,4.885,4.9,4.88,4.9,11150
2021-05-05 01:31:12,4.8985,4.9,4.883,4.8977,20909
2021-05-05 01:31:13,4.8966,4.9,4.895,4.9,14037
2021-05-05 01:31:14,4.9,4.9,4.88,4.885,9834
2021-05-05 01:31:15,4.89,4.89,4.87,4.87,7788
2021-05-05 01:31:16,4.87,4.9,4.87,4.8833,16821
2021-05-05 01:31:17,4.89,4.8903,4.875,4.88,6920
2021-05-05 01:31:18,4.88,4.89,4.87,4.885,3036
2021-05-05 01:31:19,4.88,4.9,4.87,4.88,20267
2021-05-05 01:31:20,4.875,4.89,4.87,4.8798,12914
2021-05-05 01:31:21,4.87,4.88,4.87,4.88,2848
2021-05-05 01:31:22,4.88,4.9,4.87,4.87,17808
2021-05-05 01:31:23,4.8784,4.9,4.87,4.89,16197
2021-05-05 01:31:24,4.89,4.9,4.881,4.8882,6281
2021-05-05 01:31:25,4.88,4.89,4.87,4.88,8697
2021-05-05 01:31:26,4.8799,4.8799,4.875,4.875,382
2021-05-05 01:31:27,4.87,4.8784,4.87,4.8718,4072
2021-05-05 01:31:28,4.8799,4.8799,4.85,4.86,20712
2021-05-05 01:31:29,4.855,4.8599,4.85,4.8599,32702
2021-05-05 01:31:30,4.851,4.86,4.84,4.84,44463
2021-05-05 01:31:31,4.8469,4.85,4.83,4.84,9999
2021-05-05 01:31:32,4.84,4.845,4.81,4.81,46557
2021-05-05 01:31:33,4.81,4.83,4.81,4.81,7980
2021-05-05 01:31:34,4.815,4.83,4.81,4.81,15926
2021-05-05 01:31:35,4.82,4.8299,4.815,4.8202,9161
2021-05-05 01:31:36,4.82,4.87,4.78,4.8,74611
2021-05-05 01:31:37,4.794,4.81,4.75,4.7931,71714
2021-05-05 01:31:38,4.79,4.82,4.78,4.81,29296
2021-05-05 01:31:39,4.801,4.8199,4.8,4.8199,11735
2021-05-05 01:31:40,4.8001,4.84,4.8001,4.816,44108
2021-05-05 01:31:41,4.82,4.84,4.82,4.83,9075
2021-05-05 01:31:42,4.8399,4.85,4.835,4.8413,11103
2021-05-05 01:31:43,4.8401,4.86,4.83,4.86,20907
2021-05-05 01:31:44,4.86,4.86,4.8501,4.8553,20981
2021-05-05 01:31:45,4.855,4.8599,4.85,4.855,3781
2021-05-05 01:31:46,4.855,4.86,4.84,4.86,15337
2021-05-05 01:31:47,4.8564,4.86,4.84,4.85,4867
2021-05-05 01:31:48,4.86,4.86,4.84,4.85,8410
2021-05-05 01:31:49,4.84,4.86,4.84,4.851,8008
2021-05-05 01:31:50,4.855,4.86,4.85,4.8588,13276
2021-05-05 01:31:51,4.855,4.87,4.85,4.85,18112
2021-05-05 01:31:52,4.86,4.8699,4.85,4.8699,5004
2021-05-05 01:31:53,4.865,4.87,4.86,4.86,5345
2021-05-05 01:31:54,4.865,4.9,4.86,4.89,33846
2021-05-05 01:31:55,4.895,4.895,4.87,4.8877,13427
2021-05-05 01:31:56,4.89,4.89,4.8723,4.8788,4666
2021-05-05 01:31:57,4.87,4.88,4.87,4.875,1243
2021-05-05 01:31:58,4.8758,4.88,4.875,4.88,3617
2021-05-05 01:31:59,4.8701,4.88,4.8701,4.875,2934
2021-05-05 01:32:00,4.88,4.89,4.88,4.885,4654
2021-05-05 01:32:01,4.88,4.91,4.87,4.91,38368
2021-05-05 01:32:02,4.91,4.94,4.9098,4.92,28331
2021-05-05 01:32:03,4.92,4.94,4.9199,4.92,25213
2021-05-05 01:32:04,4.93,4.95,4.93,4.9402,20141
2021-05-05 01:32:05,4.9499,4.95,4.93,4.949,15234
2021-05-05 01:32:06,4.9453,4.9481,4.915,4.9282,35512
2021-05-05 01:32:07,4.925,4.94,4.91,4.915,16232
2021-05-05 01:32:08,4.91,4.9168,4.9,4.9,11763
2021-05-05 01:32:09,4.9,4.91,4.88,4.89,23005
2021-05-05 01:32:10,4.89,4.91,4.89,4.8984,7290
2021-05-05 01:32:11,4.9,4.91,4.89,4.9,2193
2021-05-05 01:32:12,4.895,4.91,4.89,4.8982,9432
2021-05-05 01:32:13,4.9,4.91,4.8999,4.905,3817
2021-05-05 01:32:14,4.9,4.91,4.9,4.91,2341
2021-05-05 01:32:15,4.91,4.91,4.9,4.9,17532
2021-05-05 01:32:16,4.9,4.9099,4.89,4.89,8779
2021-05-05 01:32:17,4.8916,4.8999,4.89,4.8953,3880
2021-05-05 01:32:18,4.89,4.8983,4.89,4.8983,1969
2021-05-05 01:32:19,4.895,4.9,4.89,4.9,5338
2021-05-05 01:32:20,4.8991,4.905,4.89,4.9,23980
2021-05-05 01:32:21,4.9,4.91,4.89,4.91,58528
