Date,Open,High,Low,Close,Volume
2021-05-05 01:30:36,3.935,3.935,3.93,3.93,539
2021-05-05 01:30:37,3.9323,3.9323,3.9301,3.9301,1250
2021-05-05 01:30:38,3.93,3.93,3.91,3.9103,2535
2021-05-05 01:30:39,3.92,3.92,3.91,3.9199,3772
2021-05-05 01:30:40,3.9199,3.9199,3.9199,3.9199,452
2021-05-05 01:30:41,3.91,3.9126,3.91,3.9126,1333
2021-05-05 01:30:42,3.91,3.92,3.91,3.92,762
2021-05-05 01:30:43,3.9101,3.9133,3.9101,3.9133,411
2021-05-05 01:30:44,3.92,3.94,3.92,3.94,4137
2021-05-05 01:30:45,3.94,3.94,3.94,3.94,500
2021-05-05 01:30:46,3.94,3.94,3.94,3.94,234
2021-05-05 01:30:47,3.94,3.94,3.94,3.94,2101
2021-05-05 01:30:48,3.95,3.95,3.9486,3.9494,1654
2021-05-05 01:30:49,3.9499,3.95,3.9303,3.95,6700
2021-05-05 01:30:50,3.949,3.96,3.94,3.9556,3555
2021-05-05 01:30:51,3.96,3.964,3.96,3.96,6485
2021-05-05 01:30:52,3.9587,3.97,3.95,3.96,11488
2021-05-05 01:30:53,3.96,3.97,3.96,3.96,3900
2021-05-05 01:30:54,3.97,3.98,3.9629,3.98,21256
2021-05-05 01:30:55,3.9796,3.98,3.96,3.96,4383
2021-05-05 01:30:56,3.98,3.99,3.96,3.986,18567
2021-05-05 01:30:57,3.99,3.99,3.9801,3.9882,11427
2021-05-05 01:30:58,3.988,4,3.988,4,7879
2021-05-05 01:30:59,4,4,3.99,3.99,33062
2021-05-05 01:31:00,3.99,4.02,3.99,4.02,38919
2021-05-05 01:31:01,4.015,4.02,4,4.01,25014
2021-05-05 01:31:02,4.01,4.02,4.01,4.019,11031
2021-05-05 01:31:03,4.015,4.02,4,4,16237
2021-05-05 01:31:04,4.01,4.01,4,4,15966
2021-05-05 01:31:05,4.005,4.005,3.96,3.96,22384
2021-05-05 01:31:06,3.97,3.97,3.96,3.965,5570
2021-05-05 01:31:07,3.9699,3.97,3.92,3.935,16066
2021-05-05 01:31:08,3.94,3.96,3.93,3.96,12099
2021-05-05 01:31:09,3.95,3.96,3.94,3.96,4780
2021-05-05 01:31:10,3.94,3.96,3.94,3.96,16866
2021-05-05 01:31:11,3.96,3.96,3.96,3.96,1467
2021-05-05 01:31:12,3.968,3.97,3.95,3.95,9974
2021-05-05 01:31:13,3.945,3.95,3.945,3.9488,5549
2021-05-05 01:31:14,3.945,3.95,3.93,3.93,3901
2021-05-05 01:31:15,3.93,3.93,3.9,3.91,44928
2021-05-05 01:31:16,3.91,3.9199,3.9,3.91,11904
2021-05-05 01:31:17,3.92,3.92,3.84,3.84,39749
2021-05-05 01:31:18,3.84,3.8417,3.82,3.8299,18303
2021-05-05 01:31:19,3.8228,3.84,3.82,3.84,29958
2021-05-05 01:31:20,3.85,3.85,3.82,3.82,10033
2021-05-05 01:31:21,3.83,3.85,3.82,3.82,7180
2021-05-05 01:31:22,3.83,3.85,3.8242,3.8411,8111
2021-05-05 01:31:23,3.84,3.8699,3.84,3.8699,22714
2021-05-05 01:31:24,3.87,3.89,3.86,3.8888,13917
2021-05-05 01:31:25,3.88,3.886,3.87,3.886,2894
2021-05-05 01:31:26,3.87,3.87,3.85,3.85,11325
2021-05-05 01:31:27,3.8492,3.85,3.8416,3.85,17594
2021-05-05 01:31:28,3.8406,3.8709,3.84,3.8709,14777
2021-05-05 01:31:29,3.88,3.89,3.83,3.87,30785
2021-05-05 01:31:30,3.88,3.88,3.831,3.87,25881
2021-05-05 01:31:31,3.86,3.8601,3.84,3.8582,2834
2021-05-05 01:31:32,3.85,3.86,3.8401,3.855,13250
2021-05-05 01:31:33,3.85,3.86,3.83,3.83,12650
2021-05-05 01:31:34,3.83,3.84,3.83,3.83,1829
2021-05-05 01:31:35,3.8392,3.88,3.835,3.875,18883
2021-05-05 01:31:36,3.875,3.8794,3.8601,3.8708,1795
2021-05-05 01:31:37,3.87,3.886,3.87,3.88,3114
2021-05-05 01:31:38,3.87,3.89,3.87,3.8899,6373
2021-05-05 01:31:39,3.88,3.88,3.875,3.875,2195
2021-05-05 01:31:40,3.8899,3.89,3.88,3.89,10324
2021-05-05 01:31:41,3.885,3.89,3.87,3.89,5486
2021-05-05 01:31:42,3.8899,3.8899,3.88,3.8844,2108
2021-05-05 01:31:43,3.88,3.9,3.88,3.9,4401
2021-05-05 01:31:44,3.9,3.919,3.8723,3.8723,9208
2021-05-05 01:31:45,3.9,3.92,3.8962,3.8962,3276
2021-05-05 01:31:46,3.92,3.93,3.9,3.9,7110
2021-05-05 01:31:47,3.909,3.91,3.89,3.9,14950
2021-05-05 01:31:48,3.905,3.905,3.9,3.9018,700
2021-05-05 01:31:49,3.905,3.91,3.905,3.91,2500
2021-05-05 01:31:50,3.92,3.94,3.9,3.91,5881
2021-05-05 01:31:51,3.9,3.92,3.9,3.9,4572
2021-05-05 01:31:52,3.9,3.9288,3.9,3.9191,6322
2021-05-05 01:31:53,3.91,3.915,3.9,3.91,4656
2021-05-05 01:31:54,3.91,3.9199,3.9,3.9054,4638
2021-05-05 01:31:55,3.9,3.93,3.9,3.9272,16516
2021-05-05 01:31:56,3.93,3.93,3.91,3.91,12260
2021-05-05 01:31:57,3.9181,3.9181,3.9,3.9,3270
2021-05-05 01:31:58,3.9,3.9004,3.88,3.8984,28111
2021-05-05 01:31:59,3.89,3.91,3.88,3.91,2712
2021-05-05 01:32:00,3.9055,3.91,3.9,3.9,2840
2021-05-05 01:32:01,3.9,3.9,3.9,3.9,926
2021-05-05 01:32:02,3.91,3.92,3.91,3.915,2940
2021-05-05 01:32:03,3.915,3.915,3.91,3.91,1333
2021-05-05 01:32:04,3.9,3.91,3.88,3.9,13186
2021-05-05 01:32:05,3.92,3.92,3.9,3.9,2910
2021-05-05 01:32:06,3.9,3.91,3.9,3.9091,2604
2021-05-05 01:32:07,3.9,3.9,3.87,3.88,33873
2021-05-05 01:32:08,3.8714,3.88,3.85,3.85,13940
2021-05-05 01:32:09,3.85,3.8599,3.85,3.855,3652
2021-05-05 01:32:10,3.855,3.8799,3.855,3.8799,1990
2021-05-05 01:32:11,3.8713,3.89,3.8713,3.89,2600
2021-05-05 01:32:12,3.89,3.89,3.88,3.89,3897
2021-05-05 01:32:13,3.8807,3.89,3.88,3.88,4220
2021-05-05 01:32:14,3.8864,3.9,3.87,3.9,14389
2021-05-05 01:32:15,3.89,3.91,3.89,3.91,9042
2021-05-05 01:32:16,3.91,3.91,3.9099,3.9099,700
2021-05-05 01:32:17,3.9099,3.9099,3.9,3.9,832
2021-05-05 01:32:18,3.905,3.91,3.905,3.91,610
2021-05-05 01:32:19,3.9086,3.9086,3.87,3.89,5416
2021-05-05 01:32:20,3.88,3.88,3.87,3.88,4508
2021-05-05 01:32:21,3.88,3.8967,3.88,3.8967,2342
2021-05-05 01:32:22,3.9,3.9,3.88,3.89,3900
2021-05-05 01:32:24,3.89,3.9064,3.89,3.89,7475
2021-05-05 01:32:25,3.89,3.9,3.89,3.9,755
2021-05-05 01:32:26,3.91,3.91,3.9016,3.91,2023
2021-05-05 01:32:27,3.91,3.91,3.9,3.91,2264
2021-05-05 01:32:28,3.92,3.93,3.92,3.93,5877
2021-05-05 01:32:29,3.925,3.94,3.92,3.94,12835
2021-05-05 01:32:30,3.94,3.94,3.935,3.935,3451
2021-05-05 01:32:31,3.94,3.94,3.915,3.915,1085
2021-05-05 01:32:33,3.93,3.9307,3.93,3.9307,1566
2021-05-05 01:32:34,3.94,3.94,3.89,3.91,19562
2021-05-05 01:32:35,3.92,3.9346,3.9198,3.93,13372
2021-05-05 01:32:36,3.92,3.92,3.89,3.89,8340
2021-05-05 01:32:37,3.8958,3.92,3.8958,3.92,2650
2021-05-05 01:32:38,3.9267,3.9267,3.91,3.91,3737
2021-05-05 01:32:39,3.91,3.91,3.9,3.91,11697
2021-05-05 01:32:40,3.9,3.9001,3.88,3.8897,7205
2021-05-05 01:32:41,3.89,3.891,3.89,3.89,1017
2021-05-05 01:32:42,3.89,3.9,3.88,3.9,3954
2021-05-05 01:32:43,3.9,3.9099,3.89,3.9,7005
2021-05-05 01:32:44,3.9,3.9,3.89,3.895,2395
2021-05-05 01:32:45,3.895,3.9,3.89,3.9,705
2021-05-05 01:32:46,3.895,3.895,3.8813,3.89,2255
2021-05-05 01:32:47,3.89,3.91,3.89,3.91,4141
2021-05-05 01:32:48,3.9,3.92,3.9,3.92,1724
2021-05-05 01:32:49,3.9101,3.92,3.9,3.915,19700
2021-05-05 01:32:50,3.9199,3.9199,3.91,3.915,1327
2021-05-05 01:32:51,3.915,3.92,3.91,3.91,921
2021-05-05 01:32:52,3.9199,3.9199,3.915,3.915,1200
2021-05-05 01:32:53,3.92,3.92,3.915,3.915,3900
2021-05-05 01:32:54,3.9189,3.9189,3.9118,3.915,4777
2021-05-05 01:32:55,3.915,3.92,3.9101,3.92,4200
2021-05-05 01:32:56,3.915,3.9167,3.91,3.91,900
2021-05-05 01:32:57,3.915,3.9183,3.915,3.9183,366
2021-05-05 01:32:58,3.92,3.92,3.915,3.915,1077
2021-05-05 01:32:59,3.92,3.92,3.92,3.92,160
2021-05-05 01:33:00,3.91,3.92,3.9,3.915,8750
2021-05-05 01:33:01,3.9101,3.92,3.9101,3.915,3400
2021-05-05 01:33:02,3.9199,3.9199,3.91,3.91,9609
2021-05-05 01:33:03,3.919,3.9276,3.915,3.92,14191
2021-05-05 01:33:04,3.9299,3.93,3.92,3.9289,5172
2021-05-05 01:33:05,3.92,3.93,3.92,3.927,620
2021-05-05 01:33:06,3.92,3.93,3.92,3.92,3538
2021-05-05 01:33:07,3.92,3.92,3.91,3.91,3382
2021-05-05 01:33:08,3.9109,3.915,3.9109,3.915,12700
2021-05-05 01:33:09,3.915,3.92,3.915,3.915,4481
2021-05-05 01:33:10,3.915,3.915,3.9102,3.915,2574
2021-05-05 01:33:11,3.9199,3.9199,3.915,3.915,3523
2021-05-05 01:33:12,3.915,3.92,3.915,3.92,3800
2021-05-05 01:33:13,3.915,3.92,3.915,3.915,3265
2021-05-05 01:33:14,3.91,3.92,3.91,3.915,1790
2021-05-05 01:33:15,3.91,3.92,3.91,3.915,3358
2021-05-05 01:33:16,3.915,3.92,3.915,3.915,5823
2021-05-05 01:33:17,3.91,3.92,3.9,3.9,4744
2021-05-05 01:33:18,3.905,3.93,3.905,3.9105,20755
2021-05-05 01:33:19,3.914,3.915,3.914,3.915,900
2021-05-05 01:33:20,3.91,3.91,3.91,3.91,120
2021-05-05 01:33:21,3.914,3.92,3.91,3.915,5727
2021-05-05 01:33:22,3.91,3.9191,3.91,3.9191,1855
2021-05-05 01:33:23,3.915,3.9199,3.91,3.9199,601
2021-05-05 01:33:24,3.9185,3.9185,3.9185,3.9185,980
2021-05-05 01:33:25,3.915,3.93,3.91,3.9201,2305
2021-05-05 01:33:26,3.93,3.93,3.93,3.93,324
2021-05-05 01:33:27,3.925,3.9282,3.925,3.9282,816
2021-05-05 01:33:28,3.93,3.93,3.92,3.92,3523
2021-05-05 01:33:29,3.92,3.92,3.92,3.92,642
2021-05-05 01:33:30,3.92,3.9202,3.91,3.9197,1700
2021-05-05 01:33:31,3.915,3.915,3.91,3.915,6839
2021-05-05 01:33:32,3.91,3.92,3.91,3.9199,2636
2021-05-05 01:33:33,3.91,3.91,3.9,3.905,2565
2021-05-05 01:33:34,3.91,3.915,3.91,3.915,7370
2021-05-05 01:33:35,3.915,3.915,3.9125,3.915,1749
2021-05-05 01:33:36,3.915,3.915,3.915,3.915,301
2021-05-05 01:33:37,3.915,3.9178,3.91,3.915,4905
2021-05-05 01:33:38,3.91,3.915,3.91,3.915,2113
2021-05-05 01:33:39,3.915,3.92,3.915,3.92,425
2021-05-05 01:33:40,3.915,3.92,3.91,3.915,4085
2021-05-05 01:33:42,3.9151,3.92,3.9151,3.92,375
2021-05-05 01:33:43,3.91,3.915,3.91,3.915,7400
2021-05-05 01:33:44,3.915,3.915,3.915,3.915,400
2021-05-05 01:33:45,3.915,3.915,3.915,3.915,1013
2021-05-05 01:33:46,3.92,3.92,3.9011,3.9011,3897
2021-05-05 01:33:47,3.9084,3.91,3.9,3.91,7186
