Date,Open,High,Low,Close,Volume
2021-05-05 01:30:36,3.105,3.1099,3.1,3.1001,16571
2021-05-05 01:30:37,3.1,3.11,3.1,3.1094,41157
2021-05-05 01:30:38,3.11,3.11,3.1,3.1094,2800
2021-05-05 01:30:39,3.1012,3.1099,3.1012,3.105,880
2021-05-05 01:30:40,3.105,3.11,3.105,3.11,571
2021-05-05 01:30:41,3.109,3.109,3.109,3.109,640
2021-05-05 01:30:42,3.1084,3.11,3.105,3.11,719
2021-05-05 01:30:43,3.105,3.13,3.105,3.12,8836
2021-05-05 01:30:44,3.12,3.13,3.12,3.1257,4034
2021-05-05 01:30:45,3.1263,3.13,3.12,3.13,4545
2021-05-05 01:30:46,3.13,3.13,3.1201,3.13,2150
2021-05-05 01:30:47,3.1299,3.1299,3.1207,3.1207,5337
2021-05-05 01:30:48,3.13,3.13,3.121,3.13,11330
2021-05-05 01:30:49,3.13,3.17,3.13,3.159,55205
2021-05-05 01:30:50,3.15,3.15,3.14,3.145,4822
2021-05-05 01:30:51,3.1486,3.1486,3.145,3.145,4174
2021-05-05 01:30:52,3.1416,3.15,3.141,3.141,5032
2021-05-05 01:30:53,3.1425,3.145,3.1425,3.145,1729
2021-05-05 01:30:54,3.1499,3.1499,3.145,3.145,900
2021-05-05 01:30:55,3.1499,3.1499,3.1401,3.145,3383
2021-05-05 01:30:56,3.145,3.15,3.145,3.15,1612
2021-05-05 01:30:57,3.149,3.149,3.1484,3.1484,273
2021-05-05 01:30:58,3.15,3.15,3.1401,3.1493,7072
2021-05-05 01:30:59,3.1499,3.1499,3.149,3.149,2611
2021-05-05 01:31:00,3.15,3.15,3.1405,3.1405,1605
2021-05-05 01:31:01,3.15,3.15,3.135,3.135,20136
2021-05-05 01:31:02,3.14,3.14,3.135,3.14,2873
2021-05-05 01:31:03,3.1399,3.1399,3.1399,3.1399,673
2021-05-05 01:31:04,3.1397,3.1397,3.1305,3.1305,3361
2021-05-05 01:31:05,3.13,3.13,3.1283,3.1299,2097
2021-05-05 01:31:06,3.125,3.1299,3.12,3.125,1220
2021-05-05 01:31:07,3.125,3.125,3.125,3.125,1520
2021-05-05 01:31:08,3.128,3.1286,3.128,3.1286,1620
2021-05-05 01:31:09,3.1205,3.1205,3.1205,3.1205,569
2021-05-05 01:31:11,3.1201,3.13,3.1201,3.125,1821
2021-05-05 01:31:12,3.125,3.125,3.12,3.125,3520
2021-05-05 01:31:13,3.13,3.13,3.13,3.13,500
2021-05-05 01:31:14,3.13,3.14,3.1214,3.13,9421
2021-05-05 01:31:15,3.1294,3.1294,3.1201,3.1201,10158
2021-05-05 01:31:16,3.13,3.13,3.1273,3.1273,564
2021-05-05 01:31:17,3.1291,3.1291,3.125,3.125,3234
2021-05-05 01:31:19,3.13,3.13,3.12,3.12,17023
2021-05-05 01:31:20,3.115,3.115,3.11,3.11,6600
2021-05-05 01:31:21,3.11,3.115,3.0802,3.0802,33539
2021-05-05 01:31:22,3.085,3.0881,3.08,3.0881,7883
2021-05-05 01:31:23,3.0889,3.0889,3.085,3.085,1419
2021-05-05 01:31:24,3.089,3.089,3.08,3.08,21902
2021-05-05 01:31:25,3.08,3.08,3.0784,3.0784,3120
2021-05-05 01:31:26,3.075,3.0799,3.075,3.0799,777
2021-05-05 01:31:27,3.075,3.075,3.075,3.075,262
2021-05-05 01:31:28,3.075,3.075,3.07,3.07,1181
2021-05-05 01:31:29,3.08,3.08,3.075,3.075,729
2021-05-05 01:31:30,3.076,3.0799,3.04,3.041,50260
2021-05-05 01:31:31,3.04,3.07,3.03,3.06,19877
2021-05-05 01:31:32,3.06,3.0699,3.0598,3.0699,5666
2021-05-05 01:31:33,3.065,3.07,3.065,3.07,5906
2021-05-05 01:31:34,3.062,3.062,3.0512,3.0587,7069
2021-05-05 01:31:35,3.0589,3.06,3.045,3.045,15109
2021-05-05 01:31:36,3.0487,3.0487,3.0487,3.0487,520
2021-05-05 01:31:37,3.0499,3.0499,3.04,3.04,2670
2021-05-05 01:31:38,3.04,3.0433,3.03,3.03,10200
2021-05-05 01:31:39,3.0387,3.0387,3.03,3.03,29000
2021-05-05 01:31:40,3.035,3.04,3.03,3.03,29552
2021-05-05 01:31:41,3.035,3.035,3.035,3.035,1068
2021-05-05 01:31:42,3.0374,3.0374,3.03,3.0305,4265
2021-05-05 01:31:43,3.03,3.03,3.02,3.03,18874
2021-05-05 01:31:44,3.03,3.03,3.015,3.015,6775
2021-05-05 01:31:45,3.01,3.02,3.01,3.015,4164
2021-05-05 01:31:46,3.0187,3.02,3.01,3.02,4063
2021-05-05 01:31:47,3.019,3.019,3.01,3.0101,8212
2021-05-05 01:31:48,3.015,3.0159,3.015,3.0159,327
2021-05-05 01:31:49,3.015,3.02,3.015,3.02,1491
2021-05-05 01:31:50,3.0123,3.015,3.011,3.0113,7150
2021-05-05 01:31:51,3.015,3.03,3.0141,3.0299,67092
2021-05-05 01:31:52,3.0295,3.03,3.02,3.0294,11112
2021-05-05 01:31:53,3.03,3.05,3.025,3.045,7676
2021-05-05 01:31:54,3.045,3.05,3.04,3.05,10615
2021-05-05 01:31:55,3.055,3.06,3.05,3.06,6648
2021-05-05 01:31:56,3.055,3.0599,3.05,3.055,4462
2021-05-05 01:31:57,3.0585,3.0585,3.0508,3.0508,946
2021-05-05 01:31:58,3.0516,3.06,3.05,3.05,2952
2021-05-05 01:31:59,3.059,3.059,3.05,3.05,930
2021-05-05 01:32:00,3.05,3.05,3.03,3.04,13368
2021-05-05 01:32:01,3.04,3.05,3.04,3.045,998
2021-05-05 01:32:02,3.0475,3.07,3.04,3.07,26730
2021-05-05 01:32:03,3.065,3.09,3.065,3.09,21026
2021-05-05 01:32:04,3.09,3.1,3.085,3.09,10881
2021-05-05 01:32:05,3.095,3.11,3.0943,3.11,16294
2021-05-05 01:32:06,3.1005,3.11,3.1,3.11,3773
2021-05-05 01:32:07,3.11,3.12,3.11,3.115,9425
2021-05-05 01:32:08,3.1101,3.12,3.1101,3.1101,11869
2021-05-05 01:32:09,3.1111,3.14,3.11,3.125,13910
2021-05-05 01:32:10,3.1238,3.13,3.1199,3.12,3903
2021-05-05 01:32:11,3.12,3.13,3.1115,3.1115,5282
2021-05-05 01:32:12,3.1101,3.14,3.1101,3.12,8044
2021-05-05 01:32:13,3.13,3.149,3.12,3.149,12368
2021-05-05 01:32:14,3.147,3.15,3.14,3.145,2046
2021-05-05 01:32:15,3.149,3.16,3.14,3.1501,13763
2021-05-05 01:32:16,3.1525,3.1525,3.125,3.13,7527
2021-05-05 01:32:17,3.1205,3.13,3.12,3.1213,5896
2021-05-05 01:32:18,3.1299,3.1307,3.1299,3.1307,4496
2021-05-05 01:32:19,3.1301,3.15,3.1301,3.1415,3067
2021-05-05 01:32:20,3.15,3.16,3.14,3.14,17062
2021-05-05 01:32:21,3.1599,3.17,3.15,3.17,4853
2021-05-05 01:32:22,3.1701,3.1701,3.1613,3.17,2042
2021-05-05 01:32:23,3.17,3.17,3.1605,3.1699,1350
2021-05-05 01:32:24,3.18,3.18,3.17,3.17,23503
2021-05-05 01:32:25,3.17,3.18,3.17,3.1708,3819
2021-05-05 01:32:26,3.18,3.18,3.175,3.1799,4098
2021-05-05 01:32:27,3.18,3.18,3.17,3.175,3491
2021-05-05 01:32:28,3.1799,3.18,3.171,3.175,56946
2021-05-05 01:32:29,3.175,3.18,3.175,3.18,3206
2021-05-05 01:32:30,3.17,3.21,3.17,3.2008,44777
2021-05-05 01:32:31,3.21,3.22,3.2,3.22,7194
2021-05-05 01:32:32,3.2101,3.23,3.2,3.23,18384
2021-05-05 01:32:33,3.2201,3.23,3.2201,3.2297,20018
2021-05-05 01:32:34,3.23,3.27,3.2293,3.2697,41178
2021-05-05 01:32:35,3.26,3.28,3.26,3.28,31541
2021-05-05 01:32:36,3.27,3.28,3.27,3.28,6971
2021-05-05 01:32:37,3.2714,3.28,3.27,3.2792,5925
2021-05-05 01:32:38,3.279,3.279,3.2501,3.2501,10377
2021-05-05 01:32:39,3.25,3.25,3.22,3.22,19672
2021-05-05 01:32:40,3.23,3.2491,3.2202,3.2401,7159
2021-05-05 01:32:41,3.2401,3.2498,3.24,3.24,1974
2021-05-05 01:32:42,3.24,3.24,3.22,3.23,5223
2021-05-05 01:32:43,3.225,3.24,3.225,3.235,30444
2021-05-05 01:32:44,3.2385,3.24,3.2305,3.24,8717
2021-05-05 01:32:45,3.2393,3.24,3.23,3.2384,3390
2021-05-05 01:32:46,3.23,3.2382,3.23,3.235,1880
2021-05-05 01:32:47,3.2399,3.2399,3.2301,3.2306,5079
