Date,Open,High,Low,Close,Volume
2021-05-05 01:30:36,1.5788,1.58,1.5788,1.5799,12480
2021-05-05 01:30:37,1.5788,1.58,1.5788,1.58,22085
2021-05-05 01:30:38,1.5772,1.58,1.575,1.58,2971
2021-05-05 01:30:39,1.57,1.57,1.57,1.57,1500
2021-05-05 01:30:40,1.57,1.59,1.57,1.58,80452
2021-05-05 01:30:41,1.59,1.59,1.59,1.59,571
2021-05-05 01:30:42,1.5868,1.59,1.58,1.584,16825
2021-05-05 01:30:43,1.583,1.59,1.58,1.58,2417
2021-05-05 01:30:44,1.585,1.5899,1.5847,1.5847,20700
2021-05-05 01:30:45,1.58,1.58,1.574,1.58,4997
2021-05-05 01:30:47,1.58,1.58,1.573,1.58,4592
2021-05-05 01:30:48,1.57,1.57,1.57,1.57,200
2021-05-05 01:30:49,1.58,1.59,1.58,1.59,26133
2021-05-05 01:30:50,1.5866,1.59,1.58,1.58,3374
2021-05-05 01:30:51,1.5861,1.5861,1.58,1.585,1202
2021-05-05 01:30:52,1.5865,1.59,1.56,1.58,61674
2021-05-05 01:30:53,1.59,1.59,1.58,1.58,3177
2021-05-05 01:30:54,1.59,1.59,1.5762,1.58,14877
2021-05-05 01:30:55,1.5775,1.58,1.5775,1.58,1911
2021-05-05 01:30:56,1.5768,1.5768,1.575,1.575,339
2021-05-05 01:30:57,1.5799,1.58,1.574,1.577,5550
2021-05-05 01:30:58,1.57,1.5799,1.57,1.57,1755
2021-05-05 01:30:59,1.57,1.575,1.565,1.5668,45825
2021-05-05 01:31:00,1.567,1.567,1.567,1.567,283
2021-05-05 01:31:01,1.56,1.57,1.56,1.57,14551
2021-05-05 01:31:02,1.56,1.57,1.56,1.5699,35163
2021-05-05 01:31:03,1.56,1.5689,1.56,1.5689,2034
2021-05-05 01:31:04,1.5674,1.5674,1.56,1.5673,7547
2021-05-05 01:31:05,1.5699,1.5699,1.56,1.56,4021
2021-05-05 01:31:06,1.56,1.56,1.55,1.56,8361
2021-05-05 01:31:07,1.5561,1.5561,1.553,1.555,3130
2021-05-05 01:31:08,1.555,1.555,1.552,1.555,3934
2021-05-05 01:31:10,1.55,1.56,1.55,1.555,8939
2021-05-05 01:31:11,1.555,1.555,1.55,1.555,4447
2021-05-05 01:31:12,1.56,1.56,1.5519,1.5519,14626
2021-05-05 01:31:13,1.5589,1.5599,1.555,1.5561,1308
2021-05-05 01:31:14,1.555,1.555,1.555,1.555,629
2021-05-05 01:31:15,1.555,1.555,1.555,1.555,700
2021-05-05 01:31:16,1.5567,1.5567,1.5567,1.5567,563
2021-05-05 01:31:17,1.555,1.555,1.555,1.555,597
2021-05-05 01:31:18,1.5561,1.5578,1.555,1.5578,4100
2021-05-05 01:31:19,1.5511,1.5511,1.551,1.551,1349
2021-05-05 01:31:20,1.5599,1.56,1.555,1.56,16450
2021-05-05 01:31:21,1.555,1.56,1.55,1.55,24754
2021-05-05 01:31:22,1.555,1.555,1.5502,1.5502,8166
2021-05-05 01:31:23,1.5599,1.56,1.554,1.56,3451
2021-05-05 01:31:24,1.555,1.555,1.55,1.5518,2171
2021-05-05 01:31:25,1.55,1.555,1.55,1.555,10276
2021-05-05 01:31:26,1.55,1.5509,1.55,1.55,4467
2021-05-05 01:31:27,1.5599,1.56,1.55,1.5577,5899
2021-05-05 01:31:28,1.55,1.55,1.54,1.5419,38298
2021-05-05 01:31:29,1.54,1.55,1.54,1.5431,11752
2021-05-05 01:31:30,1.5426,1.5467,1.5426,1.5467,3000
2021-05-05 01:31:31,1.55,1.55,1.54,1.55,21799
2021-05-05 01:31:32,1.545,1.545,1.545,1.545,1126
2021-05-05 01:31:33,1.545,1.545,1.541,1.545,2076
2021-05-05 01:31:34,1.54,1.545,1.54,1.545,2000
2021-05-05 01:31:35,1.5477,1.55,1.54,1.55,22818
2021-05-05 01:31:36,1.545,1.549,1.54,1.54,7530
2021-05-05 01:31:38,1.5499,1.55,1.54,1.54,62629
2021-05-05 01:31:39,1.54,1.56,1.54,1.55,163328
2021-05-05 01:31:40,1.55,1.555,1.55,1.555,11750
2021-05-05 01:31:41,1.5531,1.5531,1.5531,1.5531,122
2021-05-05 01:31:42,1.555,1.5598,1.555,1.555,6320
2021-05-05 01:31:43,1.5508,1.56,1.5508,1.56,36128
2021-05-05 01:31:44,1.56,1.56,1.55,1.56,34038
2021-05-05 01:31:45,1.56,1.56,1.55,1.55,5412
2021-05-05 01:31:46,1.553,1.56,1.553,1.5561,7259
2021-05-05 01:31:48,1.5599,1.56,1.5599,1.5599,3303
2021-05-05 01:31:49,1.56,1.56,1.5501,1.555,4140
2021-05-05 01:31:50,1.56,1.56,1.5561,1.5599,5666
2021-05-05 01:31:51,1.5599,1.56,1.555,1.555,7601
2021-05-05 01:31:52,1.559,1.56,1.555,1.555,4972
2021-05-05 01:31:53,1.553,1.56,1.553,1.56,6956
2021-05-05 01:31:54,1.555,1.56,1.5501,1.56,2897
2021-05-05 01:31:55,1.56,1.56,1.555,1.555,8468
