Date,Open,High,Low,Close,Volume
2021-05-06 01:30:39,4.8,4.8,4.755,4.77,4171
2021-05-06 01:30:40,4.77,4.79,4.7504,4.79,2142
2021-05-06 01:30:41,4.79,4.855,4.7606,4.855,9549
2021-05-06 01:30:42,4.82,4.8499,4.74,4.74,6749
2021-05-06 01:30:43,4.81,4.81,4.68,4.7083,10687
2021-05-06 01:30:44,4.71,4.75,4.7,4.7,2901
2021-05-06 01:30:45,4.719,4.719,4.57,4.6,28486
2021-05-06 01:30:46,4.59,4.655,4.57,4.5701,6320
2021-05-06 01:30:47,4.5723,4.64,4.5723,4.612,16501
2021-05-06 01:30:48,4.59,4.5912,4.58,4.58,1323
2021-05-06 01:30:49,4.59,4.64,4.57,4.57,6982
2021-05-06 01:30:50,4.57,4.59,4.54,4.5416,15516
2021-05-06 01:30:51,4.54,4.575,4.4812,4.485,36124
2021-05-06 01:30:52,4.47,4.5,4.42,4.4495,14958
2021-05-06 01:30:53,4.43,4.48,4.4,4.48,18396
2021-05-06 01:30:54,4.42,4.48,4.41,4.41,4598
2021-05-06 01:30:55,4.44,4.48,4.4,4.4799,7411
2021-05-06 01:30:56,4.48,4.48,4.4,4.43,12424
2021-05-06 01:30:57,4.45,4.455,4.4,4.43,2906
2021-05-06 01:30:58,4.4238,4.4562,4.4,4.4,3142
2021-05-06 01:30:59,4.415,4.46,4.415,4.45,6535
2021-05-06 01:31:00,4.409,4.46,4.4,4.4,2027
2021-05-06 01:31:01,4.4066,4.46,4.4066,4.4599,1816
2021-05-06 01:31:02,4.45,4.45,4.41,4.41,810
2021-05-06 01:31:03,4.44,4.4578,4.44,4.45,570
2021-05-06 01:31:04,4.42,4.4247,4.42,4.4247,2116
2021-05-06 01:31:05,4.4116,4.4116,4.4,4.4,5873
2021-05-06 01:31:06,4.4001,4.4499,4.4,4.4499,3609
2021-05-06 01:31:07,4.4,4.4,4.39,4.3982,7467
2021-05-06 01:31:08,4.39,4.4,4.36,4.361,15934
2021-05-06 01:31:09,4.36,4.37,4.3505,4.36,4789
2021-05-06 01:31:10,4.35,4.37,4.35,4.3508,9448
2021-05-06 01:31:11,4.35,4.39,4.3422,4.36,8377
2021-05-06 01:31:12,4.36,4.38,4.36,4.38,2645
2021-05-06 01:31:13,4.3642,4.39,4.361,4.39,2392
2021-05-06 01:31:14,4.39,4.45,4.39,4.45,11947
2021-05-06 01:31:15,4.42,4.45,4.35,4.43,11676
2021-05-06 01:31:16,4.39,4.43,4.3892,4.4184,8018
2021-05-06 01:31:17,4.3942,4.4,4.39,4.39,2550
2021-05-06 01:31:18,4.36,4.36,4.36,4.36,250
2021-05-06 01:31:19,4.39,4.4295,4.35,4.375,5578
2021-05-06 01:31:20,4.4,4.415,4.39,4.415,3803
2021-05-06 01:31:21,4.4,4.41,4.4,4.4006,834
2021-05-06 01:31:22,4.43,4.46,4.43,4.46,2903
2021-05-06 01:31:23,4.45,4.49,4.4499,4.48,3424
2021-05-06 01:31:24,4.49,4.49,4.46,4.46,535
2021-05-06 01:31:25,4.46,4.4606,4.43,4.46,3725
2021-05-06 01:31:26,4.4899,4.4899,4.43,4.455,775
2021-05-06 01:31:27,4.4623,4.4623,4.455,4.455,1342
2021-05-06 01:31:28,4.44,4.44,4.43,4.4317,1236
2021-05-06 01:31:29,4.435,4.45,4.42,4.42,5397
2021-05-06 01:31:30,4.46,4.4656,4.45,4.45,1998
2021-05-06 01:31:31,4.47,4.47,4.47,4.47,131
2021-05-06 01:31:32,4.47,4.47,4.45,4.45,4005
2021-05-06 01:31:33,4.465,4.49,4.465,4.47,7046
2021-05-06 01:31:34,4.4893,4.49,4.47,4.47,1454
2021-05-06 01:31:35,4.48,4.4801,4.4503,4.47,2800
2021-05-06 01:31:36,4.4543,4.49,4.4543,4.49,25781
2021-05-06 01:31:37,4.4899,4.4899,4.47,4.47,1613
2021-05-06 01:31:38,4.45,4.485,4.45,4.47,1705
2021-05-06 01:31:39,4.4795,4.4795,4.4503,4.46,2390
2021-05-06 01:31:40,4.45,4.46,4.45,4.46,2346
2021-05-06 01:31:41,4.47,4.48,4.4586,4.4703,2268
2021-05-06 01:31:42,4.475,4.475,4.45,4.45,3610
2021-05-06 01:31:43,4.46,4.47,4.46,4.47,1321
2021-05-06 01:31:44,4.47,4.48,4.47,4.48,1269
2021-05-06 01:31:45,4.46,4.47,4.46,4.47,4321
2021-05-06 01:31:46,4.46,4.48,4.45,4.4503,4418
2021-05-06 01:31:47,4.45,4.4602,4.45,4.45,1662
2021-05-06 01:31:48,4.4778,4.4778,4.4778,4.4778,1041
2021-05-06 01:31:49,4.475,4.4799,4.45,4.4799,3282
2021-05-06 01:31:50,4.4755,4.48,4.4503,4.48,5828
2021-05-06 01:31:51,4.45,4.45,4.45,4.45,350
2021-05-06 01:31:52,4.48,4.48,4.45,4.45,640
2021-05-06 01:31:54,4.465,4.48,4.465,4.48,785
2021-05-06 01:31:55,4.48,4.48,4.45,4.45,1647
2021-05-06 01:31:56,4.465,4.48,4.465,4.48,4052
2021-05-06 01:31:57,4.485,4.485,4.484,4.484,637
2021-05-06 01:31:59,4.475,4.48,4.47,4.47,1618
2021-05-06 01:32:00,4.49,4.49,4.49,4.49,4229
2021-05-06 01:32:01,4.47,4.49,4.47,4.4846,9775
2021-05-06 01:32:02,4.4882,4.4882,4.47,4.47,614
2021-05-06 01:32:03,4.47,4.48,4.47,4.48,934
2021-05-06 01:32:04,4.475,4.5,4.475,4.5,35069
2021-05-06 01:32:05,4.5,4.575,4.49,4.55,12236
2021-05-06 01:32:06,4.575,4.5938,4.55,4.5922,1795
2021-05-06 01:32:07,4.59,4.6494,4.5503,4.62,9398
2021-05-06 01:32:08,4.5758,4.6409,4.5758,4.6,1571
2021-05-06 01:32:09,4.55,4.582,4.55,4.582,3150
2021-05-06 01:32:10,4.59,4.59,4.59,4.59,100
2021-05-06 01:32:11,4.5999,4.6,4.56,4.6,4815
2021-05-06 01:32:12,4.5995,4.5995,4.54,4.54,3074
2021-05-06 01:32:13,4.56,4.56,4.56,4.56,235
2021-05-06 01:32:14,4.6,4.6,4.5564,4.5893,5399
2021-05-06 01:32:15,4.52,4.59,4.52,4.5354,2515
2021-05-06 01:32:16,4.59,4.59,4.5501,4.5501,600
2021-05-06 01:32:17,4.5502,4.5696,4.5502,4.5696,900
2021-05-06 01:32:18,4.5679,4.57,4.51,4.57,7038
2021-05-06 01:32:19,4.5665,4.57,4.5665,4.57,1672
2021-05-06 01:32:20,4.57,4.6,4.5207,4.6,13626
2021-05-06 01:32:21,4.57,4.62,4.51,4.52,19674
2021-05-06 01:32:22,4.52,4.52,4.5133,4.52,5002
2021-05-06 01:32:23,4.52,4.52,4.5,4.5,5610
2021-05-06 01:32:24,4.51,4.51,4.5008,4.5008,3378
2021-05-06 01:32:25,4.5014,4.51,4.5,4.51,5261
2021-05-06 01:32:26,4.5091,4.51,4.47,4.4953,2060
2021-05-06 01:32:27,4.4899,4.49,4.43,4.4896,25727
2021-05-06 01:32:28,4.43,4.4833,4.43,4.4502,2957
2021-05-06 01:32:29,4.43,4.49,4.43,4.49,5235
2021-05-06 01:32:30,4.43,4.43,4.43,4.43,2050
2021-05-06 01:32:31,4.49,4.49,4.46,4.46,522
2021-05-06 01:32:32,4.48,4.48,4.454,4.454,4178
2021-05-06 01:32:33,4.46,4.46,4.41,4.44,3794
2021-05-06 01:32:34,4.41,4.46,4.41,4.4597,4709
2021-05-06 01:32:36,4.46,4.48,4.46,4.48,599
2021-05-06 01:32:37,4.49,4.49,4.49,4.49,1425
2021-05-06 01:32:38,4.49,4.49,4.48,4.49,1951
2021-05-06 01:32:39,4.48,4.49,4.48,4.49,2014
2021-05-06 01:32:40,4.49,4.49,4.4864,4.49,4357
2021-05-06 01:32:42,4.49,4.49,4.48,4.48,898
2021-05-06 01:32:43,4.4879,4.49,4.4879,4.49,502
2021-05-06 01:32:44,4.47,4.49,4.47,4.49,299
2021-05-06 01:32:45,4.48,4.48,4.47,4.4713,880
2021-05-06 01:32:47,4.49,4.49,4.49,4.49,200
2021-05-06 01:32:48,4.49,4.49,4.49,4.49,1594
2021-05-06 01:32:49,4.4879,4.49,4.4712,4.49,1100
2021-05-06 01:32:50,4.48,4.49,4.48,4.49,926
2021-05-06 01:32:51,4.49,4.49,4.4882,4.49,1310
2021-05-06 01:32:52,4.4809,4.4809,4.46,4.46,6958
2021-05-06 01:32:53,4.47,4.49,4.44,4.49,9979
2021-05-06 01:32:54,4.44,4.44,4.44,4.44,1020
2021-05-06 01:32:55,4.45,4.45,4.45,4.45,4012
2021-05-06 01:32:57,4.48,4.49,4.455,4.455,10767
2021-05-06 01:32:58,4.4896,4.4896,4.4896,4.4896,5050
2021-05-06 01:32:59,4.4852,4.4852,4.47,4.47,881
2021-05-06 01:33:00,4.46,4.46,4.45,4.45,6715
2021-05-06 01:33:01,4.45,4.45,4.4499,4.4499,626
2021-05-06 01:33:02,4.44,4.46,4.44,4.46,5743
2021-05-06 01:33:03,4.4167,4.44,4.41,4.41,3260
2021-05-06 01:33:04,4.4453,4.4453,4.4453,4.4453,325
2021-05-06 01:33:05,4.41,4.41,4.41,4.41,550
2021-05-06 01:33:07,4.41,4.4453,4.41,4.4453,365
2021-05-06 01:33:08,4.435,4.435,4.4,4.41,13634
2021-05-06 01:33:09,4.43,4.43,4.2,4.2214,54050
2021-05-06 01:33:10,4.2266,4.2266,4.2,4.2,1474
2021-05-06 01:33:11,4.2182,4.25,4.2,4.2029,5282
2021-05-06 01:33:12,4.24,4.25,4.23,4.25,3939
2021-05-06 01:33:13,4.25,4.25,4.23,4.25,6401
2021-05-06 01:33:14,4.2495,4.25,4.2495,4.25,8754
2021-05-06 01:33:15,4.25,4.25,4.24,4.25,3880
2021-05-06 01:33:16,4.25,4.25,4.24,4.2401,4580
2021-05-06 01:33:17,4.25,4.25,4.23,4.23,4164
2021-05-06 01:33:18,4.25,4.25,4.19,4.21,16903
2021-05-06 01:33:19,4.23,4.23,4.18,4.21,11721
2021-05-06 01:33:20,4.1924,4.21,4.16,4.185,9357
2021-05-06 01:33:21,4.185,4.185,4.16,4.16,598
2021-05-06 01:33:22,4.2,4.2,4.1651,4.1997,3100
2021-05-06 01:33:23,4.19,4.2,4.18,4.2,7100
2021-05-06 01:33:24,4.19,4.21,4.19,4.2,4005
2021-05-06 01:33:25,4.21,4.21,4.18,4.18,5400
2021-05-06 01:33:26,4.2,4.2,4.11,4.11,16307
2021-05-06 01:33:27,4.11,4.16,4.11,4.15,1530
2021-05-06 01:33:28,4.11,4.15,4.11,4.11,2630
2021-05-06 01:33:29,4.11,4.18,4.11,4.18,2150
2021-05-06 01:33:30,4.1634,4.1634,4.11,4.12,6130
2021-05-06 01:33:31,4.1238,4.16,4.11,4.16,4476
2021-05-06 01:33:32,4.11,4.11,4.11,4.11,1404
2021-05-06 01:33:33,4.11,4.11,4.11,4.11,2547
2021-05-06 01:33:34,4.11,4.11,4.11,4.11,35912
2021-05-06 01:33:35,4.11,4.16,4.11,4.11,2257
2021-05-06 01:33:36,4.11,4.11,4.11,4.11,295
2021-05-06 01:33:37,4.11,4.11,4.11,4.11,430
