Date,Open,High,Low,Close,Volume
2021-05-06 01:30:40,4.2468,4.2468,4.2468,4.2468,1010
2021-05-06 01:30:41,4.24,4.2499,4.24,4.2499,864
2021-05-06 01:30:42,4.25,4.25,4.25,4.25,800
2021-05-06 01:30:44,4.25,4.25,4.2353,4.2353,4410
2021-05-06 01:30:45,4.25,4.25,4.25,4.25,100
2021-05-06 01:30:47,4.2499,4.2499,4.2499,4.2499,400
2021-05-06 01:30:48,4.23,4.23,4.22,4.22,2220
2021-05-06 01:30:49,4.22,4.22,4.22,4.22,250
2021-05-06 01:30:54,4.2495,4.2495,4.2495,4.2495,500
2021-05-06 01:30:55,4.2478,4.2478,4.2478,4.2478,300
2021-05-06 01:31:00,4.2449,4.2449,4.2449,4.2449,200
2021-05-06 01:31:01,4.235,4.2355,4.235,4.2355,400
2021-05-06 01:31:04,4.2461,4.2461,4.2461,4.2461,348
2021-05-06 01:31:05,4.2467,4.2467,4.2467,4.2467,515
2021-05-06 01:31:07,4.235,4.235,4.235,4.235,500
2021-05-06 01:31:10,4.22,4.22,4.22,4.22,1182
2021-05-06 01:31:11,4.22,4.22,4.22,4.22,1185
2021-05-06 01:31:13,4.2399,4.2399,4.22,4.22,1210
2021-05-06 01:31:16,4.22,4.22,4.22,4.22,2061
2021-05-06 01:31:17,4.23,4.23,4.23,4.23,100
2021-05-06 01:31:21,4.24,4.24,4.24,4.24,2466
2021-05-06 01:31:24,4.22,4.22,4.22,4.22,120
2021-05-06 01:31:28,4.2406,4.2406,4.2406,4.2406,2000
2021-05-06 01:31:29,4.26,4.26,4.24,4.25,2839
2021-05-06 01:31:30,4.23,4.23,4.23,4.23,223
2021-05-06 01:31:33,4.25,4.25,4.25,4.25,800
2021-05-06 01:31:37,4.249,4.25,4.249,4.25,400
2021-05-06 01:31:40,4.243,4.243,4.24,4.24,701
2021-05-06 01:31:41,4.23,4.23,4.22,4.22,1037
2021-05-06 01:31:46,4.2289,4.2289,4.22,4.225,1578
2021-05-06 01:31:47,4.22,4.2299,4.22,4.2287,1660
2021-05-06 01:31:48,4.22,4.22,4.21,4.21,1071
2021-05-06 01:31:49,4.2194,4.2194,4.2194,4.2194,1000
2021-05-06 01:31:50,4.21,4.21,4.21,4.21,300
2021-05-06 01:31:54,4.22,4.28,4.22,4.28,6235
2021-05-06 01:31:57,4.29,4.32,4.29,4.32,5071
2021-05-06 01:31:58,4.315,4.315,4.315,4.315,550
2021-05-06 01:31:59,4.319,4.319,4.3185,4.3185,900
2021-05-06 01:32:01,4.32,4.32,4.3199,4.3199,300
2021-05-06 01:32:03,4.32,4.32,4.32,4.32,314
2021-05-06 01:32:04,4.33,4.33,4.33,4.33,172
2021-05-06 01:32:05,4.3255,4.3255,4.3255,4.3255,607
2021-05-06 01:32:08,4.34,4.34,4.33,4.33,300
2021-05-06 01:32:10,4.34,4.34,4.34,4.34,698
2021-05-06 01:32:11,4.324,4.338,4.324,4.338,762
2021-05-06 01:32:12,4.34,4.34,4.34,4.34,100
2021-05-06 01:32:13,4.33,4.33,4.32,4.32,1759
2021-05-06 01:32:14,4.339,4.34,4.335,4.34,1650
2021-05-06 01:32:15,4.3383,4.3383,4.3383,4.3383,240
2021-05-06 01:32:17,4.335,4.35,4.335,4.35,3648
2021-05-06 01:32:18,4.37,4.37,4.37,4.37,722
2021-05-06 01:32:19,4.36,4.3799,4.36,4.3799,5830
2021-05-06 01:32:20,4.37,4.43,4.37,4.43,14077
2021-05-06 01:32:21,4.4157,4.4157,4.41,4.41,1266
2021-05-06 01:32:22,4.39,4.41,4.39,4.41,843
2021-05-06 01:32:23,4.409,4.41,4.39,4.39,1771
2021-05-06 01:32:24,4.4,4.42,4.38,4.4,4664
2021-05-06 01:32:25,4.4,4.41,4.39,4.41,1876
2021-05-06 01:32:26,4.4,4.41,4.392,4.409,1400
2021-05-06 01:32:27,4.4,4.4094,4.375,4.3799,3773
2021-05-06 01:32:28,4.3799,4.38,4.3799,4.38,630
2021-05-06 01:32:29,4.37,4.38,4.37,4.37,7600
2021-05-06 01:32:30,4.389,4.39,4.3844,4.39,1818
2021-05-06 01:32:31,4.37,4.37,4.36,4.37,3875
2021-05-06 01:32:32,4.379,4.379,4.377,4.377,302
2021-05-06 01:32:33,4.37,4.39,4.3699,4.39,3158
2021-05-06 01:32:35,4.37,4.4,4.37,4.385,8362
2021-05-06 01:32:36,4.399,4.42,4.399,4.41,12449
2021-05-06 01:32:37,4.415,4.42,4.4109,4.4109,822
2021-05-06 01:32:38,4.42,4.44,4.39,4.44,4818
2021-05-06 01:32:39,4.41,4.45,4.41,4.42,3436
2021-05-06 01:32:40,4.4399,4.4399,4.4399,4.4399,6500
2021-05-06 01:32:41,4.41,4.42,4.36,4.3869,6984
2021-05-06 01:32:42,4.369,4.369,4.369,4.369,250
2021-05-06 01:32:43,4.39,4.39,4.39,4.39,1630
2021-05-06 01:32:45,4.44,4.44,4.44,4.44,100
2021-05-06 01:32:46,4.43,4.45,4.43,4.45,1120
2021-05-06 01:32:47,4.4323,4.45,4.431,4.44,1562
2021-05-06 01:32:48,4.4468,4.4468,4.4468,4.4468,104
2021-05-06 01:32:50,4.445,4.445,4.445,4.445,2030
2021-05-06 01:32:51,4.432,4.45,4.432,4.45,237
2021-05-06 01:32:52,4.44,4.46,4.44,4.46,2496
2021-05-06 01:32:53,4.44,4.4589,4.4301,4.44,4706
2021-05-06 01:32:54,4.42,4.42,4.4191,4.4191,450
