Date,Open,High,Low,Close,Volume
2021-05-07 06:28:07,7.91,7.92,7.91,7.92,2469
2021-05-07 06:28:08,7.93,7.93,7.9289,7.93,500
2021-05-07 06:28:10,7.925,7.925,7.9219,7.9219,300
2021-05-07 06:28:16,7.93,7.93,7.9282,7.9282,1000
2021-05-07 06:28:20,7.92,7.92,7.9,7.9,2120
2021-05-07 06:28:22,7.9011,7.9011,7.9011,7.9011,4000
2021-05-07 06:28:24,7.92,7.92,7.92,7.92,100
2021-05-07 06:28:25,7.9,7.9,7.9,7.9,250
2021-05-07 06:28:30,7.9001,7.9001,7.9001,7.9001,100
2021-05-07 06:28:31,7.9,7.9,7.9,7.9,250
2021-05-07 06:28:32,7.9021,7.9021,7.9021,7.9021,100
2021-05-07 06:28:40,7.9044,7.9044,7.9,7.9,209
2021-05-07 06:28:43,7.91,7.91,7.91,7.91,100
2021-05-07 06:28:49,7.91,7.91,7.91,7.91,100
2021-05-07 06:28:50,7.9,7.9,7.9,7.9,100
2021-05-07 06:28:52,7.9025,7.9025,7.9025,7.9025,100
2021-05-07 06:28:54,7.9,7.9002,7.9,7.9,4988
2021-05-07 06:28:56,7.9021,7.9021,7.9021,7.9021,100
2021-05-07 06:28:59,7.9,7.9002,7.9,7.9,1662
2021-05-07 06:29:00,7.9076,7.91,7.9076,7.91,400
2021-05-07 06:29:08,7.909,7.909,7.909,7.909,100
2021-05-07 06:29:10,7.9032,7.91,7.9032,7.91,1608
2021-05-07 06:29:11,7.9,7.9,7.9,7.9,396
2021-05-07 06:29:16,7.9019,7.9019,7.9019,7.9019,100
2021-05-07 06:29:17,7.908,7.908,7.908,7.908,200
2021-05-07 06:29:19,7.9002,7.9002,7.9,7.9,200
2021-05-07 06:29:20,7.9,7.9012,7.9,7.9012,1003
2021-05-07 06:29:21,7.9001,7.9001,7.9,7.9,1100
2021-05-07 06:29:23,7.9001,7.9001,7.9001,7.9001,100
2021-05-07 06:29:26,7.91,7.92,7.9073,7.92,1444
2021-05-07 06:29:34,7.92,7.9289,7.92,7.9289,660
2021-05-07 06:29:35,7.92,7.93,7.92,7.93,643
2021-05-07 06:29:36,7.9269,7.9269,7.9269,7.9269,500
2021-05-07 06:29:37,7.92,7.93,7.92,7.93,2500
2021-05-07 06:29:42,7.91,7.91,7.91,7.91,100
2021-05-07 06:29:43,7.93,7.93,7.93,7.93,100
2021-05-07 06:29:45,7.93,7.94,7.927,7.93,2732
2021-05-07 06:29:49,7.9399,7.9399,7.9301,7.937,2000
2021-05-07 06:29:54,7.93,7.93,7.91,7.91,2000
2021-05-07 06:30:02,7.9252,7.9252,7.9252,7.9252,1000
2021-05-07 06:30:03,7.9276,7.9276,7.9276,7.9276,250
2021-05-07 06:30:05,7.9299,7.9299,7.9299,7.9299,1550
2021-05-07 06:30:06,7.93,7.93,7.93,7.93,100
2021-05-07 06:30:09,7.92,7.92,7.92,7.92,100
2021-05-07 06:30:16,7.915,7.915,7.915,7.915,2000
2021-05-07 06:30:18,7.91,7.92,7.91,7.92,600
2021-05-07 06:30:21,7.92,7.92,7.92,7.92,1178
2021-05-07 06:30:27,7.9222,7.9222,7.9222,7.9222,110
2021-05-07 06:30:28,7.9219,7.9219,7.9219,7.9219,105
2021-05-07 06:30:30,7.925,7.925,7.925,7.925,248
2021-05-07 06:30:32,7.93,7.93,7.93,7.93,100
2021-05-07 06:30:33,7.9203,7.9215,7.92,7.92,500
2021-05-07 06:30:35,7.92,7.92,7.92,7.92,301
2021-05-07 06:30:38,7.91,7.91,7.91,7.91,500
2021-05-07 06:30:41,7.9101,7.9101,7.9101,7.9101,100
2021-05-07 06:30:43,7.92,7.92,7.92,7.92,210
2021-05-07 06:30:46,7.9187,7.9187,7.9187,7.9187,500
2021-05-07 06:30:53,7.92,7.92,7.92,7.92,100
