Date,Open,High,Low,Close,Volume
2021-05-10 01:30:07,4.685,4.7884,4.68,4.68,7462
2021-05-10 01:30:08,4.685,4.69,4.68,4.69,14375
2021-05-10 01:30:09,4.685,4.89,4.68,4.89,5732
2021-05-10 01:30:10,4.69,4.81,4.6886,4.81,8608
2021-05-10 01:30:11,4.81,4.84,4.6808,4.7786,14432
2021-05-10 01:30:12,4.7699,4.81,4.72,4.81,18105
2021-05-10 01:30:13,4.729,4.73,4.725,4.73,2010
2021-05-10 01:30:14,4.685,4.73,4.685,4.73,4163
2021-05-10 01:30:15,4.725,4.789,4.7209,4.7299,4815
2021-05-10 01:30:16,4.73,4.88,4.49,4.51,125729
2021-05-10 01:30:17,4.5,4.55,4.5,4.54,16035
2021-05-10 01:30:18,4.535,4.765,4.535,4.55,24502
2021-05-10 01:30:19,4.55,4.62,4.54,4.54,22495
2021-05-10 01:30:20,4.54,4.795,4.53,4.54,23011
2021-05-10 01:30:21,4.545,4.739,4.54,4.55,8926
2021-05-10 01:30:22,4.5487,4.55,4.54,4.5499,10487
2021-05-10 01:30:23,4.55,4.655,4.54,4.555,6904
2021-05-10 01:30:24,4.55,4.586,4.545,4.56,8681
2021-05-10 01:30:25,4.56,4.72,4.49,4.5499,54622
2021-05-10 01:30:26,4.55,4.6834,4.545,4.55,25025
2021-05-10 01:30:27,4.55,4.6899,4.5495,4.55,9411
2021-05-10 01:30:28,4.54,4.63,4.54,4.57,32460
2021-05-10 01:30:29,4.57,4.7999,4.5515,4.6499,10750
2021-05-10 01:30:30,4.64,4.64,4.55,4.58,27064
2021-05-10 01:30:31,4.58,4.58,4.556,4.57,9842
2021-05-10 01:30:32,4.57,4.63,4.56,4.57,12598
2021-05-10 01:30:33,4.57,4.7699,4.5687,4.645,17891
2021-05-10 01:30:34,4.65,4.65,4.6215,4.63,6493
2021-05-10 01:30:35,4.62,4.7299,4.5099,4.615,20475
2021-05-10 01:30:36,4.615,4.615,4.57,4.58,3977
2021-05-10 01:30:37,4.5499,4.6101,4.5499,4.61,28553
2021-05-10 01:30:38,4.61,4.6192,4.61,4.615,2007
2021-05-10 01:30:39,4.615,4.62,4.615,4.6199,5323
2021-05-10 01:30:40,4.62,4.62,4.61,4.6198,2310
2021-05-10 01:30:41,4.6181,4.63,4.6181,4.6278,11341
2021-05-10 01:30:42,4.625,4.63,4.625,4.625,1351
2021-05-10 01:30:43,4.625,4.64,4.625,4.635,4083
2021-05-10 01:30:44,4.6301,4.64,4.6301,4.6382,1568
2021-05-10 01:30:45,4.64,4.64,4.62,4.64,10599
2021-05-10 01:30:46,4.63,4.63,4.62,4.63,1890
2021-05-10 01:30:47,4.625,4.63,4.623,4.6298,5581
2021-05-10 01:30:48,4.6392,4.64,4.625,4.63,2498
2021-05-10 01:30:49,4.6299,4.63,4.6201,4.6201,605
2021-05-10 01:30:50,4.6278,4.64,4.6278,4.6396,5447
2021-05-10 01:30:51,4.64,4.64,4.62,4.63,5403
2021-05-10 01:30:52,4.639,4.64,4.6229,4.6229,1200
2021-05-10 01:30:53,4.64,4.65,4.6282,4.65,8007
2021-05-10 01:30:54,4.64,4.69,4.63,4.69,16534
2021-05-10 01:30:55,4.6727,4.69,4.6727,4.68,1893
2021-05-10 01:30:56,4.69,4.69,4.67,4.68,7420
2021-05-10 01:30:57,4.67,4.6795,4.66,4.67,6880
2021-05-10 01:30:58,4.6601,4.68,4.66,4.68,4841
2021-05-10 01:30:59,4.665,4.6799,4.665,4.67,1115
2021-05-10 01:31:00,4.67,4.67,4.6601,4.67,4216
2021-05-10 01:31:01,4.66,4.67,4.64,4.64,2154
2021-05-10 01:31:02,4.65,4.65,4.6389,4.6389,11009
2021-05-10 01:31:03,4.63,4.64,4.61,4.615,25637
2021-05-10 01:31:04,4.62,4.65,4.62,4.625,12779
2021-05-10 01:31:05,4.62,4.65,4.6,4.6,19779
2021-05-10 01:31:06,4.61,4.61,4.6001,4.605,1802
2021-05-10 01:31:07,4.6,4.6098,4.6,4.6089,2801
2021-05-10 01:31:08,4.6082,4.61,4.605,4.61,2013
2021-05-10 01:31:09,4.6099,4.6099,4.6,4.6,1372
2021-05-10 01:31:10,4.6,4.6,4.53,4.535,49838
2021-05-10 01:31:11,4.535,4.56,4.52,4.56,10151
2021-05-10 01:31:12,4.55,4.559,4.5205,4.5568,6579
2021-05-10 01:31:13,4.55,4.55,4.54,4.54,12297
2021-05-10 01:31:14,4.56,4.56,4.5401,4.56,5992
2021-05-10 01:31:15,4.5405,4.55,4.54,4.55,6366
2021-05-10 01:31:16,4.54,4.54,4.53,4.54,8354
2021-05-10 01:31:17,4.54,4.56,4.531,4.56,10847
2021-05-10 01:31:18,4.55,4.5599,4.5465,4.55,2106
2021-05-10 01:31:19,4.55,4.58,4.54,4.5405,24272
2021-05-10 01:31:20,4.54,4.579,4.54,4.56,4012
2021-05-10 01:31:21,4.5439,4.57,4.5439,4.57,1114
2021-05-10 01:31:22,4.56,4.56,4.55,4.56,3520
2021-05-10 01:31:23,4.56,4.58,4.55,4.56,15092
2021-05-10 01:31:24,4.56,4.58,4.559,4.56,5455
2021-05-10 01:31:25,4.56,4.56,4.55,4.55,1724
2021-05-10 01:31:26,4.56,4.5601,4.56,4.5601,1617
2021-05-10 01:31:27,4.57,4.5799,4.56,4.5799,3086
2021-05-10 01:31:28,4.5799,4.58,4.57,4.57,7058
2021-05-10 01:31:29,4.58,4.58,4.58,4.58,605
2021-05-10 01:31:30,4.58,4.58,4.5701,4.58,708
2021-05-10 01:31:31,4.57,4.58,4.57,4.57,11633
2021-05-10 01:31:32,4.58,4.58,4.5711,4.58,7121
2021-05-10 01:31:33,4.58,4.58,4.57,4.5799,863
2021-05-10 01:31:34,4.58,4.58,4.5707,4.5791,3842
2021-05-10 01:31:35,4.58,4.58,4.5701,4.58,3720
2021-05-10 01:31:36,4.58,4.58,4.5799,4.58,6109
2021-05-10 01:31:37,4.58,4.58,4.58,4.58,356
2021-05-10 01:31:38,4.577,4.59,4.5701,4.59,3494
2021-05-10 01:31:39,4.5899,4.59,4.57,4.57,1263
2021-05-10 01:31:40,4.5799,4.58,4.57,4.57,18370
2021-05-10 01:31:41,4.58,4.58,4.575,4.575,14987
2021-05-10 01:31:42,4.58,4.58,4.575,4.575,3354
2021-05-10 01:31:43,4.57,4.5795,4.56,4.5698,9184
2021-05-10 01:31:44,4.5699,4.57,4.56,4.56,5164
2021-05-10 01:31:45,4.55,4.55,4.55,4.55,1147
2021-05-10 01:31:46,4.55,4.56,4.525,4.525,22241
2021-05-10 01:31:47,4.52,4.524,4.52,4.524,1148
2021-05-10 01:31:48,4.52,4.5399,4.52,4.52,12253
2021-05-10 01:31:49,4.5201,4.53,4.52,4.5299,5928
2021-05-10 01:31:50,4.5101,4.525,4.51,4.5189,3476
2021-05-10 01:31:51,4.515,4.52,4.51,4.515,1448
2021-05-10 01:31:52,4.51,4.515,4.51,4.51,1093
2021-05-10 01:31:53,4.515,4.52,4.515,4.52,1058
2021-05-10 01:31:54,4.5199,4.52,4.5199,4.52,568
2021-05-10 01:31:55,4.5135,4.5199,4.51,4.515,2459
2021-05-10 01:31:56,4.52,4.52,4.51,4.51,1269
2021-05-10 01:31:57,4.5105,4.53,4.51,4.53,6454
2021-05-10 01:31:58,4.53,4.55,4.53,4.55,1934
2021-05-10 01:31:59,4.53,4.54,4.52,4.54,4457
2021-05-10 01:32:00,4.54,4.54,4.54,4.54,1183
2021-05-10 01:32:01,4.5462,4.5481,4.5318,4.5481,1355
2021-05-10 01:32:02,4.54,4.54,4.53,4.535,1977
2021-05-10 01:32:03,4.54,4.54,4.535,4.535,950
2021-05-10 01:32:04,4.5301,4.5339,4.53,4.5339,792
2021-05-10 01:32:05,4.5381,4.55,4.53,4.53,4642
2021-05-10 01:32:06,4.545,4.55,4.54,4.54,1303
2021-05-10 01:32:07,4.55,4.55,4.54,4.54,9971
2021-05-10 01:32:08,4.5491,4.55,4.54,4.55,8018
2021-05-10 01:32:09,4.545,4.55,4.545,4.55,3914
2021-05-10 01:32:10,4.55,4.55,4.5499,4.5499,542
2021-05-10 01:32:11,4.54,4.54,4.54,4.54,796
2021-05-10 01:32:12,4.55,4.55,4.54,4.545,15480
2021-05-10 01:32:13,4.55,4.55,4.5495,4.5495,3711
2021-05-10 01:32:14,4.5495,4.55,4.54,4.5497,2352
2021-05-10 01:32:15,4.55,4.55,4.545,4.55,4038
2021-05-10 01:32:16,4.55,4.55,4.5498,4.55,2653
2021-05-10 01:32:17,4.55,4.55,4.5495,4.55,2612
2021-05-10 01:32:18,4.55,4.55,4.55,4.55,4290
2021-05-10 01:32:19,4.55,4.55,4.5456,4.55,1991
2021-05-10 01:32:20,4.55,4.55,4.54,4.54,2076
2021-05-10 01:32:21,4.5405,4.55,4.54,4.5499,2710
2021-05-10 01:32:22,4.5401,4.55,4.5401,4.5499,9099
2021-05-10 01:32:23,4.55,4.55,4.5498,4.5499,1181
2021-05-10 01:32:24,4.55,4.55,4.545,4.5498,2648
2021-05-10 01:32:25,4.55,4.55,4.54,4.547,2656
2021-05-10 01:32:26,4.54,4.56,4.54,4.55,7545
2021-05-10 01:32:27,4.5423,4.55,4.5423,4.55,7909
2021-05-10 01:32:28,4.55,4.55,4.5498,4.5498,8160
2021-05-10 01:32:29,4.55,4.55,4.55,4.55,770
2021-05-10 01:32:30,4.55,4.55,4.5497,4.55,1680
2021-05-10 01:32:31,4.55,4.55,4.55,4.55,3526
2021-05-10 01:32:32,4.55,4.55,4.5499,4.55,6911
2021-05-10 01:32:33,4.541,4.5419,4.541,4.5419,1164
2021-05-10 01:32:34,4.545,4.5489,4.545,4.5489,403
2021-05-10 01:32:35,4.55,4.55,4.5401,4.5485,6480
2021-05-10 01:32:36,4.55,4.55,4.5482,4.5482,361
2021-05-10 01:32:37,4.5489,4.5497,4.5401,4.5492,838
2021-05-10 01:32:38,4.55,4.55,4.53,4.54,11276
2021-05-10 01:32:39,4.5492,4.55,4.5317,4.55,2585
2021-05-10 01:32:40,4.53,4.54,4.53,4.5398,965
2021-05-10 01:32:41,4.53,4.53,4.52,4.53,7330
2021-05-10 01:32:42,4.5201,4.5201,4.44,4.471,67516
2021-05-10 01:32:43,4.466,4.47,4.45,4.465,10657
2021-05-10 01:32:44,4.4501,4.48,4.45,4.475,4621
2021-05-10 01:32:45,4.475,4.48,4.45,4.47,6719
2021-05-10 01:32:46,4.46,4.5,4.45,4.48,8191
2021-05-10 01:32:47,4.48,4.509,4.48,4.48,11173
2021-05-10 01:32:48,4.48,4.49,4.44,4.44,14703
2021-05-10 01:32:49,4.49,4.5,4.49,4.49,4895
2021-05-10 01:32:50,4.49,4.4909,4.49,4.4909,2265
2021-05-10 01:32:51,4.48,4.5,4.48,4.495,3420
2021-05-10 01:32:52,4.4999,4.4999,4.48,4.4805,2504
2021-05-10 01:32:53,4.48,4.48,4.475,4.475,3961
2021-05-10 01:32:54,4.4711,4.48,4.47,4.48,1601
2021-05-10 01:32:55,4.48,4.48,4.47,4.47,3521
2021-05-10 01:32:56,4.4762,4.4794,4.47,4.4794,3285
2021-05-10 01:32:57,4.467,4.4681,4.46,4.46,3283
2021-05-10 01:32:58,4.47,4.47,4.46,4.46,4401
2021-05-10 01:32:59,4.4608,4.4608,4.45,4.4594,7560
2021-05-10 01:33:00,4.455,4.46,4.4437,4.45,10801
2021-05-10 01:33:01,4.44,4.45,4.44,4.45,7643
