Date,Open,High,Low,Close,Volume
2021-05-10 01:30:07,3.13,3.13,3.13,3.13,100
2021-05-10 01:30:08,3.1315,3.135,3.13,3.135,600
2021-05-10 01:30:09,3.135,3.135,3.13,3.135,1140
2021-05-10 01:30:10,3.1384,3.1384,3.135,3.135,1200
2021-05-10 01:30:11,3.13,3.135,3.13,3.135,803
2021-05-10 01:30:12,3.135,3.17,3.135,3.17,9345
2021-05-10 01:30:13,3.1601,3.1601,3.1601,3.1601,174
2021-05-10 01:30:14,3.1686,3.17,3.12,3.13,5601
2021-05-10 01:30:15,3.135,3.135,3.135,3.135,200
2021-05-10 01:30:16,3.15,3.15,3.15,3.15,979
2021-05-10 01:30:17,3.16,3.17,3.15,3.1596,3787
2021-05-10 01:30:19,3.1699,3.1699,3.13,3.1699,437
2021-05-10 01:30:20,3.15,3.1502,3.12,3.15,6563
2021-05-10 01:30:21,3.1116,3.169,3.1116,3.13,2007
2021-05-10 01:30:22,3.13,3.13,3.13,3.13,2081
2021-05-10 01:30:24,3.14,3.14,3.14,3.14,309
2021-05-10 01:30:29,3.1401,3.1401,3.1401,3.1401,454
2021-05-10 01:30:31,3.141,3.16,3.141,3.16,2095
2021-05-10 01:30:32,3.16,3.1799,3.16,3.1799,200
2021-05-10 01:30:33,3.17,3.1759,3.1601,3.1759,1401
2021-05-10 01:30:34,3.18,3.23,3.179,3.23,12866
2021-05-10 01:30:35,3.23,3.23,3.21,3.22,12142
2021-05-10 01:30:36,3.23,3.23,3.21,3.2299,3872
2021-05-10 01:30:37,3.23,3.23,3.215,3.2244,333
2021-05-10 01:30:38,3.2,3.2,3.2,3.2,2296
2021-05-10 01:30:39,3.2,3.2,3.181,3.1908,1525
2021-05-10 01:30:40,3.2,3.2,3.2,3.2,1460
2021-05-10 01:30:41,3.2,3.2,3.19,3.19,849
2021-05-10 01:30:42,3.19,3.19,3.171,3.171,675
2021-05-10 01:30:43,3.19,3.19,3.1812,3.19,2200
2021-05-10 01:30:44,3.181,3.21,3.181,3.21,615
2021-05-10 01:30:45,3.1801,3.21,3.1801,3.21,1689
2021-05-10 01:30:46,3.2,3.2099,3.2,3.203,1900
2021-05-10 01:30:47,3.22,3.23,3.2199,3.23,4020
2021-05-10 01:30:48,3.2355,3.3,3.2355,3.2984,8321
2021-05-10 01:30:49,3.299,3.3,3.272,3.3,2445
2021-05-10 01:30:50,3.29,3.3,3.2812,3.29,3474
2021-05-10 01:30:51,3.2988,3.3,3.28,3.28,5064
2021-05-10 01:30:52,3.27,3.28,3.26,3.28,2172
2021-05-10 01:30:53,3.27,3.27,3.26,3.26,486
2021-05-10 01:30:54,3.27,3.28,3.2697,3.28,974
2021-05-10 01:30:55,3.2701,3.3,3.27,3.3,3333
2021-05-10 01:30:56,3.3,3.32,3.2974,3.32,7451
2021-05-10 01:30:57,3.301,3.32,3.3,3.3196,8784
2021-05-10 01:30:58,3.33,3.34,3.32,3.325,5777
2021-05-10 01:30:59,3.325,3.34,3.32,3.32,3321
2021-05-10 01:31:00,3.3138,3.3166,3.3,3.3,4420
2021-05-10 01:31:01,3.307,3.307,3.27,3.27,13206
