Date,Open,High,Low,Close,Volume
2021-05-10 01:30:07,1.2387,1.24,1.23,1.24,23018
2021-05-10 01:30:08,1.23,1.2387,1.23,1.23,5212
2021-05-10 01:30:09,1.2384,1.24,1.23,1.24,33668
2021-05-10 01:30:10,1.24,1.25,1.232,1.232,10221
2021-05-10 01:30:11,1.24,1.25,1.238,1.2492,16439
2021-05-10 01:30:12,1.2492,1.25,1.24,1.2478,17139
2021-05-10 01:30:13,1.2499,1.25,1.24,1.245,27640
2021-05-10 01:30:14,1.2489,1.25,1.24,1.25,24325
2021-05-10 01:30:15,1.2493,1.25,1.248,1.25,61190
2021-05-10 01:30:16,1.25,1.26,1.2499,1.255,15332
2021-05-10 01:30:17,1.25,1.26,1.233,1.24,75649
2021-05-10 01:30:18,1.2495,1.2495,1.21,1.2395,219252
2021-05-10 01:30:19,1.2382,1.25,1.2382,1.24,18500
2021-05-10 01:30:20,1.26,1.26,1.243,1.25,28603
2021-05-10 01:30:21,1.25,1.26,1.2499,1.26,39935
2021-05-10 01:30:22,1.22,1.2598,1.22,1.22,39052
2021-05-10 01:30:23,1.255,1.2587,1.2485,1.25,30595
2021-05-10 01:30:24,1.2499,1.26,1.2299,1.2531,48380
2021-05-10 01:30:25,1.26,1.26,1.22,1.22,1299
2021-05-10 01:30:26,1.25,1.26,1.235,1.2541,24585
2021-05-10 01:30:27,1.2502,1.26,1.2358,1.2586,7680
2021-05-10 01:30:28,1.255,1.255,1.25,1.255,5095
2021-05-10 01:30:30,1.25,1.26,1.25,1.25,5153
2021-05-10 01:30:31,1.26,1.26,1.25,1.2501,6142
2021-05-10 01:30:32,1.2501,1.26,1.25,1.2599,4299
2021-05-10 01:30:33,1.25,1.26,1.25,1.25,13772
2021-05-10 01:30:34,1.2501,1.26,1.2493,1.26,32574
2021-05-10 01:30:35,1.25,1.255,1.23,1.23,32001
2021-05-10 01:30:36,1.23,1.2388,1.23,1.2388,1662
2021-05-10 01:30:37,1.23,1.26,1.215,1.24,35055
2021-05-10 01:30:38,1.23,1.24,1.23,1.23,17411
2021-05-10 01:30:39,1.23,1.24,1.23,1.24,17201
2021-05-10 01:30:40,1.2399,1.2399,1.235,1.2365,2230
2021-05-10 01:30:41,1.2399,1.2399,1.23,1.23,7239
2021-05-10 01:30:42,1.239,1.24,1.239,1.24,3056
2021-05-10 01:30:43,1.2316,1.24,1.2301,1.239,3269
2021-05-10 01:30:44,1.235,1.24,1.231,1.231,4991
2021-05-10 01:30:45,1.24,1.24,1.24,1.24,3828
2021-05-10 01:30:46,1.24,1.24,1.24,1.24,5850
2021-05-10 01:30:47,1.2383,1.245,1.232,1.245,12141
2021-05-10 01:30:48,1.245,1.25,1.21,1.22,65566
2021-05-10 01:30:49,1.22,1.23,1.2101,1.22,6514
2021-05-10 01:30:50,1.22,1.22,1.21,1.21,8600
2021-05-10 01:30:51,1.22,1.22,1.21,1.2101,9906
2021-05-10 01:30:52,1.212,1.22,1.2101,1.2109,7879
2021-05-10 01:30:53,1.22,1.22,1.21,1.2199,7246
2021-05-10 01:30:54,1.22,1.22,1.2,1.2,108980
2021-05-10 01:30:55,1.21,1.21,1.2,1.21,16638
2021-05-10 01:30:56,1.21,1.21,1.2,1.21,17713
2021-05-10 01:30:58,1.205,1.2087,1.2009,1.2087,714
2021-05-10 01:30:59,1.2,1.21,1.2,1.2,6329
2021-05-10 01:31:00,1.2094,1.21,1.2094,1.21,24556
2021-05-10 01:31:01,1.21,1.21,1.2,1.205,18104
2021-05-10 01:31:02,1.2,1.21,1.195,1.21,86866
2021-05-10 01:31:03,1.2058,1.21,1.2,1.21,12980
2021-05-10 01:31:04,1.2,1.21,1.2,1.2001,6885
2021-05-10 01:31:05,1.2007,1.21,1.2,1.21,22676
2021-05-10 01:31:06,1.2001,1.2089,1.2,1.2089,5424
2021-05-10 01:31:07,1.201,1.21,1.2,1.2,35942
2021-05-10 01:31:08,1.21,1.21,1.2,1.21,48691
2021-05-10 01:31:09,1.21,1.22,1.21,1.2186,22608
2021-05-10 01:31:10,1.215,1.22,1.21,1.2183,23563
2021-05-10 01:31:11,1.22,1.24,1.2113,1.235,127406
2021-05-10 01:31:12,1.235,1.24,1.235,1.235,30519
2021-05-10 01:31:13,1.2389,1.24,1.23,1.2352,18765
2021-05-10 01:31:14,1.2399,1.24,1.23,1.2385,14041
2021-05-10 01:31:15,1.2388,1.24,1.23,1.23,12951
2021-05-10 01:31:16,1.2284,1.23,1.22,1.22,14137
2021-05-10 01:31:17,1.225,1.23,1.22,1.23,20794
2021-05-10 01:31:18,1.2217,1.23,1.22,1.22,14752
2021-05-10 01:31:19,1.23,1.23,1.225,1.225,3820
2021-05-10 01:31:20,1.2299,1.23,1.2221,1.2295,11477
2021-05-10 01:31:21,1.2299,1.2299,1.225,1.225,3931
2021-05-10 01:31:22,1.22,1.23,1.22,1.2295,3751
2021-05-10 01:31:23,1.224,1.23,1.22,1.23,8682
2021-05-10 01:31:24,1.2384,1.2384,1.235,1.235,2558
2021-05-10 01:31:25,1.235,1.24,1.23,1.2374,3144
2021-05-10 01:31:26,1.235,1.2399,1.2334,1.235,5750
2021-05-10 01:31:27,1.2305,1.24,1.23,1.235,17649
2021-05-10 01:31:28,1.235,1.24,1.23,1.235,4146
2021-05-10 01:31:29,1.24,1.24,1.2374,1.2374,26137
2021-05-10 01:31:30,1.23,1.24,1.23,1.235,42459
2021-05-10 01:31:31,1.2392,1.24,1.23,1.235,31901
2021-05-10 01:31:32,1.235,1.2384,1.23,1.235,3049
2021-05-10 01:31:33,1.24,1.24,1.23,1.2303,13342
2021-05-10 01:31:34,1.24,1.24,1.23,1.24,13791
2021-05-10 01:31:35,1.24,1.24,1.23,1.23,6641
2021-05-10 01:31:36,1.2301,1.24,1.2301,1.235,20957
2021-05-10 01:31:37,1.235,1.24,1.23,1.24,16445
2021-05-10 01:31:38,1.24,1.24,1.23,1.2392,35414
2021-05-10 01:31:39,1.23,1.24,1.23,1.2394,4247
2021-05-10 01:31:40,1.23,1.24,1.23,1.235,24989
2021-05-10 01:31:41,1.2385,1.24,1.23,1.235,19221
2021-05-10 01:31:42,1.24,1.24,1.23,1.2314,16250
2021-05-10 01:31:43,1.23,1.24,1.23,1.23,9852
2021-05-10 01:31:44,1.2399,1.24,1.235,1.2393,34169
2021-05-10 01:31:45,1.235,1.24,1.23,1.24,8219
2021-05-10 01:31:46,1.2301,1.24,1.23,1.2347,34339
2021-05-10 01:31:47,1.2317,1.24,1.2317,1.24,15174
2021-05-10 01:31:48,1.24,1.24,1.23,1.2378,7930
2021-05-10 01:31:49,1.24,1.24,1.24,1.24,758
2021-05-10 01:31:50,1.24,1.24,1.238,1.2399,13455
2021-05-10 01:31:51,1.2301,1.24,1.23,1.24,7338
2021-05-10 01:31:52,1.2393,1.2393,1.23,1.2374,13635
2021-05-10 01:31:53,1.24,1.24,1.2398,1.24,53121
2021-05-10 01:31:54,1.23,1.24,1.23,1.24,42127
2021-05-10 01:31:55,1.24,1.24,1.23,1.24,23065
2021-05-10 01:31:56,1.24,1.24,1.23,1.2366,14099
2021-05-10 01:31:57,1.2321,1.24,1.2321,1.2378,5511
2021-05-10 01:31:58,1.24,1.24,1.23,1.23,7600
2021-05-10 01:31:59,1.24,1.24,1.23,1.235,7625
2021-05-10 01:32:00,1.23,1.24,1.23,1.23,12811
2021-05-10 01:32:01,1.2399,1.24,1.233,1.235,4304
2021-05-10 01:32:02,1.2326,1.2385,1.2301,1.2316,4766
2021-05-10 01:32:03,1.234,1.24,1.23,1.2381,13392
2021-05-10 01:32:04,1.23,1.23,1.23,1.23,626
2021-05-10 01:32:05,1.24,1.24,1.235,1.2399,4810
2021-05-10 01:32:06,1.23,1.23,1.23,1.23,370
2021-05-10 01:32:07,1.235,1.235,1.22,1.2201,103966
2021-05-10 01:32:08,1.22,1.2201,1.21,1.22,108856
2021-05-10 01:32:09,1.2101,1.218,1.21,1.2101,17176
2021-05-10 01:32:10,1.21,1.2131,1.2,1.2001,69096
2021-05-10 01:32:11,1.205,1.205,1.2,1.2,4754
2021-05-10 01:32:12,1.205,1.205,1.2,1.2001,11624
2021-05-10 01:32:13,1.2,1.21,1.2,1.205,22396
2021-05-10 01:32:14,1.202,1.21,1.2,1.2082,5865
2021-05-10 01:32:15,1.21,1.21,1.2,1.2093,5814
2021-05-10 01:32:16,1.205,1.2099,1.2,1.2099,2685
2021-05-10 01:32:17,1.2099,1.21,1.2,1.2,15600
2021-05-10 01:32:18,1.2,1.21,1.2,1.21,2919
2021-05-10 01:32:19,1.2,1.21,1.2,1.208,5891
2021-05-10 01:32:21,1.2,1.21,1.2,1.21,4417
2021-05-10 01:32:22,1.2085,1.21,1.2,1.2075,24682
2021-05-10 01:32:23,1.2019,1.21,1.2,1.2099,6557
2021-05-10 01:32:24,1.2013,1.2094,1.2,1.2094,9185
2021-05-10 01:32:25,1.2099,1.2187,1.2099,1.21,18347
2021-05-10 01:32:26,1.2099,1.21,1.2,1.2,12880
2021-05-10 01:32:27,1.21,1.21,1.2,1.2011,43569
2021-05-10 01:32:28,1.21,1.21,1.2,1.2099,8526
2021-05-10 01:32:29,1.2084,1.2084,1.2,1.2,5658
2021-05-10 01:32:30,1.2,1.2079,1.2,1.2079,316
2021-05-10 01:32:31,1.2099,1.21,1.2,1.2,11774
2021-05-10 01:32:32,1.208,1.208,1.205,1.205,1211
2021-05-10 01:32:33,1.2088,1.2088,1.2,1.2,5452
2021-05-10 01:32:34,1.2008,1.21,1.2008,1.21,10500
