Date,Open,High,Low,Close,Volume
2021-05-12 01:30:58,3.8392,3.8392,3.8392,3.8392,926
2021-05-12 01:30:59,3.84,3.84,3.84,3.84,10877
2021-05-12 01:31:00,3.84,3.85,3.84,3.84,3900
2021-05-12 01:31:01,3.85,3.85,3.8401,3.8401,2300
2021-05-12 01:31:02,3.8401,3.86,3.8401,3.86,2453
2021-05-12 01:31:03,3.86,3.8601,3.8582,3.8601,10063
2021-05-12 01:31:05,3.865,3.865,3.865,3.865,500
2021-05-12 01:31:06,3.8683,3.8683,3.8683,3.8683,100
2021-05-12 01:31:07,3.86,3.86,3.8396,3.86,7080
2021-05-12 01:31:09,3.85,3.85,3.85,3.85,200
2021-05-12 01:31:10,3.85,3.85,3.85,3.85,100
2021-05-12 01:31:11,3.8301,3.8301,3.8301,3.8301,1040
2021-05-12 01:31:14,3.8317,3.84,3.8317,3.84,600
2021-05-12 01:31:15,3.8389,3.8389,3.8389,3.8389,478
2021-05-12 01:31:18,3.84,3.87,3.84,3.87,2500
2021-05-12 01:31:19,3.87,3.87,3.87,3.87,100
2021-05-12 01:31:24,3.87,3.89,3.865,3.89,1477
2021-05-12 01:31:25,3.88,3.88,3.87,3.87,1600
2021-05-12 01:31:27,3.8842,3.8842,3.8842,3.8842,3500
2021-05-12 01:31:31,3.8801,3.8801,3.8801,3.8801,1500
2021-05-12 01:31:32,3.8874,3.8874,3.8874,3.8874,139
2021-05-12 01:31:33,3.89,3.89,3.89,3.89,529
2021-05-12 01:31:34,3.89,3.89,3.89,3.89,600
2021-05-12 01:31:38,3.89,3.8901,3.8899,3.89,1200
2021-05-12 01:31:43,3.9,3.92,3.9,3.92,4232
2021-05-12 01:31:45,3.92,3.92,3.92,3.92,614
2021-05-12 01:31:46,3.9113,3.9113,3.9113,3.9113,2000
2021-05-12 01:31:47,3.92,3.92,3.92,3.92,1000
2021-05-12 01:31:48,3.91,3.91,3.89,3.89,514
2021-05-12 01:31:49,3.8999,3.8999,3.8999,3.8999,110
2021-05-12 01:31:50,3.8999,3.8999,3.8999,3.8999,100
2021-05-12 01:31:52,3.8967,3.8967,3.8967,3.8967,196
2021-05-12 01:31:54,3.9,3.9,3.9,3.9,2280
2021-05-12 01:31:57,3.917,3.92,3.9158,3.9158,1150
2021-05-12 01:31:58,3.93,3.93,3.93,3.93,3142
2021-05-12 01:31:59,3.94,3.94,3.92,3.93,1200
2021-05-12 01:32:00,3.92,3.92,3.92,3.92,541
2021-05-12 01:32:02,3.921,3.921,3.921,3.921,100
2021-05-12 01:32:04,3.9365,3.94,3.9365,3.94,500
2021-05-12 01:32:05,3.94,3.94,3.93,3.94,965
2021-05-12 01:32:06,3.93,3.93,3.93,3.93,100
2021-05-12 01:32:09,3.94,3.94,3.9396,3.9396,4486
2021-05-12 01:32:10,3.921,3.921,3.92,3.92,1001
2021-05-12 01:32:11,3.93,3.93,3.93,3.93,100
2021-05-12 01:32:12,3.93,3.93,3.93,3.93,171
2021-05-12 01:32:13,3.9099,3.91,3.9099,3.9099,2355
2021-05-12 01:32:17,3.9102,3.92,3.9101,3.9101,2230
2021-05-12 01:32:18,3.9206,3.9206,3.9206,3.9206,1000
2021-05-12 01:32:20,3.9266,3.93,3.9266,3.93,1049
2021-05-12 01:32:22,3.9293,3.9293,3.9293,3.9293,600
2021-05-12 01:32:26,3.9228,3.9228,3.9228,3.9228,175
2021-05-12 01:32:31,3.92,3.92,3.9,3.9,2228
2021-05-12 01:32:32,3.905,3.905,3.905,3.905,1600
2021-05-12 01:32:35,3.91,3.95,3.91,3.9499,8602
2021-05-12 01:32:36,3.96,3.96,3.96,3.96,513
2021-05-12 01:32:37,3.96,3.96,3.9582,3.9582,400
2021-05-12 01:32:38,3.96,3.97,3.96,3.97,1197
2021-05-12 01:32:39,3.97,3.98,3.929,3.93,8798
2021-05-12 01:32:40,3.96,3.97,3.96,3.97,1226
2021-05-12 01:32:41,3.97,3.97,3.95,3.95,1200
2021-05-12 01:32:42,3.96,3.97,3.96,3.9697,1012
2021-05-12 01:32:43,3.9374,3.9374,3.9374,3.9374,1600
2021-05-12 01:32:45,3.9315,3.9315,3.9315,3.9315,1100
2021-05-12 01:32:46,3.94,3.94,3.9385,3.9394,3125
2021-05-12 01:32:47,3.978,3.98,3.978,3.98,1631
2021-05-12 01:32:48,3.9755,3.9755,3.965,3.965,1500
2021-05-12 01:32:49,3.9746,3.9746,3.9746,3.9746,100
2021-05-12 01:32:51,3.96,3.96,3.96,3.96,200
2021-05-12 01:32:52,3.9683,3.9683,3.95,3.96,1412
2021-05-12 01:32:54,3.96,3.96,3.96,3.96,1000
2021-05-12 01:32:55,3.9501,3.96,3.9501,3.96,3250
2021-05-12 01:32:57,3.96,3.96,3.96,3.96,1000
2021-05-12 01:32:58,3.951,3.951,3.95,3.95,1375
2021-05-12 01:32:59,3.95,3.98,3.94,3.98,2457
2021-05-12 01:33:03,3.97,3.97,3.97,3.97,5000
2021-05-12 01:33:05,3.97,3.97,3.96,3.96,1600
2021-05-12 01:33:06,3.9601,3.9671,3.9601,3.9671,2520
2021-05-12 01:33:07,3.9692,3.9692,3.9692,3.9692,200
2021-05-12 01:33:10,3.96,3.96,3.96,3.96,300
2021-05-12 01:33:13,3.935,3.935,3.931,3.931,680
2021-05-12 01:33:14,3.93,3.93,3.93,3.93,170
2021-05-12 01:33:17,3.9399,3.9399,3.9399,3.9399,510
2021-05-12 01:33:19,3.93,3.93,3.93,3.93,210
2021-05-12 01:33:21,3.935,3.935,3.935,3.935,400
2021-05-12 01:33:23,3.93,3.93,3.93,3.93,500
2021-05-12 01:33:24,3.93,3.93,3.92,3.92,2073
