Date,Open,High,Low,Close,Volume
2021-05-12 01:30:56,5.8191,5.8199,5.8101,5.815,2400
2021-05-12 01:30:57,5.81,5.81,5.8,5.8001,12998
2021-05-12 01:30:58,5.8005,5.81,5.8,5.805,1705
2021-05-12 01:30:59,5.805,5.805,5.79,5.799,9591
2021-05-12 01:31:00,5.7999,5.8,5.79,5.8,7042
2021-05-12 01:31:01,5.795,5.795,5.7801,5.7801,2410
2021-05-12 01:31:02,5.78,5.7899,5.78,5.785,7516
2021-05-12 01:31:03,5.785,5.79,5.78,5.78,1514
2021-05-12 01:31:04,5.78,5.79,5.78,5.79,1310
2021-05-12 01:31:05,5.7899,5.7899,5.7899,5.7899,694
2021-05-12 01:31:06,5.785,5.79,5.78,5.78,6210
2021-05-12 01:31:07,5.78,5.78,5.77,5.775,20990
2021-05-12 01:31:08,5.7717,5.775,5.77,5.775,1123
2021-05-12 01:31:09,5.78,5.78,5.77,5.77,4699
2021-05-12 01:31:10,5.78,5.78,5.77,5.77,8643
2021-05-12 01:31:11,5.775,5.78,5.7685,5.7685,6752
2021-05-12 01:31:12,5.765,5.77,5.76,5.765,10463
2021-05-12 01:31:13,5.76,5.77,5.76,5.76,6819
2021-05-12 01:31:14,5.76,5.77,5.76,5.76,9349
2021-05-12 01:31:15,5.7615,5.7615,5.75,5.759,25300
2021-05-12 01:31:16,5.7599,5.7599,5.75,5.75,24378
2021-05-12 01:31:17,5.75,5.7593,5.75,5.7593,7996
2021-05-12 01:31:18,5.75,5.76,5.75,5.7501,2693
2021-05-12 01:31:19,5.7582,5.76,5.75,5.75,3915
2021-05-12 01:31:20,5.76,5.76,5.75,5.76,7268
2021-05-12 01:31:21,5.7599,5.78,5.75,5.7799,62700
2021-05-12 01:31:22,5.7799,5.8,5.775,5.7994,31325
2021-05-12 01:31:23,5.795,5.8,5.79,5.7989,6836
2021-05-12 01:31:24,5.795,5.8,5.79,5.79,9964
2021-05-12 01:31:25,5.795,5.8,5.79,5.8,14309
2021-05-12 01:31:26,5.8,5.8,5.79,5.7996,5824
2021-05-12 01:31:27,5.7999,5.8,5.7701,5.7799,6396
2021-05-12 01:31:28,5.78,5.8,5.78,5.79,6044
2021-05-12 01:31:29,5.799,5.81,5.78,5.805,22849
2021-05-12 01:31:30,5.805,5.8097,5.805,5.8097,2497
2021-05-12 01:31:31,5.81,5.84,5.8041,5.8301,10148
2021-05-12 01:31:32,5.835,5.835,5.815,5.82,1540
2021-05-12 01:31:33,5.8101,5.82,5.8101,5.82,5301
2021-05-12 01:31:34,5.8142,5.82,5.8101,5.82,1825
2021-05-12 01:31:35,5.815,5.8278,5.815,5.82,11676
2021-05-12 01:31:36,5.82,5.8339,5.82,5.825,1916
2021-05-12 01:31:37,5.82,5.83,5.8101,5.8299,2224
2021-05-12 01:31:38,5.82,5.83,5.82,5.8282,1553
2021-05-12 01:31:39,5.825,5.83,5.8101,5.8101,11970
2021-05-12 01:31:40,5.8282,5.8282,5.8035,5.8035,4910
2021-05-12 01:31:41,5.8011,5.81,5.8011,5.81,8445
2021-05-12 01:31:42,5.815,5.82,5.81,5.81,2317
2021-05-12 01:31:43,5.815,5.82,5.8,5.81,7943
2021-05-12 01:31:44,5.81,5.81,5.77,5.7799,14039
2021-05-12 01:31:45,5.7782,5.78,5.7705,5.7782,4306
