Date,Open,High,Low,Close,Volume
2021-05-12 01:30:56,6.89,6.89,6.85,6.87,67307
2021-05-12 01:30:57,6.89,6.9,6.85,6.8894,24843
2021-05-12 01:30:58,6.86,6.89,6.85,6.8713,25533
2021-05-12 01:30:59,6.88,6.95,6.8785,6.94,30593
2021-05-12 01:31:00,6.95,6.96,6.9,6.9348,64532
2021-05-12 01:31:01,6.9499,6.96,6.93,6.94,26499
2021-05-12 01:31:02,6.94,6.97,6.9346,6.9582,20352
2021-05-12 01:31:03,6.96,7.01,6.95,7,38087
2021-05-12 01:31:04,7,7.02,6.9736,6.99,44328
2021-05-12 01:31:05,6.98,7.03,6.97,7.0294,50180
2021-05-12 01:31:06,7.01,7.0195,6.95,6.95,21163
2021-05-12 01:31:07,6.96,6.98,6.93,6.95,21672
2021-05-12 01:31:08,6.93,6.95,6.9,6.91,12015
2021-05-12 01:31:09,6.9001,6.9299,6.86,6.87,35803
2021-05-12 01:31:10,6.865,6.87,6.84,6.8417,32342
2021-05-12 01:31:11,6.84,6.85,6.82,6.8212,33221
2021-05-12 01:31:12,6.82,6.85,6.82,6.82,28085
2021-05-12 01:31:13,6.85,6.8619,6.81,6.855,30922
2021-05-12 01:31:14,6.86,6.95,6.85,6.9,21207
2021-05-12 01:31:15,6.9,6.9397,6.89,6.91,24171
2021-05-12 01:31:16,6.91,6.92,6.88,6.89,17774
2021-05-12 01:31:17,6.9,6.9,6.85,6.855,9156
2021-05-12 01:31:18,6.86,6.86,6.84,6.84,10958
2021-05-12 01:31:19,6.85,6.89,6.84,6.87,12469
2021-05-12 01:31:20,6.87,6.9,6.87,6.896,7166
2021-05-12 01:31:21,6.87,6.9179,6.87,6.91,13073
2021-05-12 01:31:22,6.9162,6.92,6.9,6.9,15266
2021-05-12 01:31:23,6.92,6.93,6.91,6.92,7574
2021-05-12 01:31:24,6.92,6.94,6.9,6.9,16394
2021-05-12 01:31:25,6.9,6.93,6.885,6.895,4247
2021-05-12 01:31:26,6.9,6.91,6.88,6.895,31183
2021-05-12 01:31:27,6.8994,6.9363,6.8814,6.93,9820
2021-05-12 01:31:28,6.9381,6.94,6.9358,6.94,17094
2021-05-12 01:31:29,6.94,6.94,6.93,6.94,11000
2021-05-12 01:31:30,6.9379,6.94,6.92,6.92,10923
2021-05-12 01:31:31,6.92,6.94,6.92,6.93,11528
2021-05-12 01:31:32,6.9218,6.9218,6.88,6.88,17045
2021-05-12 01:31:33,6.905,6.91,6.85,6.85,31703
2021-05-12 01:31:34,6.86,6.87,6.82,6.87,35180
2021-05-12 01:31:35,6.86,6.86,6.8,6.82,41248
2021-05-12 01:31:36,6.81,6.82,6.8,6.8,12384
2021-05-12 01:31:37,6.8,6.82,6.77,6.81,47300
2021-05-12 01:31:38,6.78,6.8099,6.72,6.7598,102653
2021-05-12 01:31:39,6.77,6.81,6.75,6.8058,29899
2021-05-12 01:31:40,6.8099,6.81,6.74,6.77,62628
2021-05-12 01:31:41,6.76,6.78,6.72,6.78,36066
2021-05-12 01:31:42,6.75,6.8,6.75,6.796,26143
2021-05-12 01:31:43,6.7999,6.8,6.79,6.7974,21473
2021-05-12 01:31:44,6.7958,6.8,6.79,6.79,23565
2021-05-12 01:31:45,6.79,6.79,6.75,6.78,19750
2021-05-12 01:31:46,6.77,6.78,6.71,6.765,45800
2021-05-12 01:31:47,6.76,6.79,6.76,6.765,16408
2021-05-12 01:31:48,6.76,6.77,6.73,6.74,19507
2021-05-12 01:31:49,6.77,6.77,6.74,6.75,18306
2021-05-12 01:31:50,6.765,6.78,6.75,6.78,18922
2021-05-12 01:31:51,6.77,6.79,6.75,6.76,29896
2021-05-12 01:31:52,6.785,6.81,6.76,6.81,38838
2021-05-12 01:31:53,6.805,6.82,6.8001,6.8197,22394
2021-05-12 01:31:54,6.82,6.82,6.81,6.82,31638
2021-05-12 01:31:55,6.83,6.84,6.8,6.81,30374
2021-05-12 01:31:56,6.8,6.82,6.79,6.81,8184
2021-05-12 01:31:57,6.805,6.82,6.79,6.79,15660
2021-05-12 01:31:58,6.82,6.8201,6.81,6.8201,12096
2021-05-12 01:31:59,6.8299,6.84,6.82,6.83,14613
2021-05-12 01:32:00,6.84,6.84,6.82,6.83,20396
2021-05-12 01:32:01,6.83,6.84,6.81,6.82,10205
2021-05-12 01:32:02,6.82,6.82,6.7901,6.7999,19457
2021-05-12 01:32:03,6.7982,6.8,6.7901,6.8,11561
2021-05-12 01:32:04,6.795,6.8,6.75,6.75,22331
2021-05-12 01:32:05,6.76,6.77,6.75,6.765,12816
2021-05-12 01:32:06,6.76,6.7699,6.75,6.76,18466
2021-05-12 01:32:07,6.7699,6.77,6.75,6.77,20081
2021-05-12 01:32:08,6.77,6.77,6.74,6.74,21466
2021-05-12 01:32:09,6.74,6.75,6.72,6.72,41057
2021-05-12 01:32:10,6.7201,6.74,6.72,6.7214,5387
2021-05-12 01:32:11,6.73,6.74,6.7,6.7,38139
2021-05-12 01:32:12,6.7,6.73,6.69,6.69,35268
2021-05-12 01:32:13,6.7,6.7,6.66,6.67,38917
2021-05-12 01:32:14,6.68,6.7,6.67,6.7,21512
2021-05-12 01:32:15,6.695,6.72,6.69,6.72,32674
2021-05-12 01:32:16,6.71,6.73,6.7,6.72,10693
2021-05-12 01:32:17,6.73,6.73,6.7,6.7,25009
2021-05-12 01:32:18,6.7199,6.73,6.7,6.725,21285
2021-05-12 01:32:19,6.73,6.76,6.725,6.7513,32686
2021-05-12 01:32:20,6.76,6.76,6.74,6.76,11133
2021-05-12 01:32:21,6.7485,6.83,6.74,6.79,62603
2021-05-12 01:32:22,6.78,6.83,6.77,6.79,18856
2021-05-12 01:32:23,6.79,6.8,6.77,6.78,11530
2021-05-12 01:32:24,6.78,6.81,6.77,6.785,13430
2021-05-12 01:32:25,6.77,6.79,6.77,6.78,2943
2021-05-12 01:32:26,6.77,6.79,6.77,6.79,3338
2021-05-12 01:32:27,6.78,6.79,6.75,6.77,15129
2021-05-12 01:32:28,6.7799,6.78,6.75,6.78,12130
2021-05-12 01:32:29,6.7636,6.79,6.76,6.76,8401
2021-05-12 01:32:30,6.78,6.78,6.77,6.78,5047
2021-05-12 01:32:31,6.77,6.82,6.77,6.79,30218
2021-05-12 01:32:32,6.801,6.82,6.79,6.8,13732
2021-05-12 01:32:33,6.81,6.81,6.79,6.8099,5260
2021-05-12 01:32:34,6.81,6.81,6.79,6.79,7580
2021-05-12 01:32:35,6.7901,6.7989,6.79,6.79,8861
2021-05-12 01:32:36,6.792,6.8,6.76,6.7676,31362
2021-05-12 01:32:37,6.769,6.77,6.76,6.77,7227
2021-05-12 01:32:38,6.766,6.8,6.76,6.7746,9366
2021-05-12 01:32:39,6.79,6.82,6.79,6.82,6525
2021-05-12 01:32:40,6.81,6.82,6.8,6.81,6641
2021-05-12 01:32:41,6.82,6.82,6.8,6.8147,5025
2021-05-12 01:32:42,6.82,6.82,6.8,6.8,18775
2021-05-12 01:32:43,6.81,6.8144,6.78,6.78,28148
2021-05-12 01:32:44,6.7999,6.7999,6.76,6.76,8533
2021-05-12 01:32:45,6.765,6.7799,6.76,6.77,3682
2021-05-12 01:32:46,6.7643,6.78,6.76,6.76,4605
2021-05-12 01:32:47,6.77,6.779,6.75,6.75,3657
2021-05-12 01:32:48,6.7713,6.7718,6.7713,6.7718,563
2021-05-12 01:32:49,6.7733,6.78,6.75,6.75,8578
2021-05-12 01:32:50,6.76,6.8,6.76,6.77,13088
2021-05-12 01:32:51,6.78,6.8,6.77,6.77,28900
2021-05-12 01:32:52,6.785,6.785,6.76,6.78,4864
2021-05-12 01:32:53,6.78,6.78,6.76,6.7799,3989
2021-05-12 01:32:54,6.77,6.79,6.77,6.77,6170
2021-05-12 01:32:55,6.78,6.79,6.77,6.77,3922
2021-05-12 01:32:56,6.7903,6.81,6.78,6.7987,9653
2021-05-12 01:32:57,6.8,6.82,6.8,6.815,3530
2021-05-12 01:32:58,6.82,6.8399,6.8005,6.82,9861
2021-05-12 01:32:59,6.82,6.86,6.82,6.84,20527
2021-05-12 01:33:00,6.84,6.86,6.83,6.8361,30987
2021-05-12 01:33:01,6.8301,6.85,6.8301,6.8306,9024
2021-05-12 01:33:02,6.84,6.86,6.83,6.8563,21799
2021-05-12 01:33:03,6.86,6.86,6.8301,6.8595,17411
2021-05-12 01:33:04,6.845,6.87,6.845,6.87,20111
2021-05-12 01:33:05,6.86,6.9,6.86,6.9,39984
2021-05-12 01:33:06,6.9,6.9299,6.89,6.9173,55531
2021-05-12 01:33:07,6.9,6.93,6.89,6.9078,51234
2021-05-12 01:33:08,6.89,6.91,6.86,6.87,60842
2021-05-12 01:33:09,6.86,6.88,6.85,6.87,19221
2021-05-12 01:33:10,6.875,6.8752,6.84,6.8495,15850
2021-05-12 01:33:11,6.86,6.88,6.84,6.865,20736
2021-05-12 01:33:12,6.85,6.872,6.83,6.845,6967
2021-05-12 01:33:13,6.848,6.85,6.83,6.83,19021
2021-05-12 01:33:14,6.85,6.85,6.81,6.817,27066
2021-05-12 01:33:15,6.8297,6.8297,6.8,6.8,20182
2021-05-12 01:33:16,6.805,6.805,6.76,6.76,32351
2021-05-12 01:33:17,6.75,6.77,6.75,6.75,31877
2021-05-12 01:33:18,6.75,6.7501,6.71,6.72,19917
2021-05-12 01:33:19,6.715,6.73,6.71,6.73,20164
2021-05-12 01:33:20,6.71,6.77,6.71,6.7698,22708
2021-05-12 01:33:21,6.77,6.78,6.74,6.76,28573
2021-05-12 01:33:22,6.7675,6.77,6.74,6.74,15004
2021-05-12 01:33:23,6.74,6.75,6.735,6.75,4875
2021-05-12 01:33:24,6.76,6.76,6.73,6.7301,9457
2021-05-12 01:33:25,6.73,6.75,6.73,6.74,9609
2021-05-12 01:33:26,6.74,6.78,6.73,6.7791,12015
2021-05-12 01:33:27,6.78,6.82,6.76,6.7797,14881
2021-05-12 01:33:28,6.77,6.8,6.765,6.8,20268
2021-05-12 01:33:29,6.78,6.8,6.78,6.79,3582
2021-05-12 01:33:30,6.79,6.8,6.79,6.79,2945
2021-05-12 01:33:31,6.8,6.8,6.78,6.79,9081
2021-05-12 01:33:32,6.8,6.8,6.7879,6.8,1568
2021-05-12 01:33:33,6.7977,6.82,6.79,6.81,12994
2021-05-12 01:33:34,6.8122,6.82,6.78,6.79,9905
2021-05-12 01:33:35,6.8066,6.8099,6.78,6.808,2643
2021-05-12 01:33:36,6.795,6.81,6.78,6.8,5562
2021-05-12 01:33:37,6.78,6.7999,6.78,6.7899,7461
2021-05-12 01:33:38,6.7801,6.8,6.78,6.8,5337
2021-05-12 01:33:39,6.799,6.8,6.7827,6.7837,3626
2021-05-12 01:33:40,6.78,6.79,6.75,6.75,21149
2021-05-12 01:33:41,6.77,6.77,6.75,6.75,10382
2021-05-12 01:33:42,6.76,6.76,6.73,6.73,5594
2021-05-12 01:33:43,6.7317,6.74,6.7,6.702,18692
2021-05-12 01:33:44,6.72,6.73,6.7,6.715,22483
2021-05-12 01:33:45,6.72,6.73,6.7,6.72,9495
2021-05-12 01:33:46,6.72,6.72,6.7,6.7,17566
2021-05-12 01:33:47,6.72,6.75,6.71,6.745,19467
2021-05-12 01:33:48,6.74,6.79,6.74,6.79,15225
2021-05-12 01:33:49,6.77,6.79,6.76,6.7601,11795
2021-05-12 01:33:50,6.768,6.79,6.76,6.77,4215
2021-05-12 01:33:51,6.769,6.77,6.76,6.76,3151
2021-05-12 01:33:52,6.76,6.7617,6.74,6.74,7197
2021-05-12 01:33:53,6.73,6.74,6.72,6.7399,5708
2021-05-12 01:33:54,6.73,6.76,6.725,6.75,10793
2021-05-12 01:33:55,6.73,6.76,6.73,6.76,6236
2021-05-12 01:33:56,6.7599,6.78,6.7401,6.78,10292
2021-05-12 01:33:57,6.7713,6.79,6.77,6.79,13577
2021-05-12 01:33:58,6.7734,6.79,6.77,6.7701,3810
2021-05-12 01:33:59,6.78,6.79,6.77,6.7897,9884
2021-05-12 01:34:00,6.77,6.78,6.76,6.7601,11586
2021-05-12 01:34:01,6.76,6.78,6.76,6.77,4038
2021-05-12 01:34:02,6.7665,6.81,6.7665,6.8098,27891
2021-05-12 01:34:03,6.8044,6.85,6.8044,6.85,26456
2021-05-12 01:34:04,6.85,6.87,6.79,6.7901,41440
2021-05-12 01:34:05,6.78,6.8,6.77,6.77,22348
2021-05-12 01:34:06,6.7899,6.79,6.7595,6.7595,5758
2021-05-12 01:34:07,6.7599,6.7626,6.72,6.749,26201
2021-05-12 01:34:08,6.73,6.7399,6.71,6.71,12074
2021-05-12 01:34:09,6.7101,6.73,6.7,6.73,20386
2021-05-12 01:34:10,6.7252,6.73,6.7003,6.7274,7027
2021-05-12 01:34:11,6.71,6.76,6.7,6.7573,26117
2021-05-12 01:34:12,6.7528,6.769,6.7206,6.76,13888
2021-05-12 01:34:13,6.76,6.76,6.71,6.73,18168
2021-05-12 01:34:14,6.72,6.7557,6.72,6.75,14300
2021-05-12 01:34:15,6.759,6.76,6.73,6.75,8288
2021-05-12 01:34:16,6.75,6.76,6.73,6.75,4025
2021-05-12 01:34:17,6.75,6.76,6.74,6.74,2716
2021-05-12 01:34:18,6.76,6.76,6.75,6.76,2221
2021-05-12 01:34:19,6.755,6.76,6.72,6.73,15530
2021-05-12 01:34:20,6.73,6.75,6.72,6.72,9303
2021-05-12 01:34:21,6.72,6.75,6.72,6.7285,6074
2021-05-12 01:34:22,6.72,6.7247,6.72,6.72,4626
2021-05-12 01:34:23,6.73,6.74,6.72,6.74,2583
2021-05-12 01:34:24,6.74,6.76,6.73,6.745,12291
2021-05-12 01:34:25,6.745,6.76,6.73,6.76,9963
2021-05-12 01:34:26,6.74,6.76,6.74,6.7443,8974
2021-05-12 01:34:27,6.76,6.7601,6.7582,6.7601,6620
